chrom	start	end	name	score
chr1	147194443	147313487	29	0.007066916742337324
chr1	150813077	150932121	31	0.01244855883177918
chr1	151845010	151964054	32	0.016648139366086483
chr1	152919219	153038263	35	0.0015230849738962294
chr1	153959136	154078180	36	0.010423518944748855
chr1	154947153	155066196	37	0.007889902073378873
chr1	155760478	155879522	38	0.0030226135334698256
chr1	160033731	160152774	40	0.0005925550675197545
chr1	161007968	161127012	41	0.011985210928840268
chr1	162574800	162693843	44	0.0014151505984454848
chr1	164117964	164237007	45	0.032297139928976475
chr1	168878647	168997691	47	0.001460080371359639
chr1	172168022	172287065	48	0.008626955324470546
chr1	183100349	183219392	51	0.0005267144428078295
chr1	183821321	183940364	52	0.0040822526159048885
chr1	204419795	204538839	59	0.014302095678264331
chr1	205342936	205461979	60	0.005672863123560568
chr1	207110407	207229450	62	0.0027036079870286526
chr1	225761562	225880605	64	0.0023828198172121734
chr1	234966252	235085296	67	0.0042383282080133144
chr1	239233116	239352159	70	0.0868510006137426
chr1	246568478	246687522	75	0.005131917572389965
chr10	5036270	5155313	561	0.005156523445669833
chr10	9202100	9321144	562	0.006524096191410926
chr10	11908478	12027522	563	0.0012670623505174478
chr10	13662215	13781258	565	0.001961247034538459
chr10	27295961	27415005	568	0.00033534288681242414
chr10	32296478	32415522	569	0.006949128519744609
chr10	33215783	33334826	570	0.004908604656203017
chr11	13076478	13195522	608	0.0008040112360550575
chr11	32204016	32323059	609	0.00028899035098726425
chr11	34705617	34824660	611	0.0006173510886098722
chr11	44224478	44343522	613	1.030830377562964e-05
chr11	45971756	46090799	615	0.0013690370742725215
chr12	46642802	46761845	687	0.0022491976184892213
chr12	52562932	52681976	690	0.0002583956413154581
chr12	53279452	53398495	692	7.287206447120685e-05
chr12	54460478	54579522	693	0.0001420205069097111
chr12	56555298	56674342	694	0.0012147414563306832
chr12	58152689	58271732	696	0.0030234403682824922
chr12	60042251	60161294	698	0.002786176762653287
chr12	65935599	66054642	699	0.000195520283444043
chr12	69128478	69247522	702	0.0017360833419134563
chr12	69760361	69879404	703	0.003073806423071989
chr12	71080061	71199105	705	0.0007958972253622804
chr12	123610645	123729688	711	0.00016937929343273527
chr12	125048478	125167522	713	0.0001966370963373053
chr12	126896478	127015522	714	0.0027183034598229584
chr16	864478	983522	799	0.0005169047602844846
chr16	2044617	2163661	800	0.00013462053419890753
chr16	2930698	3049741	801	3.5529384700074095e-05
chr16	4204478	4323522	802	5.55670965826184e-05
chr16	7732478	7851522	805	0.0025792175853962523
chr16	11380883	11499926	806	0.0008797628122617544
chr16	11694292	11813335	807	0.0009405035564522832
chr16	28155216	28274259	811	0.002059071981859973
chr17	32315098	32438248	826	0.015079831541910471
chr17	36005703	36124746	829	0.0025403337898355837
chr17	37797672	37916715	831	0.006594187463625752
chr17	39080995	39200038	832	0.0013286904531838845
chr17	39700478	39819522	834	6.7460702620158366e-06
chr17	46108860	46227903	838	0.0012033834946482552
chr17	47245218	47364261	839	0.0028167142972563646
chr17	48756478	48875522	840	0.0020195563689086268
chr17	50552478	50671522	841	0.018024003857951935
chr17	58040789	58159832	845	0.01345485987146061
chr17	63904546	64023589	848	0.004646350804362263
chr17	71306739	71425782	850	0.001107145063709513
chr17	73405696	73524739	851	0.0015860858363347212
chr17	77736478	77855522	852	0.0008113725070496427
chr17	79708478	79827522	853	0.004399939551245496
chr18	548478	667522	854	0.0004303847790344391
chr18	7038146	7157190	858	0.00021835156310014495
chr18	9056478	9175522	860	0.0003150434772464119
chr18	9836100	9955143	861	0.00044798514137633195
chr19	33667544	33786587	889	0.0045182738620893025
chr19	35861811	35980854	891	0.007458135051709962
chr19	38249755	38368798	893	0.004059833881654259
chr19	39711092	39830136	894	0.005024804649497491
chr19	40125729	40244773	895	0.002021475852743271
chr19	40900478	41019522	896	0.0012417013996165024
chr19	45077262	45196306	900	0.0005711750144623876
chr19	55950744	56069787	903	0.0017894321490748628
chr2	16040478	16159522	79	0.00032287407596314383
chr2	27637267	27756310	82	0.0011135189778588566
chr2	28837945	28956988	83	0.0004244275232484088
chr2	34287521	34406565	86	0.0028702740873042605
chr2	39504478	39623522	87	0.0006368132157577946
chr2	42137770	42256814	88	0.0004593750103485159
chr2	47366340	47485384	93	0.0004522697982657275
chr2	56968397	57087440	95	0.0002131689578846656
chr2	62608231	62727274	97	0.0004552548823696699
chr2	67280013	67399056	98	0.0012953474817729313
chr2	68109529	68228572	99	8.395007961848887e-05
chr2	69844478	69963522	100	0.00025451174905395766
chr2	74388253	74507296	101	0.0004716766697531499
chr2	82060478	82179522	103	0.008078366992171475
chr2	85409848	85528891	104	0.0005988233985865183
chr20	5689557	5808600	905	0.00038839320993523804
chr20	15398466	15517509	907	0.0005681688996880259
chr20	19940478	20059522	908	0.0012217662986008643
chr20	34076149	34195193	909	0.0013990632901748213
chr20	46007090	46126133	913	0.0001259471849784466
chr20	48228559	48347603	914	7.015880378695865e-06
chr20	48749975	48869018	915	0.00228305130932597
chr20	49024478	49143522	916	0.00018481101765584473
chr20	50476478	50595522	917	4.35382420915607e-05
chr20	52327763	52446806	919	0.011853158637659506
chr20	55990973	56110017	921	0.0007436988904491437
chr22	22704478	22823522	936	0.00046218547761709046
chr22	23382168	23501211	938	3.08323266633212e-05
chr22	29686257	29805300	942	0.00019884007066101508
chr22	30536631	30655675	943	0.00014048269950780253
chr22	31496478	31615522	944	0.00027611292092458444
chr22	38533077	38652120	947	0.0004713623947632409
chr22	41668496	41787539	949	0.00015512024142621576
chr3	98840076	98959119	188	0.0005458937367086405
chr3	101767175	101886218	189	0.0006054143155658462
chr3	107600920	107719964	190	0.00020715185752296294
chr3	110654095	110773138	191	0.0008507733342779607
