chrom	start	end	name	score
chr1	150599202	150769139	16	0.024530209130974385
chr1	160944223	161118797	8	0.004380656621415415
chr1	171763783	172395327	19	0.004005393513078413
chr1	201969765	202088809	22	0.008442191181817727
chr12	641689	875437	315	0.07682918957416425
chr12	3896569	4521478	295	0.12112444444704121
chr12	19624312	20151125	293	0.21562070401458522
chr12	24935138	25138824	291	0.05532544627511669
chr12	26155824	26274868	311	0.05098585749404227
chr12	27159250	27571622	300	0.07268431829161044
chr14	26331260	26785808	330	0.0023769826024551076
chr14	35305989	35516969	327	0.003683588310590912
chr14	37343469	37589273	332	0.002789412507326709
chr14	76968624	77087668	333	0.00019283236879830064
chr14	104596671	104974929	343	0.002172061872678607
chr15	25337247	25692020	350	0.0002634075845996009
chr15	51849333	52543565	347	0.000613529494176002
chr17	39658666	39777709	375	0.002469421205766408
chr17	48251532	48479073	383	0.0016194279170966054
chr17	50515699	50712150	386	0.0028590785608707094
chr17	52326898	52711688	377	0.00043916213025880146
chr17	69200499	69893902	374	0.005476520769499719
chr19	9028351	9157312	418	0.0028949070678909094
chr19	10625699	10836058	409	0.010128682428568934
chr19	13225661	13473891	416	0.0032642611833655108
chr2	56492365	57045716	55	0.035064647115293515
chr20	35471464	35590410	424	0.0006909131324210023
chr20	44088199	45079172	427	0.000924236259690203
chr20	47329761	47448804	428	0.002712243971559009
chr20	50037825	50270003	425	0.008465018960280528
chr20	53518081	53637124	434	0.0017805503877650058
chr20	60270269	61275884	432	0.0052036617489798175
chr21	33368742	33487784	435	6.204772786022717e-05
chr3	115430929	116254291	88	0.0013373291030079045
chr3	149069229	149903561	73	0.004339219549134415
chr3	166302619	166885981	72	0.0023253492809380077
chr3	168966038	169085081	64	0.0023253492809380077
chr3	169830658	169949702	74	0.001156078059465504
chr3	172462495	172581538	61	0.0023253492809380077
chr3	174401008	174577097	81	0.0023253492809380077
chr3	177352018	177696805	77	0.0008999269824408031
chr3	181555805	182210768	65	0.0019676302924138064
chr3	189033007	189254044	87	0.00300358321582021
chr3	189793170	190120713	90	0.0009892226613785033
chr6	11334461	11453504	161	0.0011225043550259037
chr6	19695819	20333881	149	0.0011961981075614039
chr6	21224254	21809708	169	0.0009517104058723031
chr6	41827713	42175432	163	0.0015968145718407054
chr6	43791654	43910698	148	0.003620163033353412
chr6	46874360	47153180	159	0.0034010113655868115
chr6	53000850	53704020	151	0.001224988121286604
chr7	14710412	15289094	179	0.04731695323379146
chr7	47683129	47881075	189	0.02113428403973157
chr7	53357578	53476622	178	0.030012430377257
chr7	68156051	69162770	181	0.007157970632188424
chr7	91822729	92620519	173	0.012303427372879342
chr7	98914052	99856425	177	0.0032122210743506107
chr7	104761551	105075031	191	0.0007490517788381024
chr8	54333830	54452874	207	0.032677355248792714
chr8	67570345	69315963	208	0.013376760553297446
chr8	106027489	106530598	212	0.0030751079523785104
chr8	112378334	113721555	198	0.05404316132223858
chr8	127319320	127438363	206	0.0007789841330219026
chr8	127733264	127852307	196	0.0042215757756296135
chr8	128525719	128644762	211	0.0037579337060262125
