chrom	start	end	name	score
chr1	10855454	10996454	OG15	466.8006354607765
chr1	16131975	16276281	OG33	366.7064440462806
chr1	21718597	21926345	OG37	276.9310763156024
chr1	24520964	24728815	OG29	279.3127578305334
chr1	31885955	32026955	OG18	333.00703765490914
chr1	33523082	33795480	OG36	323.54182862013727
chr1	40125950	40267175	OG32	524.4734687768262
chr1	41358977	41499977	OG0	492.7511802931098
chr1	43837422	44103803	OG26	428.6184405128183
chr1	46966151	47107151	OG34	366.143974473572
chr1	56154147	56671449	OG16	385.7732012423414
chr1	61937528	62296800	OG30	436.84658625049855
chr1	115564012	116094318	OG38	455.4908053246984
chr1	147065974	147206974	OG27	670.663339465103
chr1	150569391	150710391	OG17	777.0184311688366
chr1	151542552	151683552	OG1	716.5486516189527
chr1	153712188	153853188	OG35	647.0299712714168
chr1	154983511	155124511	OG11	661.5855139188756
chr1	156020252	156161252	OG19	628.8039388024641
chr1	158351130	158623569	OG41	600.4457444561058
chr1	160960927	161101927	OG9	766.1385332340549
chr1	168867968	169008968	OG42	626.966229611959
chr1	172301814	172543614	OG14	706.83441609177
chr1	180460278	180601278	OG40	622.3850682886429
chr1	183140311	183323562	OG5	661.4780292535418
chr1	201924469	202065469	OG25	757.0814698511131
chr1	204361635	204502635	OG6	984.6688642983656
chr1	234889836	235030836	OG10	1368.735918001909
chr10	5158618	5299618	OG383	689.8500857075495
chr10	8968620	9240181	OG390	593.5114799861448
chr10	11861645	12002645	OG408	487.4420087841486
chr10	13378934	13921184	OG401	498.484931882731
chr10	32344531	32489806	OG415	468.7771793048425
chr10	33138220	33279220	OG389	456.93623950863696
chr10	47298718	47488529	OG396	369.1860382056223
chr10	51431472	51572472	OG406	332.9934824037635
chr10	55228077	56033421	OG393	312.64575362936506
chr10	61644104	61785104	OG395	363.1153038127372
chr10	63543799	63808156	OG384	308.34693883855215
chr10	65543305	65684305	OG404	313.8643491843682
chr10	73764054	74201943	OG403	319.0174229224284
chr10	76743905	76928280	OG387	361.3811704673436
chr10	77094036	77235036	OG414	356.74927342963184
chr10	79480255	79742343	OG382	443.6889906166499
chr10	88367028	88657824	OG410	297.6807853990022
chr10	113587401	114148132	OG412	368.5521663487584
chr10	123032164	123217193	OG391	558.6300842155932
chr11	13566436	14124443	OG433	579.7426353588022
chr11	32059281	32237981	OG437	570.6488166557702
chr11	34649578	34790578	OG420	765.5570266451269
chr11	46218121	46657643	OG432	598.7252712781954
chr11	61117072	61258072	OG451	387.1087747460232
chr11	62102813	62243813	OG430	380.4237999524301
chr11	63668893	63809893	OG444	393.50895666387873
