chrom	start	end	name	score
chr1	4288023	4407066	0	0.01524014202419742
chr1	6211261	6330304	1	0.015550116634857988
chr1	8002756	8121799	2	0.04400650666106221
chr1	10596478	10715522	3	0.02110854004508127
chr1	21206264	21325307	7	0.004938676958732109
chr1	27114511	27233554	10	0.06841221875842393
chr1	93277865	93396908	23	0.006827251501939547
chr1	111400249	111519293	26	0.013852091631961364
chr10	22630985	22750029	329	0.026129224564222144
chr10	24684849	24803892	330	0.0024884773763693517
chr11	40432922	40551965	358	0.043132199634948486
chr11	68409650	68528693	369	0.02048965332014976
chr11	71572478	71691522	375	0.010121779466979567
chr11	76060498	76179542	378	0.01409816899171146
chr14	33712183	33831227	439	0.0036702456675639676
chr14	67436478	67555522	448	0.0026513736006527314
chr14	68328478	68447522	450	0.0028781016096336787
chr14	68990151	69109194	452	0.0026134328388247668
chr15	32206279	32325322	459	0.020991504520752397
chr15	41964478	42083522	461	0.052967328123971334
chr15	52677889	52796932	463	9.897249645139927e-06
chr15	57390900	57509943	464	0.00327674215961525
chr17	7933382	8052426	497	0.11068745505084059
chr17	31508478	31627522	499	0.001582942353442537
chr17	38260478	38379522	504	0.008742753405734473
chr17	39158961	39278004	505	0.010100337282928171
chr17	42381364	42500407	507	0.0023684437789771467
chr17	44168667	44287710	508	0.004135033308248601
chr17	53623631	53742675	513	0.00034333585632942865
chr17	55896478	56015522	514	0.00026052859883926593
chr17	59008247	59127290	516	1.4201334624317636e-06
chr18	8260478	8379522	528	0.04408075404659855
chr18	9662152	9781195	529	0.03839496477905344
chr18	26227291	26346334	532	0.0865253940675391
chr18	48544478	48663522	538	0.004287496905501269
chr2	46108079	46227123	60	0.01613625073200876
chr2	133820478	133939522	79	0.003923385922188534
chr2	136128478	136247522	81	0.004646628991273564
chr2	139119931	139238974	83	0.001870086712601896
chr2	213592404	213711447	103	0.007115289791471079
chr2	234130644	234249688	108	0.007332891105908328
chr22	29273989	29393032	572	0.0684498446801397
chr3	50679521	50798564	120	0.043548101077522425
chr3	115900478	116019522	135	0.002378342956197603
chr3	116496478	116615522	136	0.014866740949937748
chr3	117304788	117423831	137	0.0005207794490520724
chr3	174948119	175067163	151	0.0060176807160331
chr4	87413979	87533023	180	0.0022281199063169253
chr4	91693581	91812624	183	0.0003545984874328881
chr4	180054461	180173505	188	0.0007662030128030572
chr4	182176589	182295632	189	0.006725385076922425
chr6	28416456	28535499	234	0.00622845091965722
chr6	162693059	162812102	248	0.02020822116362869
chr8	3648221	3767264	279	0.004959749847519562
chr8	34838878	34957921	286	0.007937227470598296
chr9	9404478	9523522	305	0.00393079764626478
chr9	11017701	11136744	306	0.003074802751600965
chr9	17374278	17493322	310	0.004990981218689492
chr9	21916478	22035522	312	0.013706226626360044
chr9	26488478	26607522	314	0.013706226626360044
chr9	28524815	28643858	317	0.013706226626360044
chr9	31256545	31375588	320	0.013706226626360044
