chrom	start	end	name	score
chr1	4227963	4347006	0	0.11782703522780828
chr1	6151201	6270244	1	0.12022356075309788
chr1	7942696	8061739	2	0.11272652890149447
chr1	20879771	20998814	7	0.01690357642073461
chr1	26788020	26907063	10	0.1803371155059504
chr1	92812308	92931351	23	0.08034110156832305
chr10	88023240	88142283	350	0.0008960347597928007
chr11	40411372	40530415	358	0.18899048123785123
chr11	80558042	80677085	382	0.04241626710543793
chr14	66969761	67088805	448	0.0038056303124845026
chr14	67861761	67980805	450	0.0006091487012728005
chr14	68523434	68642477	452	0.001646480952289901
chr16	23496965	23616009	483	0.03276601094226182
chr19	33868186	33987230	547	0.05466916531844893
chr5	131741067	131860110	217	0.03885082169424173
chr7	127145101	127264145	271	0.002288302988336502
chr7	152068182	152187226	277	0.0010698363461941007
chr9	28524817	28643860	317	0.0036329012639791025
