chrom	start	end	name	score
chr1	1592939	1624167	SLC35E2B	0.48715095914252726
chr1	2439972	2458039	PANK4	2.0450640374646643
chr1	9352939	9429591	SPSB1	0.9322689815202803
chr1	10057264	10076078	RBP7	0.2712355005264523
chr1	11845780	11866977	MTHFR	1.4803620687764691
chr1	28586038	28609002	SESN2	1.6364855542373227
chr1	29138654	29190208	OPRD1	2.6762015318808814
chr1	31838472	31849697	FABP3	0.5967695765937647
chr1	47533160	47583991	CYP4Z1	0.5569082611569518
chr1	51567906	51613752	C1orf185	0.26459194795365004
chr1	54382247	54411602	HSPB11	0.5569082611569509
chr1	63063158	63071830	ANGPTL3	0.3343492499680738
chr1	64058947	64125916	PGM1	0.23137418508963858
chr1	67557848	67697536	C1orf141	0.8193285877826413
chr1	67773047	67862583	IL12RB2	1.1083231246995406
chr1	68939835	68962904	DEPDC1	0.6931010888993976
chr1	74663896	74699770	FPGT	0.29116615824485925
chr1	77554675	77685115	PIGK	1.340847464747621
chr1	84864215	84880701	DNASE2B	0.4373243148465097
chr1	85015289	85040163	CTBS	0.8691552320786589
chr1	85109390	85156486	SSX2IP	0.7993979300642351
chr1	85784164	86043933	DDAH1	0.4605767488513174
chr1	87794151	87814606	LMO4	3.1379284356906396
chr1	89646831	89664615	GBP4	0.5037598405745327
chr1	92414928	92479983	BRDT	0.47054207771052114
chr1	92683497	92711370	C1orf146	0.06196359448318045
chr1	95362507	95392834	CNN3	0.8724770083650596
chr1	110230436	110251661	GSTM1	0.6000913528801655
chr1	150898739	150937213	SETDB1	3.935154744426915
chr1	154171848	154178809	C1orf189	0.7595366146274214
chr1	157764193	157789895	FCRL1	0.5303340508657418
chr1	158259576	158263420	CD1C	0.5469429322977472
chr1	162039564	162353321	NOS1AP	0.8924076660834664
chr1	163038565	163046592	RGS4	0.3609234602592837
chr1	163080911	163291577	RGS5	0.377532341691289
chr1	171669300	171711387	VAMP4	0.48382918285612575
chr1	173009100	173020103	TNFSF18	1.1083231246995406
chr1	190066792	190446759	BRINP3	0.07192892334238421
chr1	192286122	192336415	RGS21	2.7492806101817067
chr1	192605275	192629390	RGS13	0.9787738495298963
