chrom	start	end	name	score
chr1	143767143	143767881	ENSG00000236334	0.3161843397788149
chr1	143896451	143913143	ENSG00000215784	0.3161843397788149
chr1	144146807	144224481	ENSG00000162825	0.3161843397788149
chr1	144339737	144521058	ENSG00000231360	0.3161843397788149
chr1	144363461	144364246	ENSG00000255854	0.3161843397788149
chr1	144811743	144830413	ENSG00000168614	0.30023742641742546
chr1	144836156	145076186	ENSG00000178104	0.3002374264174256
chr1	144989308	144991365	ENSG00000268172	0.30023742641742546
chr1	145209118	145291972	ENSG00000213240	0.3002374264174256
chr1	145209144	145319796	ENSG00000255168	0.30023742641742546
chr1	145289771	145370303	ENSG00000163386	0.30023742641742546
chr1	145413094	145417545	ENSG00000168509	0.30023742641742546
chr1	145438468	145442635	ENSG00000117289	0.30023742641742546
chr1	145456235	145470388	ENSG00000121851	0.30023742641742546
chr1	145470507	145475646	ENSG00000181039	0.30023742641742546
chr1	145477084	145501669	ENSG00000152022	0.3002374264174256
chr1	145507597	145513536	ENSG00000131795	0.30023742641742546
chr1	145516251	145523730	ENSG00000131779	0.30023742641742546
chr1	145524890	145543868	ENSG00000143127	0.30023742641742546
chr1	145549229	145568526	ENSG00000198483	0.30023742641742546
chr1	145575232	145586546	ENSG00000131788	0.30023742641742546
chr1	145586114	145589439	ENSG00000186364	0.30023742641742546
chr1	145592604	145611025	ENSG00000186141	0.30023742641742546
chr1	145611035	145696218	ENSG00000121848	0.3002374264174256
chr1	145695797	145715614	ENSG00000117281	0.30023742641742546
chr1	145726917	145764074	ENSG00000174827	0.30023742641742546
chr1	145764410	145827103	ENSG00000117262	0.30023742641742546
chr1	145883867	145924373	ENSG00000196644	0.33124180898142414
chr1	146032646	146082765	ENSG00000152042	0.33124180898142414
chr1	146373545	146467744	ENSG00000186275	0.33124180898142414
chr1	146626684	146644129	ENSG00000131791	0.33124180898142414
chr1	146646929	146714700	ENSG00000131781	0.33124180898142414
chr1	146714290	146767443	ENSG00000131778	0.33124180898142414
chr1	147013181	147098017	ENSG00000116128	0.317073783937595
chr1	147101452	147142618	ENSG00000162836	0.31707378393759506
chr1	147228331	147245484	ENSG00000143140	0.317073783937595
chr1	147374945	147381393	ENSG00000121634	0.317073783937595
chr1	147400505	147465753	ENSG00000188092	0.317073783937595
chr1	147574427	147634886	ENSG00000203836	0.337862485887424
chr1	147631966	147632428	ENSG00000269647	0.38777946188452983
chr1	147954634	147955419	ENSG00000255963	0.38777946188452983
chr1	148003641	148025863	ENSG00000122497	0.38777946188452983
chr1	148201751	148202536	ENSG00000256374	0.38689001772574977
chr1	148250248	148347506	ENSG00000203832	0.38689001772574977
chr1	148555978	148596267	ENSG00000243452	0.3580835748521418
chr1	148739442	148758311	ENSG00000203827	0.3580835748521418
chr1	149400130	149400542	ENSG00000203818	0.3580835748521418
chr1	149438749	149459549	ENSG00000203817	0.3580835748521418
chr1	149553002	149553787	ENSG00000198161	0.4062738908430944
chr1	149675977	149676609	ENSG00000203815	0.4062738908430944
chr1	149754226	149764074	ENSG00000150337	0.4062738908430944
chr1	149754244	149783928	ENSG00000203814	0.40627389084309434
chr1	149784825	149785236	ENSG00000183598	0.4062738908430944
chr1	149804220	149811339	ENSG00000183941	0.4062738908430944
chr1	149811109	149812765	ENSG00000203811	0.4062738908430944
chr1	149813504	149814478	ENSG00000183558	0.4062738908430944
chr1	149822642	149823191	ENSG00000203812	0.40627389084309434
chr1	149824180	149825836	ENSG00000203852	0.4062738908430944
chr1	149825606	149832714	ENSG00000182217	0.4062738908430944
chr1	149856009	149858232	ENSG00000184678	0.4062738908430944
