chrom	start	end	name	score
chr1	5742084	5861127	1	0.01313155582245146
chr1	8642934	8761977	3	0.009961425816723251
chr1	10500478	10619522	5	0.0006379763533635464
chr1	23748478	23867522	10	0.004426266755914846
chr1	27294191	27413234	12	0.013385147146111913
chr1	111099850	111218894	27	0.010783376806152893
chr10	22177816	22296860	566	0.0019018497383690566
chr10	26340478	26459522	567	4.156024771292601e-05
chr10	50230572	50349615	573	0.0016325164055171232
chr10	51636478	51755522	575	0.0004699832875432845
chr10	53156478	53275522	576	0.00018094237566766323
chr10	58675021	58794064	580	0.004537580745370315
chr10	68270594	68389637	584	0.000593880915131274
chr10	78008478	78127522	591	0.0008411334730915445
chr10	80185760	80304803	593	0.00589945724312175
chr10	89834203	89953246	596	0.029312331109503174
chr10	111177571	111296614	598	0.0007323932254047332
chr11	1083591	1202634	603	0.0011795373644463729
chr11	5540478	5659522	606	0.002038418655868497
chr11	34492478	34611522	610	0.002175472380897857
chr11	38609512	38728555	612	0.0018264435525706657
chr11	45758426	45877469	614	0.009153572526839996
chr11	60576478	60695522	616	0.0026510682530049997
chr11	62927250	63046293	619	0.0008195990082982136
chr11	64097437	64216481	621	0.001507646118674452
chr11	68344155	68463198	626	0.0008787741260419335
chr11	71621977	71741020	633	0.0010139301842162134
chr11	74427239	74546283	636	0.00010561359962866777
chr11	76327656	76446699	638	0.0005149697786227284
chr11	79319856	79438899	644	0.0001194137337162405
chr11	83714596	83833639	649	0.000602676914396066
chr11	84260478	84379522	650	0.002511280583671244
chr11	84877921	84996965	651	0.0005836295843139785
chr11	85459946	85578989	652	0.0003899922391632152
chr11	86124478	86243522	653	0.0025471195728913655
chr11	88645278	88802542	655	0.003578191740963269
chr11	114346953	114465997	659	0.007873519396825965
chr11	114569945	114688988	660	0.00030308818619613763
chr11	124107257	124226300	663	0.0005291858847061264
chr12	9582292	9701335	671	0.00013215072229316494
chr12	11844478	11963522	673	0.001992181447891459
chr12	12768478	12887522	675	0.003816528418156561
chr12	21199415	21318458	678	0.0008782246967809937
chr12	24187397	24306440	679	2.9361007782739137e-06
chr12	27069733	27188777	682	0.0011369102074344861
chr12	52770114	52889158	691	0.000572044529342885
chr12	58871776	58990819	697	1.5029078132429065e-06
chr12	66995436	67114479	700	4.56361208558374e-05
chr12	71900478	72019522	706	0.0003882327103654947
chr12	76491045	76610088	707	0.0013338396911994489
chr13	32900478	33019522	718	0.0011188248258863882
chr13	48988478	49107522	721	0.0021574403000896645
chr13	49474019	49593062	722	0.00323590210997042
chr13	50887270	51006314	723	0.003346690647781208
chr13	64940935	65059979	724	0.0007334945436147167
chr13	84423366	84542409	726	0.0009650567692179924
chr13	108168221	108287264	732	6.025071063516418e-06
chr13	111994846	112113889	736	0.0008509350970117966
chr14	24771201	24890244	740	0.0014160071139536047
chr14	38255681	38374725	752	0.00038766416525075136
chr14	40447686	40566729	754	5.115344863232152e-05
chr14	67358596	67477639	759	0.000875432469367801
chr14	68520478	68639522	761	5.167710736515915e-05
chr16	52776141	52895184	812	0.013159891646552754
chr16	71131482	71250525	816	0.0026302059084846716
chr16	72588478	72707522	817	0.00013083122097099677
chr16	78658897	78777941	819	0.0002066779001370494
chr16	83047323	83166366	821	0.01481951917271057
chr17	7319101	7438144	822	0.09307188132268186
chr18	23901821	24020864	863	0.004165168599872856
chr18	26366208	26485251	866	0.004487756428421576
chr18	37131320	37250363	873	4.882139964732159e-07
chr18	48462420	48581464	875	0.003945925126186694
chr18	48918238	49037281	876	0.005738325576332321
chr18	50556478	50675522	877	0.002217800803902036
chr19	1496277	1615320	881	0.016837623707267678
chr19	9171693	9290736	883	0.005185580191437474
chr19	11999625	12118668	885	0.006533867005416759
chr2	132306981	132426024	114	0.0011893319332089635
chr2	133852478	133971522	115	0.002489931636587765
chr2	136156535	136275579	116	0.014849520834409574
chr2	141785715	141904759	120	0.013080947186299595
chr2	148983654	149102697	122	0.00029713454915600616
chr2	185083360	185202403	131	0.0019493276356346916
chr2	187160478	187279522	132	0.0017879240395476447
chr2	202113496	202232539	140	0.0007428850721074891
chr2	205798285	205917328	142	0.0007589450699430615
chr2	213455331	213574374	148	4.04156031937419e-05
chr2	213717438	213836481	149	0.0007029841529791132
chr2	225200478	225319522	153	0.009954256501390108
chr2	234068809	234187852	155	0.003960446417686963
chr2	236640478	236759522	156	0.0013973665863890334
chr2	240751989	240871033	157	0.001982499270903452
chr21	30363897	30482940	927	0.0010342600350463505
chr21	36219451	36338494	929	0.0004372498381220848
chr21	41409572	41528615	930	0.000898659548970059
chr22	28477337	28596381	940	0.0018203287632944547
chr22	29276921	29395964	941	0.001617270188378362
chr22	34072478	34191522	945	0.0007163428182433792
chr22	40520478	40639522	948	0.00010604592166128317
chr22	49376478	49495522	950	0.005433739281890035
chr3	11424478	11543522	164	0.005155728946941697
chr3	30534024	30653067	168	0.03545583816255907
chr3	47986493	48105537	171	0.002267449607391246
chr3	49730499	49849542	172	0.01639935586992335
chr3	60395102	60514145	178	0.1221246592927196
chr3	61704478	61823522	180	0.007351657488424758
chr3	71416982	71536025	184	0.02261532341916266
chr3	81754992	81874035	187	0.029318104970687656
chr4	10036478	10155522	232	0.0033317477356196615
chr4	13145790	13264833	235	0.006828398670076124
chr4	19510927	19629970	239	0.005174638269253666
chr4	20326167	20445210	240	0.00048584375385498296
chr4	21285720	21404763	241	0.008046820873608126
chr4	33739893	33858937	244	0.033394424825473175
chr4	70060478	70179522	257	0.0017016811955466343
chr4	86644671	86763714	264	0.0002594628396273018
chr4	87520478	87639522	265	0.0009262369431545176
chr4	91744478	91863522	269	0.0004318083726198294
chr4	93694926	93813969	272	4.3705392973401394e-05
chr4	106477503	106596546	273	0.0010486981571500447
chr4	143024478	143143522	275	5.931937274378882e-05
chr4	179906857	180025901	282	0.0007269040944127359
chr4	183312478	183431522	284	7.439743932665687e-05
chr4	185181895	185300938	285	0.0018557369827177197
chr4	187517160	187636204	286	0.0031133967531784667
chr4	188508002	188627046	287	0.0007620109808431619
chr5	58678197	58797241	323	0.0005139477882302215
chr5	59267820	59386863	324	0.013700740389902696
chr5	59477125	59596168	325	0.00034683814298775713
chr5	98468478	98587522	329	0.014932220819740888
chr5	100672478	100791522	330	0.02288393073193923
chr5	109837700	109956743	331	0.010725406994285296
chr5	130913647	131032691	335	0.05405384673025243
chr5	162580478	162699522	342	0.0017449017876773687
chr5	165516769	165635812	343	0.0205997747209027
chr5	165996478	166115522	345	0.015835861715585774
chr6	68821709	68950989	389	0.013126585431648784
chr6	101835056	101954099	393	0.005877874712590208
chr6	128672119	128791162	397	0.02097886553206552
chr6	144989016	145108059	399	0.002793089320563632
chr6	150025364	150144408	401	0.00740042957231513
chr6	162686521	162805565	404	0.010069983722113495
chr6	168270154	168389198	405	0.008096972779161564
chr7	69427824	69546867	428	0.005315818216168024
chr7	69976647	70095690	429	0.0033289920058484327
chr7	101652751	101771795	445	0.0016164804977633076
chr7	109976478	110095522	448	0.000592339976100269
chr7	110379648	110498692	449	0.0018827387737177473
chr7	110764503	110883546	450	0.0009299104173494726
chr7	124894524	125013567	453	0.0008379551668469403
chr7	127430271	127549314	454	0.00021644484750432084
chr7	152411841	152530884	468	0.0040295474765754775
chr8	2407562	2526605	470	0.002846541252816342
chr8	3692478	3811522	472	0.004857722007910746
chr8	4390842	4509885	473	0.005536443861453751
chr8	6241429	6360473	475	0.0001428012691044061
chr8	30072478	30191522	483	0.013064698459056018
chr8	34884478	35003522	488	0.012547058947759747
chr9	99846649	99965692	552	0.00237151773743528
