chrom	start	end	name	score
chr1	5758281	6359521	1	0.0255883185092204
chr1	26780389	26989453	2	0.024126226310634602
chr1	114725108	115702047	3	0.024053197680379522
chr1	93088471	93294034	4	0.022974090412928656
chr1	51217575	51336619	5	0.01981424700566503
chr1	7856438	8493750	7	0.022014272395450788
chr1	14711802	15089994	13	0.021507090851651055
chr1	212599176	213761196	15	-0.02154559013170633
chr1	246237974	246357017	17	-0.02100485367551849
chr1	192981788	193166871	21	-0.023717611121573487
chr1	157555762	158038113	23	-0.023790655131934124
chr1	210418225	210907811	27	-0.024192113826266487
chr10	89965304	90084347	33	0.00889150019924459
chr10	89560990	89680033	34	0.004657972395743876
chr10	58218870	58714895	36	0.007749772528283274
chr10	47184277	47650133	37	0.004657972395743876
chr10	77918891	78043175	39	0.0047182184714456505
chr10	77295386	77414429	42	0.004802876232331671
chr11	45931344	46402442	50	0.014135353226217218
chr11	39985638	40635879	55	0.01153928027027677
chr11	113905768	114104249	57	0.0022634052641274196
chr11	62685002	63185231	58	0.0023142699508173162
chr11	80339167	80463952	60	0.0003342819912699447
chr11	68133517	68341010	61	0.0009172075016533104
chr11	64602254	65066589	67	0.000433128992563891
chr11	75846730	76992775	71	-6.205166797081182e-05
chr11	85972100	87096374	72	0.000673395542552733
chr11	69896864	70147013	74	-0.0009959978392070424
chr11	83964212	84366423	75	0.0010471185856977428
chr11	72023274	72313020	79	0.0031041441288993466
chr12	12722317	13120592	80	0.013404422327172677
chr12	26424358	26998323	83	0.0015318058929933065
chr12	24097405	24228750	85	0.0016524771320785311
chr12	45348202	45969805	94	0.006504075602414456
chr12	58096082	58747276	95	0.00448817826431483
chr12	74618787	75789025	98	0.005405154456090395
chr12	99864342	100151810	101	0.002563664441343352
chr12	52402269	53168356	103	0.006556026461115475
chr12	67138261	67494262	104	0.005123219984486216
chr13	48939729	49058772	108	0.004127853959390463
chr13	32621411	32950651	111	0.003996610389081299
chr13	50860815	51455790	114	0.004127853959390463
chr14	68742331	68861374	118	0.0033079746282422763
chr14	33699932	33818975	124	0.0025303152887057624
chr14	40295008	40722782	127	0.008787538907761246
chr14	67168861	67652025	132	0.004351349295630701
chr14	27537653	29081983	134	0.008221223519261148
chr15	32159195	32278239	142	0.009273422164082452
chr15	41285416	42451276	145	0.008808348333486715
chr15	57326607	57557542	146	0.004876757653353548
chr16	6690619	6809663	147	-0.010260677432669783
chr16	23317721	24116798	149	-0.009256766504277262
chr16	3723115	3842158	151	-0.009406187276404555
chr16	78647303	78766346	155	0.007900410377513817
chr16	79003131	79122175	156	0.007718246939064969
chr16	72508842	72677340	159	0.007685331950507359
