chrom	start	end	name	score
chr1	151254618	151373661	28	0.012458059647853103
chr1	153718747	153837790	29	0.01255912448420949
chr1	204366586	204485629	42	0.021081137725151005
chr1	244528616	244647659	46	0.004171014230868833
chr10	65592280	65711323	339	0.0005768669408915426
chr10	126399168	126518211	354	0.00039366782648536316
chr12	6592478	6711522	395	0.0057094978359628675
chr12	21378072	21497115	399	0.0136394650319699
chr12	46727491	46846534	406	0.010760041828058993
chr12	51050725	51169768	408	0.006480734178970046
chr12	58132478	58251522	411	0.010029800291581865
chr12	60111976	60231020	413	0.02004787158723615
chr12	67638971	67758014	415	0.02519016102415749
chr12	69086265	69205309	417	0.053653181177928194
chr12	69612870	69731913	418	0.02585475645577997
chr12	74180026	74299069	419	0.006813501705716824
chr16	2589703	2708746	474	0.014280327794090338
chr16	4366364	4485407	476	0.002626945010772773
chr16	5138585	5257628	477	0.0036100843725779953
chr16	7316478	7435522	479	0.002970095922661283
chr16	11596799	11715842	480	0.00038536092327683135
chr16	19174126	19293169	482	0.0005711299385402526
chr16	24536478	24655522	484	0.0036100843725779953
chr16	28638275	28757318	485	0.0036100843725779953
chr16	51252478	51371522	486	0.0050390194782990415
chr16	69426614	69545657	490	0.02452367787258099
chr17	32802349	32921393	501	1.5424098874259823e-05
chr17	46453539	46572582	509	0.00012212407625833223
chr17	48728478	48847522	510	2.0445332662280164e-05
chr17	50549192	50668235	511	0.00012811976199830609
chr17	58651438	58770481	515	0.0005631521016005413
chr17	65725464	65844508	518	0.0002760302371710555
chr17	73456478	73575522	520	0.000259463978877091
chr17	77823894	77942937	521	2.205069876695169e-05
chr17	79509385	79628428	522	0.00010450836123340366
chr19	9128173	9247216	540	0.005255628351048269
chr19	10741160	10860203	541	0.021251937171046974
chr19	13904954	14023997	542	0.043512695171294365
chr19	15312275	15431318	543	0.020689871611142944
chr19	33779361	33898405	546	0.017800153390670592
chr19	36101861	36220904	548	0.0027307466322385736
chr19	39491845	39610888	550	0.006122881913793631
chr19	40056478	40175522	551	0.013324826443583092
chr19	45251137	45370180	553	0.010728475542401065
chr20	15811003	15930047	556	0.00320403802600491
chr20	34030582	34149626	557	6.112733121485751e-06
chr20	45808478	45927522	560	0.011908927961952849
chr20	48761663	48880706	561	0.02569593256585395
chr20	52433890	52552933	563	0.06627037658024203
chr21	34767631	34886674	568	0.02044257087204685
chr4	10259463	10378506	162	0.02245787529327238
chr4	13959116	14078160	163	0.008910348709966194
chr4	73906185	74025228	178	0.0015751200529069188
chr4	87870004	87989047	181	0.000952250446078488
chr5	1163786	1282829	192	0.01312216570989117
chr5	8067480	8186523	195	0.0021162113428812956
chr5	10132478	10251522	196	0.007206474926138469
chr5	14235642	14354686	198	0.005729734153757893
chr5	16483639	16602682	199	0.016177030601449222
chr5	22211926	22330970	200	0.007390181753939814
chr5	27328478	27447522	202	0.0023765075261076214
chr5	28484787	28603830	203	0.002729341092905981
chr5	32356631	32475674	206	0.005345926595601818
chr5	36339142	36458185	207	0.006149739318407385
chr5	36613351	36732394	208	0.009664389024031222
chr5	38665941	38784985	209	0.00047983652682738253
chr5	58103905	58222948	212	0.010032346924182827
chr5	59632478	59751522	215	0.0016557829477330233
chr5	165272478	165391522	220	0.04096150175302743
chr7	8552478	8671522	252	0.022070268339425908
chr7	17352478	17471522	254	0.011214299296302011
chr7	23168478	23287522	255	0.046609284037513694
chr7	69204478	69323522	260	0.0047340799528791605
chr7	92008478	92127522	265	0.002441436418167616
chr7	99583592	99702635	266	0.0012890116715431124
chr7	151194257	151313300	276	0.0020463137329912707
chr8	128493524	128612567	296	0.027628909989873173
chr8	129356836	129475880	298	0.004908462832960512
chr8	141889441	142008484	301	0.04853333052423195
chr9	130576412	130695455	324	0.10238965286034413
