chrom	start	end	name	score
chr1	151282142	151401185	28	0.01996267739891207
chr1	153746271	153865314	29	0.004486363493547339
chr1	156085499	156204543	32	0.0007633691511779064
chr1	160085162	160204205	33	0.023157332577766296
chr1	169153675	169272718	36	0.0030481400773415255
chr1	172187888	172306931	37	0.005677752836740148
chr1	202869279	202988322	41	0.000478527457820704
chr1	204397458	204516501	42	0.0020815100823313175
chr1	234656732	234775775	44	0.004929887144470541
chr1	244365314	244484357	46	0.0004999118887172042
chr10	5086277	5205550	326	0.0232348974656031
chr10	8952172	9071215	327	0.034659766801037994
chr10	11800361	11919404	328	0.01429337869381032
chr11	61165006	61284050	361	0.0002816880519731024
chr11	62433006	62552050	362	0.001788812363517315
chr11	64133006	64252050	364	0.0002719248356357023
chr11	65654705	65773748	366	0.00017252663935020146
chr11	66685511	66804554	367	0.0012776984820891109
chr11	67368137	67487180	368	0.0009052236651826076
chr11	69155543	69274587	370	0.0032254706176874275
chr11	69597710	69716754	371	0.012148335894422902
chr11	70433449	70552493	372	0.005650614275688947
chr11	71369432	71488476	374	0.001683261676188814
chr11	73027923	73146967	376	0.001063607371462209
chr11	74369433	74488477	377	0.0006289062005910053
chr11	78034996	78154039	379	0.004602815966967539
chr11	79467049	79586093	381	0.0022336225644841185
chr11	82523314	82642357	384	8.0682687280902e-05
chr11	89114424	89233467	387	0.0010245846429602088
chr11	101410918	101529962	388	0.0036630165325773306
chr11	102555660	102674704	389	0.0004885269173556041
chr11	118537763	118656812	390	0.0004067324876661034
chr12	520262	639306	392	0.0031545251104847264
chr12	3831312	3950356	394	0.0008577922708075073
chr12	6483312	6602356	395	0.0016610364884596142
chr12	11921039	12040082	396	0.00017687388423540148
chr12	21225138	21344181	399	0.002628854883284722
chr12	25027192	25146235	401	0.0033327638849468284
chr12	26084300	26203344	403	0.002641601449042822
chr12	46333708	46452751	406	0.0004546791618015038
chr12	50656942	50775985	408	9.379114067876938e-05
chr12	52224763	52343806	409	4.6052773912477484e-05
chr12	56147263	56266306	410	0.00010047857449670086
chr12	57738695	57857739	411	9.06457024329498e-05
chr12	59718195	59837239	413	0.0004492378311070038
chr12	67245191	67364234	415	0.0002242725365352019
chr12	68692485	68811529	417	0.0015996882726465134
chr12	69219090	69338133	418	0.0009101128860039077
chr12	73786246	73905289	419	0.000232941118914802
chr12	124627932	124746976	420	0.00011199537868100095
chr13	24296253	24416042	421	0.0004968330390164043
chr13	27753572	27872615	422	0.0024046813047693206
chr13	30365547	30484590	423	0.005426016791698346
chr13	73253179	73372222	428	0.0019696522554118164
chr13	91108224	91227268	430	0.00014908972022330125
chr16	2539702	2658745	474	5.093625512767104e-06
chr16	4316363	4435406	476	2.4881827615390822e-05
chr16	5088584	5207627	477	7.798159466953985e-05
chr16	7266477	7385521	479	8.392567156052191e-05
chr16	11502943	11621986	480	0.00118208361535851
chr16	19162804	19281847	482	0.0002957645898106025
chr16	24525157	24644201	484	0.001400777697630912
chr16	28626954	28745997	485	0.0010437291964322088
chr17	33399479	33518522	500	0.0056231026592017475
chr17	34475330	34594374	501	0.0027770363497395235
chr17	37769269	37888662	502	0.0053636090655476455
chr17	39615001	39734044	503	0.013907858183574718
chr17	48376177	48495220	509	0.0012681242579884106
chr17	50651117	50770161	510	0.003188934497846427
chr17	52471832	52590875	511	0.01545283345533153
chr17	60574077	60693120	515	0.01435931439966352
chr17	67729348	67848392	518	0.00948869444161958
chr17	75460397	75579441	520	0.0009621987761589081
chr17	79850095	79969138	521	0.001415704104138912
