chrom	start	end	name	score
chr1	150599202	150769139	16	0.09757916531517237
chr1	151577276	151824681	1	0.09757916531517237
chr1	153567828	153761700	28	0.09757916531517237
chr1	154866700	155184646	20	0.002266097351312406
chr1	160944223	161118797	8	0.02610855654196207
chr1	171763783	172395327	19	0.011447126341218231
chr10	59942726	60061769	250	0.0029985169669594076
chr10	61321198	62034364	242	0.012717640483721435
chr10	63604255	63953573	256	0.002895316878595408
chr10	81308268	82447504	252	0.02572814304886147
chr11	62148903	62573639	272	0.0042996294511199115
chr11	67152147	67373325	286	0.008341522241562722
chr11	69619952	69738995	285	0.003454507657978809
chr11	70319004	70438048	276	0.003454507657978809
chr11	71260778	71467434	282	0.003454507657978809
chr11	74190902	74844343	270	0.0023690217971181066
chr11	77829950	77948994	259	0.001440490500359104
chr11	82111694	83074566	268	0.001440490500359104
chr11	102447525	102575127	271	0.004311401570659911
chr12	19624312	20151125	293	0.013042579039169635
chr12	24935138	25138824	291	0.004934324455439313
chr12	26155824	26274868	311	0.007320380365965119
chr12	27159250	27571622	300	0.03374089779568689
chr12	52100987	52220031	307	0.0025732011251629067
chr12	56083254	56202297	303	0.00373905458105481
chr12	57748858	57867901	292	0.016972779656018344
chr12	59754080	60092039	298	0.005110453515407014
chr12	65499846	66013382	306	0.015414419147624842
chr12	69096589	69243000	317	0.02634917045289957
chr14	37343469	37589273	332	0.004618310550483312
chr14	41444173	42113315	338	0.005709786645655516
chr14	49950433	50078527	329	0.005883388982284315
chr15	72303492	72637942	353	0.06196093586094597
chr16	11637627	11775844	359	0.01860153392558685
chr16	69313107	69813585	370	0.049855450358279534
chr19	37298703	37801292	408	0.009728502736975127
chr2	4892318	5108590	51	0.022377266870414757
chr2	56492365	57045716	55	0.014196602783001538
chr2	61053389	61713250	31	0.03057550256598368
chr20	60270269	61275884	432	0.04124948126132331
chr4	76274642	76750201	101	0.019059642287246253
chr5	165806843	166172416	124	0.012458947451981233
chr8	54333830	54452874	207	0.028550619667589778
chr8	112378334	113721555	198	0.08748438316687644
chr8	127319320	127438363	206	0.01097954276973533
chr9	25466495	25786524	237	0.018831585883321948
chr9	30245130	30517234	221	0.01921628350462395
