chrom	start	end	name	score
chr1	5758281	6359521	2	0.006960432551452566
chr1	7856438	8493750	15	0.004078471248080968
chr1	14711802	15089994	27	0.008218315962292621
chr1	26780389	26989453	5	0.021651860938946717
chr1	51217575	51336619	13	0.0033179947688105273
chr1	93088471	93294034	11	0.004916116471421175
chr1	114725108	115702047	7	0.016236619848282792
chr10	47184277	47650133	244	0.005812253086045664
chr10	58218870	58714895	243	0.004721398240954704
chr10	77295386	77414429	251	0.0004097834084471609
chr10	77918891	78043175	246	0.0001703739723391021
chr10	89560990	89680033	241	0.0016880833407370826
chr10	89965304	90084347	239	0.01722276459682702
chr11	39985638	40635879	287	0.003590828662613122
chr11	45931344	46402442	264	0.01198407720740098
chr11	62685002	63185231	261	0.003643596101722177
chr11	64602254	65066589	273	0.00100115152924627
chr11	68133517	68341010	266	0.002382780320529941
chr11	69896864	70147013	283	0.003394524735960195
chr11	72023274	72313020	289	0.004233387530300907
chr11	75846730	76992775	279	0.0010139467055469383
chr11	80339167	80463952	265	0.0032472287697388903
chr11	83964212	84366423	284	6.924558152065763e-05
chr11	85972100	87096374	280	0.0019048739969914099
chr11	113905768	114104249	260	0.0005632369887366997
chr12	45348202	45969805	301	0.008221169883254206
chr12	52402269	53168356	310	0.007750312627930442
chr12	58096082	58747276	302	0.0029980405925267633
chr12	67138261	67494262	313	0.0005631962930830143
chr12	74618787	75789025	305	0.005517981805615517
chr12	99864342	100151810	308	2.9446932985739246e-05
chr13	32621411	32950651	321	0.0017602126067640977
chr13	48939729	49058772	318	0.006154130233031304
chr13	50860815	51455790	324	0.003572131795378514
chr14	27537653	29081983	344	0.0021080247128497202
chr14	33699932	33818975	334	0.001986198041902342
chr14	40295008	40722782	337	0.0014626942994235771
chr14	67168861	67652025	342	0.0031152723019919983
chr14	68742331	68861374	328	0.001075348184117058
chr15	32159195	32278239	352	0.002033052629101383
chr15	41285416	42451276	355	0.0025894954013630476
chr15	57326607	57557542	356	0.0016771832010528552
chr16	3723115	3842158	367	0.0016089396642090113
chr16	23317721	24116798	360	0.0015236929012424107
chr16	53432883	54385775	371	0.010289242240758903
chr16	72508842	72677340	365	0.0025468242845500984
chr16	78647303	78766346	357	0.001227808261104041
chr16	79003131	79122175	361	0.000854670203997028
chr16	83335710	83621823	372	0.0037768307797250065
chr17	7514447	7633490	378	0.06023607841329675
chr17	11812452	11954002	380	0.03425229446537853
chr18	24556761	25643499	400	0.010403794526927867
chr18	48538690	48667732	399	0.001483740941274606
chr19	18878316	19376690	415	0.004355778283278246
chr2	133733042	133852085	36	0.0004388726332920845
chr2	136044235	136519191	43	0.0026771763459848474
chr2	141852754	141971797	29	0.01867415976884396
chr2	148743553	149033199	49	0.0017959344754372344
chr2	186890810	187009853	45	0.0011101005930223022
chr2	187311700	187430743	52	0.00013467866657689402
chr2	213742720	213861867	34	0.004282137313206709
chr2	233842479	234065299	37	0.004621529123332627
chr21	24076479	25427169	437	0.020776262411192105
chr21	36239813	36482914	436	9.212437318695608e-05
chr3	50335869	50878720	67	0.040318837143427315
chr3	60412240	60531283	62	0.0353008924551751
chr3	71264717	71383760	69	0.15705493453934238
chr4	10020807	10139850	112	0.0006184760018712965
chr4	19579540	19803047	99	0.0014397172179722013
chr4	20311739	20481287	119	0.001849038397956041
chr4	21103783	21432337	116	0.00970437700298065
chr4	33780693	33991366	95	0.016306403834410746
chr4	60108690	61998938	102	0.0036495556130986223
chr4	82008971	83123763	108	0.0026781207753612027
chr4	87477561	87703607	120	0.0017476471117680362
chr4	91777414	91896457	94	0.0015498174494929377
chr4	132708393	134560407	107	0.0016077985371558588
chr4	182144814	182263857	93	0.001336432611737122
chr4	183140721	183429619	106	0.002061458673464915
chr4	187440453	187801507	111	0.0031948986211137115
chr5	56089524	56416824	138	0.06147720921026705
chr5	58500285	58619328	126	0.0031186534258383454
chr5	59259354	59378397	122	0.022007250754527148
chr5	66644179	68066878	147	0.0426099173866622
chr5	100075960	100806984	136	0.0018023563201348533
chr5	130572420	131214333	134	0.04162167080585561
chr5	165556098	165722992	128	0.034206816977210806
chr6	1907547	2026590	156	9.453650784458921e-05
chr6	27812438	28791272	160	0.0005414765232069948
chr6	38059700	38619466	170	0.0021883533625641377
chr6	45107899	45651436	164	0.0036168567055168952
chr6	68476072	69410191	162	0.004494274806556928
chr6	162662514	162781557	150	0.004326690749153424
chr6	168372497	168491540	167	0.0003157379130094115
chr7	69348739	69467782	184	4.2796117061481224e-05
chr7	69965189	70084232	175	7.822750456971973e-05
chr7	83263446	84732043	186	0.0001051284775690642
chr7	101503243	101887721	185	5.688272138799712e-05
chr7	110399106	110518149	174	0.00027393772100527103
chr7	151764558	152106777	192	0.0002858628524467211
chr8	3742692	3861735	197	0.00999493902124198
chr8	22205917	23093349	194	0.020980927573561833
chr8	36071242	37065643	210	0.014151566588989802
chr8	37285837	38080166	199	0.007044364365913369
chr9	9423309	9542352	217	0.003911635026029797
chr9	10991477	11494076	228	0.00249451225266386
chr9	16665363	17111348	223	0.0015059567160839611
chr9	21941390	22060433	213	0.044471909712440624
chr9	26270391	26679836	216	0.0064001286191581784
chr9	28247759	28459511	225	0.0038848911210455006
chr9	31388255	32049495	222	0.0032809637192076956
chr9	131864217	133255541	238	0.005985253677810476
