chrom	start	end	name	score
chr1	5682024	5801067	1	0.02937047426674411
chr1	8582875	8701918	3	0.005705845261449784
chr1	10440421	10559465	5	0.0013493826478909884
chr1	23421985	23541031	10	0.003371855963685989
chr1	26967700	27086743	12	0.00538979736893768
chr1	49178590	49297633	20	0.006038376899303874
chr1	71862795	71981839	23	0.011348983155250566
chr1	110557228	110676272	27	0.07293527688172047
chr10	12538531	12657574	564	0.0009853412341661813
chr10	21888887	22007931	566	0.010462819186597755
chr10	26051549	26170593	567	0.0008548272388367116
chr10	49022527	49141570	573	0.00034722809212269043
chr10	56915261	57034304	580	0.0005148333805827176
chr10	74252078	74371121	588	0.00011510792736805696
chr10	76248720	76367764	591	5.933960851515504e-05
chr10	88074446	88193489	596	0.0012924799357406898
chr10	109417813	109536856	598	0.00025650977047176216
chr13	32326341	32445385	718	0.006122808229746529
chr13	48414342	48533386	721	0.002755150438666963
chr13	48899883	49018926	722	0.00417695134108905
chr13	50313134	50432178	723	0.005083044691595821
chr13	64366803	64485847	724	0.00018735691656645559
chr14	37786476	37905520	752	0.011414085465135665
chr14	50531131	50650174	756	0.006862965130470444
chr14	66891879	67010922	759	0.004088983654506685
chr14	68053761	68172805	761	0.000863705565010712
chr14	105780011	105899533	770	0.0014106238755539136
chr16	52742229	52861272	812	0.06086989023063918
chr17	7415782	7534827	822	0.030365034213651353
chr17	11965161	12084205	823	0.031335715512655675
chr18	26321857	26440900	863	0.014545351221147982
chr18	50936050	51055094	875	0.0011170541819621378
chr18	51391868	51510911	876	0.0011170541819621378
chr18	53030108	53149152	877	0.0011170541819621378
chr19	36750598	36869641	892	0.003880496937853936
chr19	41118361	41237404	897	0.0010023240493598957
chr19	42818215	42937258	898	0.0014259645985252528
chr19	44260325	44379362	899	0.0005284103964623757
chr19	46800590	46919633	901	0.0022861466928910967
chr19	47613883	47732927	902	0.0014867596747048784
chr19	57100905	57219948	904	0.0008851979006646817
chr2	9394058	9513101	77	3.7841763569668097e-07
chr2	25452772	25571815	81	0.00022436357361512607
chr2	32442183	32561227	85	0.00042346047808083844
chr2	45777339	45896383	92	0.00014286884238783003
chr2	54829341	54948385	94	6.0281739683911765e-06
chr2	78209352	78328396	102	0.000244999453232557
chr22	28081349	28200393	940	0.12165057541618109
chr22	28880933	28999976	941	0.030341120283551886
chr22	33676492	33795535	945	0.0031188080701050574
chr3	4404818	4523861	160	0.0013226111688425626
chr3	47945003	48064047	171	0.00889912674157291
chr3	49693066	49812109	172	0.04315181683543951
chr3	60409369	60528412	178	0.0010845235652448425
chr3	61718804	61837848	180	0.006366103437147866
chr3	71367831	71486874	184	0.00043065573130222776
chr3	72349447	72468490	185	0.002029630361830051
chr3	81705841	81824884	187	0.00188988371619779
chr4	10034854	10153898	232	0.0004629723453764644
chr4	20324544	20443587	240	0.001840128094475214
chr4	33738271	33857315	244	0.008865738352048964
chr4	42069655	42188698	249	0.006726365431733767
chr4	58029666	58148709	252	0.004879944666065347
chr4	61205001	61324044	253	0.01959191377538306
chr4	64758926	64877969	254	0.005049533643235316
chr4	69194760	69313804	257	0.004214124539990375
chr4	85723518	85842561	264	0.0032779292393515
chr4	105556346	105675389	273	0.0017076043220160524
chr4	152280081	152399124	278	0.01178026291090625
chr4	178985703	179104747	282	0.010125498032251976
chr4	184260742	184379784	285	0.012085289693002649
chr5	59382371	59501415	323	0.0009406275578522198
chr5	59971993	60091036	324	0.03587235033882263
chr5	60181298	60300341	325	0.0012790166658325887
chr5	99132774	99251818	329	9.310113204136378e-06
chr5	101336774	101455818	330	0.0020993629789458654
chr5	110501999	110621042	331	0.00639818402009809
chr5	131577954	131696998	335	0.02798171579951038
chr5	163153472	163272516	342	0.003193520324091466
chr5	166089764	166208807	343	0.0008380132155896465
chr5	166569473	166688517	345	0.036388288676652655
chr6	128350974	128470017	397	0.04152139478439711
chr6	162265489	162384533	404	0.059791570086463075
chr6	167869474	167988518	405	0.013466869562270715
chr8	3834956	3954000	472	0.0006676456499392623
chr8	30214962	30334006	483	0.0031150680656990776
chr8	35026960	35146004	488	0.0019326438437950683
chr9	9352478	9471522	526	0.0012491372990361912
chr9	11656478	11775522	528	0.004910869458358265
chr9	14069124	14188167	530	0.0011784434623920916
chr9	17198332	17317375	533	5.6450451266108835e-05
chr9	21920479	22039523	536	0.0736559899663742
chr9	28712036	28831079	539	0.012015264664958149
chr9	30316480	30435524	541	0.009783978101838167
chr9	31884480	32003524	544	0.004393417498269447
