chrom	start	end	name	score
chr1	151254618	151373661	28	0.015165230017743038
chr1	153718747	153837790	29	0.008345281917830847
chr1	155228637	155352871	31	0.0012186606567021992
chr1	156055290	156174334	32	0.001063815758916006
chr1	160054952	160173995	33	0.019989394988561334
chr1	169122913	169241956	36	0.0030019100521850974
chr1	172157028	172276071	37	0.010533912894335768
chr1	204366586	204485629	42	0.00920783231086918
chr1	225824201	225943244	43	0.0010197719394008573
chr1	234792478	234911522	44	0.0015614562036757433
chr1	244528616	244647659	46	0.0015470516305386517
chr11	62200478	62319522	362	6.649726449117886e-05
chr11	63900478	64019522	364	0.0001505710580604428
chr11	65422176	65541219	366	0.0001405317326950166
chr11	66452982	66572025	367	0.00040667649698920274
chr11	67135608	67254651	368	0.0002799963860506955
chr11	68923011	69042054	370	0.0018721611041832582
chr11	69412478	69531522	371	0.008666897893935838
chr11	70279555	70398598	372	0.004038217977370828
chr11	71080478	71199522	374	0.0007835357000354013
chr11	72738968	72858012	376	0.00025830270772557006
chr11	74080478	74199522	377	0.0003902403223776981
chr11	77746042	77865085	379	0.0018215548135805568
chr11	79178093	79297137	381	0.0008969437951548314
chr11	82234356	82353399	384	0.00015893722649833777
chr11	88847592	88966635	387	0.0008499541837912276
chr11	101281649	101400693	388	0.0006395375786824654
chr11	102426391	102545435	389	8.992267771777397e-05
chr12	629428	748472	392	0.0009959643948143334
chr12	3940478	4059522	394	0.0021859138005202294
chr12	6592478	6711522	395	0.0014787309783595764
chr12	21378072	21497115	399	0.029389880805898033
chr12	25180126	25299169	401	0.008079417107544685
chr12	26237233	26356277	403	0.012192561979299486
chr15	25847068	25966111	458	0.0006539138491337022
chr15	52452762	52571805	462	0.000341524588082047
chr15	71700478	71819522	467	0.0003748311964881408
chr15	72672389	72791432	469	0.0002777271745345283
chr15	87318721	87437765	471	0.000668826269949058
chr15	90772871	90891914	472	0.0003564829938452533
chr15	93236064	93355107	473	0.00119049286783063
chr16	2589703	2708746	474	0.00022261504257461433
chr16	4366364	4485407	476	0.00016965715902610574
chr16	5138585	5257628	477	0.00017027979753735843
chr16	7316478	7435522	479	0.00015989646318762235
chr16	11596799	11715842	480	0.001605257638894819
chr16	19174126	19293169	482	0.00038911417419264726
chr16	24536478	24655522	484	0.002070860327762361
chr16	28638275	28757318	485	0.0022952744373788063
chr17	31726497	31845541	500	0.003612935201535321
chr17	32802349	32921393	501	0.003090042317965704
chr17	36129241	36248284	502	0.0019309535817881535
chr17	37771254	37890297	503	0.013255612593580803
chr17	46453539	46572582	509	0.0014401126183723862
chr17	48728478	48847522	510	0.0017034399196537387
chr17	50549192	50668235	511	0.007986188760483721
chr17	58651438	58770481	515	0.008691382923984097
chr17	65725464	65844508	518	0.009776278114811496
chr17	73456478	73575522	520	0.0006182284123107883
chr17	77823894	77942937	521	0.002136113429106419
chr17	79509385	79628428	522	0.0034313589062248294
chr18	3290525	3409568	524	0.013880167257569374
chr18	7387795	7506838	527	0.002595070959473478
chr18	9959461	10078504	530	0.00034468230898267627
chr19	33779361	33898405	546	0.010498402547213114
chr19	36101861	36220904	548	0.005744292713494823
chr19	39491845	39610888	550	0.01813428992781548
chr19	40056478	40175522	551	0.005731478611582701
chr19	45251137	45370180	553	0.0006451099376966889
chr2	5197977	5317020	50	0.004112471899471393
chr2	22333919	22452962	54	0.0006318946560300055
chr2	28849068	28968111	56	0.0020126480059028374
chr2	47280478	47399522	61	0.0004168855558983538
chr2	56892512	57011556	63	0.007616374886690122
chr2	61115275	61234318	64	0.034230522237724374
chr2	64784478	64903522	66	0.004543072576485505
chr2	67119708	67238751	67	0.001725937736105458
chr2	85515482	85634525	71	0.006405161119296106
chr20	15811003	15930047	556	0.011565680697623114
chr20	34030582	34149626	557	0.004896973137764669
chr20	43886206	44005250	559	0.0010369863209480732
chr20	45808478	45927522	560	0.001095464127770966
chr20	48761663	48880706	561	0.0016759647006736403
chr20	50413969	50533012	562	5.463228199584262e-05
chr20	52433890	52552933	563	0.002706855143473455
chr22	29476478	29595522	573	8.141638956367085e-05
chr22	30326031	30445075	574	0.0098828500972491
chr22	38406203	38525246	575	0.004351040529030398
chr3	101778826	101897869	129	0.005613149623451107
chr3	107548478	107667522	130	0.003446409586191105
chr3	110534686	110653730	131	0.010206290735123833
chr3	115282894	115401938	134	0.0029726909676132175
chr3	124661142	124780186	138	0.0006043635183273615
chr3	138478641	138597684	140	0.0036188360662636507
chr3	149008478	149127522	141	0.011363017798085984
chr3	166601905	166720949	144	0.01982827727120399
chr3	168744245	168863289	145	0.0323279002455384
chr3	168991244	169110287	146	0.01518404152965164
chr3	169936430	170055473	148	0.017882139997912168
chr3	172154974	172274017	149	0.019051022075508628
chr3	175554070	175673113	152	0.017745845496139376
chr3	177237224	177356267	153	0.03576690875393865
chr3	181376611	181495655	154	0.02494565740738694
chr3	182411928	182530971	155	0.033580285282906235
chr3	189621987	189741030	157	0.00874305739566359
chr3	193536717	193655760	158	0.0014456387599153524
chr5	1163786	1282829	192	0.014124061830457602
chr5	8067480	8186523	195	0.008876910759341829
chr5	10132478	10251522	196	0.010556088574147334
chr5	13216678	13335721	197	0.008451413229165448
chr5	14235642	14354686	198	0.025443252393000784
chr5	16483639	16602682	199	0.02088689775070726
chr5	22211926	22330970	200	0.02615011311375806
chr5	27328478	27447522	202	0.007618690539990683
chr5	28484787	28603830	203	0.013268819653273853
chr5	32356631	32475674	206	0.011607695380076442
chr5	36339142	36458185	207	0.016545025740002595
chr5	36613351	36732394	208	0.007878264439313457
chr5	38665941	38784985	209	0.003820611414700232
chr6	6724646	6843689	227	0.0005300538743532773
chr6	11343965	11463008	228	0.0004300706914377075
chr6	13439961	13559004	229	6.699541231295927e-05
chr6	18431157	18550200	230	0.0011907083619913386
chr6	19377489	19496533	231	0.000638829109488699
chr6	21786522	21905565	233	0.0004424591382087249
chr6	31511532	31630575	235	0.0009559605422110074
chr6	37183318	37302361	236	0.0004347898943629142
chr6	41878147	41997190	238	0.0010609702265589036
chr6	43821808	43940851	239	0.0007260113036719589
chr6	46932478	47051522	240	0.00157376262886523
chr6	52303755	52422798	241	0.0032420518502859885
chr7	8552478	8671522	252	0.003003636392385138
chr7	17352478	17471522	254	0.004361601746516661
chr7	23168478	23287522	255	0.002098379960271547
chr7	47776478	47895522	258	0.00202979253769608
chr7	69204478	69323522	260	0.0021466147160195967
chr7	92008478	92127522	265	0.008817587065576804
chr7	99583592	99702635	266	0.004721573376492392
chr7	104371434	104490477	268	0.001393861764802541
chr7	117264478	117383522	270	0.001544095182760828
chr8	55295856	55414899	291	0.009708336829527481
chr8	101343854	101462897	293	0.003746828282474002
chr8	120977589	121096633	295	0.01723527579397649
chr8	128493524	128612567	296	0.07002875023591577
chr8	129356836	129475880	298	0.025224157645886033
chr8	141889441	142008484	301	0.004527434060438103
chr9	3664478	3783522	302	0.0003823568375181335
chr9	6669591	6788634	303	0.00040666425097925473
chr9	8968478	9087522	304	0.00023535206711180817
chr9	13144326	13263369	307	0.0006773717897812469
chr9	13921789	14040832	308	0.00018369867010730722
chr9	17120478	17239522	309	0.00021587286148018928
chr9	19348770	19467813	311	0.0001893271675284055
chr9	25087455	25206498	313	0.0005929863178482344
chr9	26915118	27034161	315	0.0006751703825362837
chr9	27780258	27899301	316	0.0011069938871997751
chr9	29204478	29323522	318	0.00017135425486912502
chr9	30052301	30171344	319	0.000914994464891512
chr9	31470394	31589438	321	0.00030630976592555686
chr9	33775856	33894899	322	0.004916169682171548
chr9	35824116	35943159	323	0.003868418166510596
