chrom	start	end	name	score
chr1	4227963	4347006	0	0.0024780746921510507
chr1	6151201	6270244	1	0.029427874153733123
chr1	7942696	8061739	2	0.004371149797244697
chr1	10536421	10655465	3	0.005403621592176568
chr1	20879771	20998814	7	0.003948285652095242
chr1	26788020	26907063	10	0.008726359639015425
chr1	50638878	50757921	19	0.0015715546299226698
chr1	71862795	71981839	22	0.0034888367687373675
chr1	92812308	92931351	23	0.019829115363653116
chr1	110857627	110976671	26	0.015503535819531317
chr10	22342056	22461100	329	2.3878281739339765e-06
chr10	24395920	24514963	330	0.017980124961902738
chr10	47608588	47727615	331	0.011068866465134513
chr10	51488559	51607602	334	6.626568283448683e-06
chr10	56643056	56777011	336	0.0035592088814987077
chr10	75640715	75759758	345	1.8566537776876153e-05
chr10	88023240	88142283	350	0.07004521823968393
chr10	110932549	111051593	351	0.004326360673407275
chr11	40411372	40530415	358	0.003705556441067326
chr11	46206310	46325355	360	0.005221623736119813
chr11	62958560	63077843	363	0.012614782919049944
chr11	68642182	68761225	369	0.008155018631423502
chr11	70676579	70795622	373	0.0030329455897118813
chr11	71861432	71980476	375	0.01912349822246999
chr11	76349454	76468498	378	0.001469767806249401
chr11	80558042	80677085	382	0.011165156966061306
chr11	84280308	84399351	385	3.460824015473281e-09
chr12	45058695	45177739	405	0.008817805977156734
chr12	58086057	58205100	412	0.004078516444170693
chr12	66986441	67105485	414	0.0017966622348713792
chr12	68202497	68321540	416	0.0038199436033698386
chr13	32160562	32284541	424	6.927786004534375e-05
chr13	48367559	48486602	425	0.00017808984784469745
chr13	48586342	48705386	426	0.000249590789610282
chr13	50327992	50447036	427	0.00024587217295499956
chr13	83934035	84053078	429	5.984169560533532e-05
chr13	112049822	112168865	434	0.00012199548624221422
chr14	33242977	33362021	439	0.002082979695398508
chr14	40143320	40262364	443	0.0024815174617845784
chr14	66969761	67088805	448	0.006118226313206021
chr14	67861761	67980805	450	0.0029993180709982966
chr14	68523434	68642477	452	0.009613340498414662
chr15	31914076	32033119	459	0.0016879658347972002
chr15	41672280	41791324	461	0.002200239197136416
chr15	52385692	52504735	463	3.6540218457800455e-07
chr15	57098702	57217745	464	0.00047283388233263787
chr15	71612139	71731183	468	0.0003819823910797758
chr15	74689495	74808538	470	5.6023447733565076e-05
chr16	51528392	51647435	487	0.02040290403074766
chr16	72457097	72576140	491	0.00022148178043465192
chr16	78659578	78778621	493	0.008780767738328765
chr16	83075225	83194268	495	0.013183757894641953
chr17	7597160	7716204	496	0.041233796983100666
chr17	8030064	8149108	497	0.04266110560740497
chr17	11976605	12095648	498	0.007662781720952187
chr18	4054332	4177300	525	0.00020436097121693842
chr18	5228437	5347481	526	0.0008934672859379282
chr18	8260480	8379524	528	0.00038246589658828096
chr18	9662154	9781198	529	0.0007640619540933995
chr18	28647327	28766370	532	0.004082839426020155
chr18	51018108	51137152	538	0.0008092496587096892
chr19	19073669	19192713	545	0.002470971891390725
chr19	33868186	33987230	547	0.0005843411675015052
chr19	42919526	43038570	552	0.00025668910236255934
chr19	47250100	47369144	554	0.003361650547447321
chr2	9433982	9553025	51	0.0014146691831310415
chr2	43295581	43414624	59	2.1627770412767152e-05
chr2	45880940	45999984	60	1.0464191984614549e-06
chr2	54845768	54964812	62	0.0032436049754399365
chr2	133062905	133181950	79	0.0002446598740909353
chr2	135370908	135489952	81	0.0020752258264565724
chr2	138362361	138481404	83	0.0003235868142753246
chr2	141082909	141201953	85	0.00015064713881725498
chr2	148208375	148327419	87	9.778289329570735e-05
chr2	159062302	159181346	91	0.0002716482916141488
chr2	194882637	195001680	97	0.0001481514858699427
chr2	204971768	205090810	101	0.0002520452952197889
chr2	211550386	211669429	102	1.589641597633744e-06
chr2	212727680	212846723	103	0.0002815079387987108
chr2	213835736	213954779	105	0.0007899326841047597
chr2	232701653	232820697	107	0.000366387899718909
chr2	233221998	233341042	108	0.0014324066352141452
chr2	235885002	236004045	109	0.00022108256828149963
chr20	14875832	14994876	555	0.009340095014700518
chr21	20624165	20743204	566	0.000767465061920253
chr21	23336110	23455156	567	0.0010902519212582916
chr21	34942563	35061606	569	0.001961511966879249
chr3	4542794	4661838	111	0.001767146764534673
chr3	50642090	50761133	120	0.007910865818416074
chr3	60461946	60580989	122	0.001969750357266658
chr3	71113887	71232930	127	6.651186070762998e-05
chr3	72728653	72847696	128	0.002498333244210863
