chrom	start	end	name	score
chr1	4227963	4347006	0	0.00040226624439821567
chr1	6151201	6270244	1	0.00037256269625569297
chr1	7942696	8061739	2	0.00011456891068759023
chr1	10536421	10655465	3	5.644185540386855e-05
chr1	20879771	20998814	7	4.744188474897362e-06
chr1	26788020	26907063	10	0.0003499710438895339
chr1	48934739	49053782	18	0.00011851921865841746
chr1	71862795	71981839	22	0.00025302582719094913
chr1	92812308	92931351	23	0.00024972140324099106
chr1	110857627	110976671	26	0.00023252270515578308
chr1	143730831	143849955	27	0.00019899368632700547
chr1	154906118	155025161	30	0.000463704587679361
chr1	162158802	162277845	34	0.0004537992728985872
chr1	166219019	166338063	35	0.00033717418824135434
chr1	189424363	189543407	39	0.000929523707593606
chr1	241427643	241546686	45	0.0013787226901856697
chr1	246112518	246231561	48	0.00028098390071564823
chr10	22342056	22461100	329	1.103349003716258e-06
chr10	24395920	24514963	330	0.0007196973375805645
chr10	47608588	47727615	331	0.0037503576469919034
chr10	51488559	51607602	334	2.127821813271723e-05
chr10	54584647	54703691	335	0.0032162444709007225
chr10	56643056	56777011	336	0.008108833180069523
chr10	63332718	63451762	338	0.0017524643097229793
chr10	74232720	74351764	342	0.0100688665949478
chr10	75640715	75759758	345	0.008787065438702803
chr10	76056393	76175436	346	0.00625066993227866
chr10	88023240	88142283	350	0.06523075076002488
chr11	40411372	40530415	358	0.005034843842862872
chr11	46206310	46325355	360	0.0015235816691735672
chr11	62958560	63077843	363	0.004083838504570887
chr11	68642182	68761225	369	0.00751359626057786
chr11	71861432	71980476	375	0.004957529556376594
chr11	80558042	80677085	382	0.015589912035031414
chr11	84280308	84399351	385	1.4278782712590568e-08
chr11	85986567	86105612	386	0.004727496564858115
chr12	12519606	12638649	397	0.03425668774354492
chr12	16261347	16380391	398	0.02898200585704621
chr12	23695270	23814314	400	0.00028209348645104137
chr12	25730117	25849161	402	0.00265042424913263
chr12	26511545	26630589	404	0.006557830959577997
chr13	32160562	32284541	424	0.01402640531203637
chr13	48367559	48486602	425	0.022232925290176044
chr13	48586342	48705386	426	0.03959597275945667
chr13	50327992	50447036	427	0.01803643475222796
chr13	83934035	84053078	429	0.002963543714844652
chr13	93558092	93677135	431	0.002240173714414363
chr13	112049822	112168865	434	0.015123381967212244
