chrom	start	end	name	score
chr1	5758281	6359521	1	0.05098110063862576
chr1	26780389	26989453	2	0.0027586724585676376
chr1	114725108	115702047	3	-0.00916297951700277
chr1	93088471	93294034	4	-0.0017753479625403734
chr1	51217575	51336619	5	-0.003890048888886631
chr1	7856438	8493750	7	0.03971709465370272
chr1	14711802	15089994	13	-0.004792272006655762
chr1	212599176	213761196	15	0.0046356954257722
chr1	246237974	246357017	17	0.007055461973328752
chr1	192981788	193166871	21	-0.00040563850534423493
chr1	157555762	158038113	23	-0.0008837886158384258
chr1	210418225	210907811	27	0.002770189572002726
chr10	89965304	90084347	33	0.047769450025818685
chr10	89560990	89680033	34	0.014435248473202421
chr10	58218870	58714895	36	0.0158330506805412
chr10	47184277	47650133	37	0.0211588877183213
chr10	77918891	78043175	39	0.013791215664383552
chr10	77295386	77414429	42	0.013892807928887505
chr11	45931344	46402442	50	0.009600681091570997
chr11	39985638	40635879	55	0.006832657898652068
chr11	113905768	114104249	57	-0.0002666156209083944
chr11	62685002	63185231	58	0.005366242833300685
chr11	80339167	80463952	60	0.011988561362803192
chr11	68133517	68341010	61	0.007066112924480228
chr11	64602254	65066589	67	0.0007571434775709512
chr11	75846730	76992775	71	-0.00036605896709314894
chr11	85972100	87096374	72	-0.0011434416893084179
chr11	69896864	70147013	74	-0.0011434416893084179
chr11	83964212	84366423	75	0.00022195229071288958
chr11	72023274	72313020	79	0.003358580802763832
chr12	12722317	13120592	80	0.016522758328817517
chr12	26424358	26998323	83	-0.0038718390963803345
chr12	24097405	24228750	85	-0.0003460939711375373
chr12	45348202	45969805	94	0.011232611786564935
chr12	58096082	58747276	95	0.010756747828857305
chr12	74618787	75789025	98	0.00047476467648926806
chr12	99864342	100151810	101	-0.00040389825198028037
chr12	52402269	53168356	103	0.00723146343050597
chr12	67138261	67494262	104	0.009143606419536725
chr13	48939729	49058772	108	0.014363754838059873
chr13	32621411	32950651	111	0.013909245592403724
chr13	50860815	51455790	114	0.014666713631604038
chr14	68742331	68861374	118	0.003951179436180814
chr14	33699932	33818975	124	0.006580322883495575
chr14	40295008	40722782	127	0.007997597869916735
chr14	67168861	67652025	132	0.003833033707008609
chr14	27537653	29081983	134	0.00468480239801332
chr15	32159195	32278239	142	0.010961414254987053
chr15	41285416	42451276	145	0.01680012130967613
chr15	57326607	57557542	146	0.006932524642076291
chr16	6690619	6809663	147	-0.005474299366863133
chr16	23317721	24116798	149	0.024844688079312286
chr16	3723115	3842158	151	-0.004480665126532168
chr16	78647303	78766346	155	0.0024732109257949875
chr16	79003131	79122175	156	0.002243405437515592
chr16	72508842	72677340	159	0.0032855566931135885
chr16	53432883	54385775	162	0.011400590227359796
chr16	83335710	83621823	163	0.0034571560975839724
chr17	7514447	7633490	164	0.02387516898142666
chr17	11812452	11954002	165	0.017200854406275508
chr17	39069342	39414905	168	-0.0001897278845341062
chr17	42042144	42320075	170	0.0008668792973469503
chr17	55765392	56193649	175	-0.003308524603689991
chr17	44220411	44339454	177	-0.0005434196990939336
chr17	58928804	59481230	179	-0.0023085122514351184
chr17	53330349	54068840	181	-0.003308524603689991
chr17	37461077	37780421	182	0.001653509810032063
chr17	70365942	70514571	183	0.00014768713950558514
chr17	32188861	32931084	184	0.006662877561680548
chr18	7209439	8629661	186	0.004403397614798649
chr18	3642355	4275605	187	0.004646714769229215
chr18	48538690	48667732	191	0.0018263877849432435
chr18	24556761	25643499	192	-0.0003715090738684005
chr19	18878316	19376690	199	-0.024953991730985267
chr19	34065789	34406265	206	0.0009396775977185706
chr19	47600563	47829029	207	0.03619398181319686
chr19	43206082	43735495	209	0.0005558449878996419
chr2	43102216	43918289	213	0.0006350276089599893
chr2	141852754	141971797	220	0.007047811353775862
chr2	213742720	213861867	224	0.0005735854126135092
chr2	133733042	133852085	226	-0.0009013490548158912
chr2	233842479	234065299	227	0.011985105686419521
chr2	136044235	136519191	232	0.0009000993970308919
chr2	186890810	187009853	233	-0.0008476767932329769
chr2	206048504	206167548	234	-0.0009013490548158912
chr2	148743553	149033199	235	-0.0009013490548158912
chr2	187311700	187430743	236	-0.0008476767932329769
chr2	213030115	213279155	238	-0.0009013490548158912
chr20	14912725	15031768	242	-0.04069246722559818
chr20	38766260	39467155	244	-0.005022068377401744
chr20	53847353	54168429	245	-0.006277125955637407
chr20	59256957	59983703	251	-0.005717587179939192
chr20	45218930	46034672	253	-0.005038942841398983
chr20	47640176	48144702	255	-0.006128273953245191
chr21	36239813	36482914	258	-0.003956959309198288
chr21	24076479	25427169	259	-0.0017721261765732221
chr22	29278052	29397095	262	0.010129824472375159
chr22	33865202	34313677	263	0.01111157903958884
chr22	25775753	25894796	265	0.010129824472375159
chr22	22852244	23313369	266	0.010129824472375159
chr22	28478268	29020831	267	0.010129824472375159
chr3	60412240	60531283	268	0.0025047178345719307
chr3	50335869	50878720	269	0.004787806341333642
chr3	71264717	71383760	270	0.002525179650727684
chr3	4298031	4566842	276	0.0008165538646624578
chr3	116547466	116666509	278	0.0043635100996494355
chr3	174774387	174893430	281	-7.842287122725538e-05
chr3	188166846	188285889	282	0.01196158074367778
chr3	174352006	174471049	286	-0.0018050370799400331
chr3	125469379	126976615	290	0.004149713845662127
chr3	135952675	136450351	292	0.0004195293617317471
chr3	114311229	114430273	296	0.004045995438989356
chr3	160129384	161903327	298	0.0016912614241840283
chr4	33780693	33991366	299	0.008091111870224136
chr4	19579540	19803047	302	0.0022204753690285243
chr4	10020807	10139850	305	0.0024618695867166065
chr4	21103783	21432337	309	0.0017753241500634415
chr4	20311739	20481287	310	0.0017306086456362845
chr4	182144814	182263857	312	0.007127237746850315
chr4	91777414	91896457	313	-0.0009146891332835248
chr4	60108690	61998938	316	0.0025168914528161607
chr4	183140721	183429619	319	0.0019148761137843084
chr4	132708393	134560407	320	0.0007068992769025183
chr4	82008971	83123763	321	0.0006236870090966318
chr4	187440453	187801507	324	0.0074825067127584285
chr4	87477561	87703607	327	-0.0006563154607650743
chr5	6112570	6656833	329	0.005195863895783086
chr5	25934230	27020948	330	0.0014998193715606853
chr5	15894084	16736119	333	-2.9933518008403075e-05
chr5	31938679	32973100	334	-0.0007040602089995574
chr5	59259354	59378397	341	0.00046269847746855774
chr5	58500285	58619328	344	-0.0001771512960618592
chr5	165556098	165722992	345	0.008893542021958809
chr5	130572420	131214333	348	0.0004495973056851025
chr5	100075960	100806984	349	-0.0009557139917369478
chr5	56089524	56416824	351	-0.0010478444336515218
chr5	66644179	68066878	354	0.006127471256239122
chr6	1907547	2026590	359	0.00025910483222948126
chr6	27812438	28791272	362	0.0026290618209505842
chr6	45107899	45651436	365	0.0019663100387944435
chr6	38059700	38619466	370	-0.0009695677978806174
chr6	162662514	162781557	372	0.026323581864470102
chr6	68476072	69410191	377	0.007100793161622805
chr6	168372497	168491540	378	0.01118711068353076
chr7	50414326	50832599	382	-0.041953721185971266
chr7	3727614	3884420	383	-0.04870842258558838
chr7	110399106	110518149	388	-0.010573233801669453
chr7	69965189	70084232	389	-0.009926452234943242
chr7	126390050	127428332	390	-0.009069282257975462
chr7	69348739	69467782	394	-0.00947523586407858
chr7	101503243	101887721	395	-0.009596459971358658
chr7	83263446	84732043	396	-0.004898394120761663
chr7	151764558	152106777	400	-0.010605817239655237
chr8	22205917	23093349	401	0.006849108761162536
chr8	3742692	3861735	403	0.0012801245923578953
chr8	37285837	38080166	404	0.0012801245923578953
chr8	36071242	37065643	409	0.008853604610423777
chr8	90322011	90475441	412	-0.003299308727548744
chr9	21941390	22060433	420	0.46023301961181445
chr9	26270391	26679836	423	0.04499890509200183
chr9	9423309	9542352	424	-0.015406966803263629
chr9	31388255	32049495	429	0.004092833317252115
chr9	16665363	17111348	430	-0.016047296399798405
chr9	28247759	28459511	431	0.02264834288300874
chr9	10991477	11494076	434	0.014371260714817017
chr9	131864217	133255541	445	-0.01990691505441734
