chrom	start	end	name	score
chr1	5742084	5861127	1	0.005620640593776279
chr1	8642934	8761977	3	0.005077548209417835
chr1	10500478	10619522	5	0.0008800652701726807
chr1	23748478	23867522	10	0.010021810585265637
chr1	27294191	27413234	12	0.01170781587279571
chr1	49644262	49763305	20	0.0011837094147137315
chr1	111099850	111218894	27	0.00802262422884509
chr10	12580530	12699573	564	0.0009046664876161202
chr10	22177816	22296860	566	0.008613049844204001
chr10	26340478	26459522	567	0.000406301380888425
chr10	47368407	47487450	571	0.0014416378517178082
chr10	50230572	50349615	573	0.0008886619596348389
chr10	51636478	51755522	575	0.0011761495141328758
chr10	53156478	53275522	576	0.0003824550627752801
chr10	56380478	56499522	578	0.0013228239042329401
chr10	58675021	58794064	580	0.0023889275872916835
chr10	68971212	69090255	585	0.001279808895668805
chr10	76011836	76130879	588	0.00011500535507234322
chr10	78008478	78127522	591	0.00015177408150460444
chr10	89834203	89953246	596	0.012492760610927823
chr11	1083591	1202634	603	0.002088707836586378
chr11	2733240	2852283	604	0.0004982347576538331
chr11	5540478	5659522	606	0.0014490625219440124
chr11	38609512	38728555	612	0.0028288283794275105
chr11	45758426	45877469	614	0.012167260154346625
chr11	60576478	60695522	616	0.00648245025680312
chr11	62927250	63046293	619	0.003791404676668223
chr11	64097437	64216481	621	0.00655858932660507
chr11	65762046	65881089	623	0.0018825090030766438
chr11	68344155	68463198	626	0.0074206485538667695
chr11	69820468	69939512	629	0.010321562103947711
chr11	70746148	70865191	631	0.002996475947402746
chr11	71621977	71741020	633	0.008321686001826563
chr11	74427239	74546283	636	0.0018273586386456553
chr11	76327656	76446699	638	0.0029290215001409026
chr11	78663286	78782329	643	0.0005288669602266251
chr11	79319856	79438899	644	0.0012296968893678246
chr11	80422058	80541101	645	0.0005801146060341334
chr11	81051356	81170399	646	0.00026333560330465587
chr11	84260478	84379522	650	0.0010518508873947753
chr11	85459946	85578989	652	1.7439712419907264e-05
chr11	86124478	86243522	653	0.0010440341317364801
chr11	114346953	114465997	659	0.00692522944820213
chr11	114569945	114688988	660	0.0003385296247470375
chr11	124107257	124226300	663	0.0003379956795719325
chr11	134539859	134658903	664	0.0002949492401500899
chr12	43613867	43732910	684	0.0018637759689630721
chr12	45973631	46092674	686	0.0010279632805469303
chr12	48020226	48139269	688	0.0027365513832368032
chr12	51392651	51511695	689	0.005494212505349441
chr12	52770114	52889158	691	0.003379850780064517
chr12	58871776	58990819	697	0.001084643922600345
chr12	66995436	67114479	700	0.0009123942038055746
chr12	68805565	68924609	701	0.001769608460720657
chr12	70640478	70759522	704	0.001362392792573849
chr12	71900478	72019522	706	0.0005500951371174779
chr12	76491045	76610088	707	0.009328632970329138
chr12	124840478	124959522	712	0.00017798558966099077
chr13	32900478	33019522	718	0.0019423592658876928
chr13	48988478	49107522	721	0.0011509664031721662
chr13	49474019	49593062	722	0.0021281283502484925
chr13	50887270	51006314	723	0.002622058428598027
chr13	64940935	65059979	724	0.0018038544593356187
chr13	84423366	84542409	726	0.001392850018877617
chr13	108168221	108287264	732	1.501939529612111e-05
chr13	111994846	112113889	736	0.0017495287319365838
chr14	24771201	24890244	740	0.002355513181056958
chr14	33691756	33810799	746	0.00010978030036850047
chr14	38255681	38374725	752	0.0005337709489502552
chr14	40447686	40566729	754	0.00032403033492142057
chr14	67358596	67477639	759	0.0002377065589004629
chr14	68520478	68639522	761	3.166449015760879e-05
chr15	27629324	27748368	773	0.0012121638507548833
chr15	32116571	32235614	774	0.005089390232817209
chr15	40684283	40803327	776	0.004542832616783141
chr15	42035926	42154970	778	0.004319982532952038
chr15	57386282	57505326	782	0.00025745497122215696
chr15	74972745	75091788	790	0.0012986748158246059
chr15	77221327	77340371	791	0.0015755657293983062
chr16	6596143	6715186	803	0.0011224007560026782
chr16	7096478	7215522	804	6.0423445267945745e-05
chr16	15920142	16039185	808	0.00036147022033488724
chr16	22424499	22543542	809	0.0003271843948948203
chr16	23788181	23907224	810	0.0006298808445182697
chr16	52776141	52895184	812	0.003433739432628642
chr16	71131482	71250525	816	1.217051311534098e-07
chr16	72588478	72707522	817	0.00013610903250872044
chr16	78658897	78777941	819	2.219912934754623e-05
chr16	83047323	83166366	821	0.001663853619552084
chr17	7319101	7438144	822	0.024544394847818656
chr17	11868478	11987522	823	0.0134788852872354
chr18	23901821	24020864	863	0.023208761703191763
chr18	26366208	26485251	866	0.003628795361847521
chr18	34063865	34182908	872	0.0019593076047921994
chr18	37131320	37250363	873	4.424677410457185e-06
chr18	48462420	48581464	875	0.0066133175345829505
chr18	48918238	49037281	876	0.009251420533059006
chr18	50556478	50675522	877	0.0038722333866530105
chr19	11999625	12118668	885	0.0018847923389010922
chr19	34419927	34538971	890	0.0004970204552576311
chr19	37241500	37360543	892	0.00013246479212792426
chr19	41624266	41743309	897	0.000545829955142274
chr19	43322367	43441410	898	0.00033509355042857496
chr19	44764478	44883522	899	0.00025734761947853645
chr19	47303847	47422890	901	0.0007823902413706653
chr19	48117140	48236184	902	0.0005156246994752747
chr2	133852478	133971522	115	0.002496090500254139
chr2	136156535	136275579	116	0.0032884269010285652
chr2	141203195	141322238	119	0.001655345931694322
chr2	141785715	141904759	120	0.016626577354289154
chr2	148983654	149102697	122	0.0005746236560519263
chr2	154936482	155055525	124	0.00021953367765359827
chr2	185083360	185202403	131	0.0005599378430031243
chr2	195951971	196071014	137	0.00035148078087568653
chr2	202113496	202232539	140	0.00045670330211943806
chr2	205798285	205917328	142	0.0009738506063722692
chr2	213455331	213574374	148	0.0006059234079688902
chr2	213717438	213836481	149	0.0015277085788656356
chr2	225200478	225319522	153	0.005782762058809508
chr2	233214997	233334041	154	0.0003064191312298279
chr2	234068809	234187852	155	0.0014933776902729449
chr2	236640478	236759522	156	0.0006526805179361921
chr2	240751989	240871033	157	0.0006801381119287247
chr21	30363897	30482940	927	0.002006344880006225
chr21	41409572	41528615	930	0.0107336481742903
chr21	45906552	46025595	934	0.0018472432216383805
chr22	22967565	23086608	937	0.0015481348543427012
chr22	25656478	25775522	939	9.754208174942725e-05
chr22	28477337	28596381	940	0.0013998944727826256
chr22	29276921	29395964	941	0.0012100212042753548
chr22	34072478	34191522	945	0.0001903712394364538
chr22	40520478	40639522	948	1.3166726191098692e-05
chr22	49376478	49495522	950	0.00012980232550917188
chr3	4446502	4565545	160	0.006420915982824553
chr3	9148478	9267522	162	4.385688169758864e-05
chr3	30534024	30653067	168	0.0637212227594214
chr3	47986493	48105537	171	0.010547820701499842
chr3	49730499	49849542	172	0.05833613659922547
chr3	60395102	60514145	178	0.039185304151148424
chr3	61704478	61823522	180	0.01747574100587894
chr3	71416982	71536025	184	0.008706412660770648
chr3	72398598	72517641	185	0.01959358302246515
chr3	81754992	81874035	187	0.03512699355098158
chr4	10036478	10155522	232	0.0008718651244315925
chr4	13145790	13264833	235	0.002470162813737522
chr4	19510927	19629970	239	0.0023775470530369484
chr4	20326167	20445210	240	0.0020130682336576534
chr4	21285720	21404763	241	0.0016797692821807094
chr4	33739893	33858937	244	0.004971081169258863
chr4	42071672	42190715	249	0.006377339832480039
chr4	58895832	59014875	252	0.0014641518265822643
chr4	62070719	62189762	253	0.0017856672859750647
chr4	65624644	65743687	254	0.0005519891905035245
chr4	70060478	70179522	257	0.0001340122003046406
chr4	86644671	86763714	264	0.0004331607286510675
chr4	87520478	87639522	265	0.00121776499623041
chr4	91744478	91863522	269	0.0006897454483178358
chr4	93694926	93813969	272	0.00024995316421571115
chr4	106477503	106596546	273	0.0008881993979800721
chr4	143024478	143143522	275	7.65914209920382e-05
chr4	164915080	165034123	280	0.0013509831492713685
chr4	179906857	180025901	282	0.0012451612271858151
chr4	183312478	183431522	284	0.00021232355218676793
chr4	185181895	185300938	285	0.004991248760937803
chr4	187517160	187636204	286	0.00561061558781377
chr4	188508002	188627046	287	0.005065502079686786
chr4	189591993	189711037	288	0.0029164142950671677
chr5	56129344	56248387	321	0.030574337490507468
chr5	58678197	58797241	323	0.001713190584641844
chr5	59267820	59386863	324	0.034202128542901854
chr5	59477125	59596168	325	0.0010723624350996608
chr5	98468478	98587522	329	1.0463930212490848e-05
chr5	100672478	100791522	330	0.001096055822214913
chr5	109837700	109956743	331	0.0050674286999042775
chr5	130913647	131032691	335	0.02582500688641103
chr5	162580478	162699522	342	0.017939565687887266
chr5	165516769	165635812	343	0.00044898343483260804
chr5	177652478	177771522	349	0.005455773003229934
chr6	1884478	2003522	351	0.0002548608783600165
chr6	5224478	5343522	354	0.000584110076867077
chr6	20861776	20980819	360	0.0005754242359022632
chr6	26046318	26165361	362	5.860392844084526e-05
chr6	27583603	27702647	364	0.0009083903937060191
chr6	31107325	31226368	367	0.0008862220295046727
chr6	32572478	32691522	369	0.0015848507467331233
chr6	38210390	38329433	374	0.0004699861227755564
chr6	43061165	43180208	379	0.0007785384442983648
chr6	45210651	45329694	382	0.0006177277118480413
chr6	50926236	51045279	384	0.0025198662239168256
chr6	68821709	68950989	389	0.0012852618319938258
chr6	101835056	101954099	393	0.0009225944250841973
chr6	119708478	119827522	395	0.0008413846516785917
chr6	150025364	150144408	401	0.00357183427115029
chr6	162686521	162805565	404	0.0015805901447355736
chr6	168270154	168389198	405	0.0012709052695716698
chr7	69427824	69546867	428	0.006335578461151193
chr7	69976647	70095690	429	0.002905382326828246
chr7	89452478	89571522	436	0.003589697514290327
chr7	99804478	99923522	442	0.0008334733521521826
chr7	101652751	101771795	445	0.0029791556652793553
chr7	109976478	110095522	448	0.0016495215527138015
chr7	110379648	110498692	449	0.004467529349595748
chr7	110764503	110883546	450	0.002274512196918344
chr7	124894524	125013567	453	0.004971122764911936
chr7	127430271	127549314	454	0.0008909732006964248
chr7	146543682	146662725	465	0.0011041121621223073
chr7	152411841	152530884	468	0.004401855300183402
chr7	157111755	157230798	469	0.00045809632274255194
chr8	2407562	2526605	470	0.006002388062265071
chr8	3692478	3811522	472	0.017709781196898602
chr8	4390842	4509885	473	0.009458682686221402
chr8	6241429	6360473	475	0.0002813043549727864
chr8	30072478	30191522	483	0.014939636686483635
chr8	34884478	35003522	488	0.003088084242369385
chr8	36283967	36403010	490	0.0025813853333122683
chr9	9352478	9471522	526	0.01119534951132791
chr9	11656478	11775522	528	0.005556687999894048
chr9	14069123	14188166	530	0.0014888140652978279
chr9	17198330	17317373	533	0.00035751613481783376
