chrom	start	end	name	score
chr1	150599202	150769139	16	0.026913222769107507
chr1	151577276	151824681	1	0.006334271475218313
chr1	153567828	153761700	28	0.004197290919078838
chr1	154866700	155184646	20	0.0074611052877025545
chr1	155767082	156064210	9	0.006967954213014129
chr1	160944223	161118797	8	0.024711918645807945
chr1	171763783	172395327	19	0.013897718914462958
chr1	201969765	202088809	22	0.017570382247423025
chr1	204424391	204543434	4	0.013130373542907836
chr1	234768090	234887134	10	0.0027785509457874656
chr10	4977348	5233692	240	0.0048027935098756335
chr10	8812766	9282706	249	0.012765744368842737
chr10	11633710	12122522	255	0.0047341944538832215
chr10	31873372	32524107	247	0.005403685355425717
chr10	53200357	54407754	248	0.000503239300293667
chr10	59942726	60061769	250	0.00042762868745589586
chr10	61321198	62034364	242	0.001743304701057144
chr10	63604255	63953573	256	0.00038554886826828907
chr10	74894765	75176209	245	0.0022785964155676327
chr10	75300349	75448565	258	0.0003922644193394358
chr10	77864432	78188035	257	0.001677345362840437
chr10	81308268	82447504	252	0.0010967867914593642
chr10	124456338	124978026	254	0.0006855016246684088
chr11	13492322	14226122	278	0.0008177350594477612
chr11	32047389	32515735	281	0.0033702931548252736
chr11	34650848	34769892	263	0.005811053211576538
chr11	40075295	41065335	269	0.00191195313019842
chr11	46271747	46622389	274	0.0019290078189591173
chr11	62148903	62573639	272	0.0025085460825031137
chr11	65460963	65580006	275	0.00023648949282140634
chr11	67152147	67373325	286	0.006391552510966431
chr11	69619952	69738995	285	0.022039255271446144
chr11	70319004	70438048	276	0.014854597006650922
chr11	71260778	71467434	282	0.002198819560789325
chr11	73143017	73470545	288	0.0034596275537566844
chr11	74190902	74844343	270	0.0031774178293864684
chr11	77829950	77948994	259	0.012011587293901074
chr11	82111694	83074566	268	0.003682733257774974
chr11	88445898	89085879	267	0.001640628130492391
chr11	91450563	91845351	277	0.0010746745180754923
chr11	100200601	100585952	262	0.0015756875121697373
chr11	102447525	102575127	271	0.0010030628858652623
chr12	641689	875437	315	0.0028763323517807405
chr12	3896569	4521478	295	0.00338111879596142
chr12	6385923	6620669	312	0.0013488403675129444
chr12	19624312	20151125	293	0.0067922138686283134
chr12	24935138	25138824	291	0.005643551428251147
chr12	26155824	26274868	311	0.003294857074208685
chr12	27159250	27571622	300	0.003442384620490665
chr12	45877707	46842542	296	0.0016055137027354473
chr12	47703098	47822141	304	0.0004762426209408982
chr12	52100987	52220031	307	0.0007046216394878842
chr12	56083254	56202297	303	0.0003763597755130597
chr12	57748858	57867901	292	0.0003326667955068015
chr12	59754080	60092039	298	0.0013522734759678736
chr12	65499846	66013382	306	0.002323039270920528
chr12	67247909	67493288	314	0.00039825253814678477
chr12	69096589	69243000	317	0.00953081918970637
chr12	95415175	95805847	309	0.0011339033612670225
chr12	124652439	124771482	297	0.00017818761812977673
chr13	27151986	28009560	323	0.0019518857190026697
chr13	30203840	30696212	319	0.0029612604080190338
chr13	53968152	55186265	325	0.0001558844812788574
chr13	71050096	71897528	326	0.0005451102614624296
chr13	73286205	73405248	320	0.0002583581092145674
chr13	106006870	107280937	322	0.0004892417007162438
chr14	23259105	23594054	340	0.00020928978735358788
chr14	26331260	26785808	330	0.00035668813261456925
chr14	30781838	31712143	335	0.0003210156477882399
chr14	35305989	35516969	327	0.000426646108069148
chr14	37343469	37589273	332	0.0005669101655552958
chr14	41444173	42113315	338	0.00021364446427764162
chr14	49950433	50078527	329	0.0005508608623794171
chr14	61473706	61592749	341	1.5221662743907345e-05
chr14	76968624	77087668	333	3.711709406911456e-05
chr14	103111801	103323946	339	2.9602660974554097e-05
chr14	104596671	104974929	343	4.5271956263338494e-05
chr15	25337247	25692020	350	0.0019896599884620465
chr15	51849333	52543565	347	0.0036794967908693626
chr15	53171399	53468198	354	0.0007909130753117393
chr15	63264299	63734559	351	0.00022276700391205294
chr15	71528646	71647690	348	0.0009641348811960266
chr15	72303492	72637942	353	0.0011485805972896819
chr15	86862062	86998071	345	0.0012949075152338103
chr15	90117058	90328261	349	0.0011556722267886455
chr15	92712490	92831533	346	0.0006556963689694267
chr16	1945841	2333827	368	0.00940788715162995
chr16	4152081	4295376	373	0.0036802071748894276
chr16	11637627	11775844	359	0.025834357201576792
chr16	18828123	19591425	369	0.014309373268661482
chr16	29033031	29729008	362	0.01017715053905946
chr17	32736739	33017432	384	0.006917613672768724
chr17	37680110	37860694	388	0.0010473175951086734
chr17	39658666	39777709	375	0.05574610604040895
chr17	48251532	48479073	383	0.009911887919465219
chr17	50515699	50712150	386	0.011282756525583465
chr17	52326898	52711688	377	0.009723496928666807
chr17	62571334	63664492	382	0.02250676618021429
chr17	69200499	69893902	374	0.011787792313131406
chr17	75471682	75590726	381	0.004779456600703111
chr17	79760434	80083049	390	0.002483019083234056
chr18	3374769	3499944	396	0.002022767286004429
chr18	9476697	10938629	406	0.0015189855749363388
chr19	33028459	33325884	410	0.007990591733067005
chr19	34977767	35361113	417	0.0035251479263467217
chr19	37298703	37801292	408	0.00909391007692916
chr19	39174301	39369276	411	0.0069159728717275645
chr19	44694140	44813196	412	0.0028416151958479984
chr2	4892318	5108590	51	0.0008411761890831868
chr2	28537956	28657000	44	0.000649144695416255
chr2	42906359	43137250	48	0.00033015532086769624
chr2	56492365	57045716	55	0.0013468044268519228
chr2	61053389	61713250	31	0.001916813242929994
