chrom	start	end	name	score
chr1	116915289	116952883	ENSG00000163399	0.003350763208452252
chr1	120454175	120612240	ENSG00000134250	0.004910221227703889
chr1	144836156	145076186	ENSG00000178104	0.020349149490630065
chr1	147013181	147098017	ENSG00000116128	0.02122065860233907
chr1	150782180	150849244	ENSG00000143437	0.027855396980661834
chr1	150898738	150937213	ENSG00000143379	0.027855396980661827
chr1	151030233	151040970	ENSG00000213190	0.027855396980661834
chr1	153430219	153433177	ENSG00000143556	0.02258434461172992
chr1	154127783	154167124	ENSG00000143549	0.03306768364565766
chr1	155158299	155162707	ENSG00000185499	0.033400538976947794
chr1	156052363	156109880	ENSG00000160789	0.0270920165787523
chr1	156720401	156770607	ENSG00000143294	0.024013229923957134
chr1	156785431	156851642	ENSG00000198400	0.024013229923957123
chr1	157543538	157567870	ENSG00000163518	0.024013229923957123
chr1	161284046	161332984	ENSG00000143252	0.015419522821770231
chr1	161551100	161648444	ENSG00000072694	0.01562150342814105
chr1	162601162	162757190	ENSG00000162733	0.016406011845865476
chr1	164524820	164868533	ENSG00000185630	0.007126765516338552
chr1	170631868	170708560	ENSG00000116132	0.004127521107234867
chr1	179068461	179198819	ENSG00000143322	0.008836836629513825
chr1	186280783	186344825	ENSG00000047410	0.025749221155248945
chr1	193091146	193223031	ENSG00000134371	0.025796828688658034
chr1	197053257	197115824	ENSG00000066279	0.025061995462749308
chr1	198607800	198726545	ENSG00000081237	0.026857071604420975
chr1	201977072	201986316	ENSG00000163435	0.025668844886304564
chr1	203274618	203278730	ENSG00000159388	0.027427284385218617
chr1	204485510	204542871	ENSG00000198625	0.03549177449852276
chr1	205577070	205601090	ENSG00000158711	0.03045679741484645
chr1	205626978	205649587	ENSG00000158715	0.03045679741484645
chr1	226249551	226259702	ENSG00000163041	0.006050358247014681
chr1	240931553	241520530	ENSG00000182901	0.01882874601400131
chr1	241660902	241683061	ENSG00000091483	0.018828746014001314
chr1	243651534	244014381	ENSG00000117020	0.02208532846771031
chr10	855483	977564	ENSG00000107929	1.7332441471875254e-05
chr10	21823093	22032559	ENSG00000078403	0.0012706678018148288
chr10	27035521	27150016	ENSG00000136754	0.00642296488923431
chr10	61548520	61666414	ENSG00000108091	0.0002617406264783623
chr10	70320412	70454239	ENSG00000138336	0.006374711877670929
chr10	76585339	76792380	ENSG00000156650	0.00231102761619265
chr11	532241	537287	ENSG00000174775	0.00104594904819424
chr11	3022151	3078843	ENSG00000110619	0.0015663039058992358
chr11	3692312	3819022	ENSG00000110713	0.0015663039058992358
chr11	8245850	8290263	ENSG00000166407	0.0022354593182748648
chr11	17741114	17743678	ENSG00000129152	0.00969856456620344
chr11	22644078	22647387	ENSG00000183161	0.007339369245127503
chr11	32409320	32457176	ENSG00000184937	0.005795864250597944
chr11	33880121	33913836	ENSG00000135363	0.006208685861365056
