chrom	start	end	name	score
chr1	150571678	150741615	16	0.021853382171390715
chr1	151549752	151797157	1	0.008263091089689844
chr1	153540304	153734176	28	0.008263091089689844
chr1	154839176	155157122	20	0.0007171966325256008
chr1	160914013	161088587	8	0.003530343498513669
chr1	171732923	172364467	19	0.0015478560827532925
chr11	13513869	14247668	278	0.0005733362253021174
chr11	32068935	32537281	281	0.0005635027358238403
chr11	34672395	34791439	263	0.0003233096377175224
chr11	40096845	41086885	269	0.0013377250340863623
chr11	46293298	46643939	274	0.00011323179077652395
chr12	750855	984603	315	0.0008683737829484872
chr12	4005735	4630644	295	0.004375213887379744
chr12	6495089	6729835	312	0.0005502212705371009
chr12	19777246	20304059	293	0.0032360460336558314
chr12	25088072	25291758	291	0.0004660925158874917
chr12	26308757	26427801	311	0.0016666719510637451
chr12	27312183	27724555	300	0.00044966469538944536
chr13	27726123	28583697	323	0.04234181853592737
chr13	30777977	31270349	319	0.015027543761785925
chr13	54542287	55760400	325	0.003214680384953478
chr13	71624228	72471666	326	0.015870223411421063
chr13	73860342	73979385	320	0.01801746704747983
chr13	106659219	107933285	322	0.0030329549077405837
chr16	4202082	4345377	373	0.0010062456066842864
chr16	11731483	11869700	359	0.004206204878188422
chr16	18839445	19602747	369	0.0011036545117164493
chr16	29044352	29740329	362	0.0016156832997080031
chr16	52299076	52736330	364	0.005194881553279369
chr16	77921525	78040568	366	5.3821525930519115e-06
chr16	79251739	79370782	363	5.3821525930519115e-06
chr17	31063757	31344450	384	0.002604117547523272
chr17	36040114	36220312	388	0.0013092151212814147
chr17	37814919	37933962	375	0.051747774158878206
chr17	46328894	46556435	383	0.004859765517051061
chr17	48593060	48789511	386	0.005832478963604834
chr17	50404258	50789048	377	0.006039961049598087
chr17	60648695	61741852	382	0.009150634350705025
chr17	67196640	67890043	374	0.0060772995980810235
chr17	73467763	73586807	381	0.0005063104584907424
chr17	77734233	78056848	390	0.0015931779721564123
chr19	33519365	33816790	410	0.003710383218843293
chr19	35468671	35852015	417	0.0018885295782857959
chr19	37789605	38291932	408	0.002718602229699316
chr19	39664941	39859916	411	0.0020797025358173264
chr2	4939908	5248723	51	0.0019127556193276206
chr2	67058791	67247154	50	0.00030627233076076276
chr2	103076527	103501295	38	0.0010324402933206158
chr2	116118599	116503797	32	0.0008650511115688065
chr2	117826949	118320719	60	0.0006557533888878424
chr2	191054682	191532321	30	0.0009170865724736588
chr2	195089370	195978143	41	0.0008751559844673482
chr2	204258457	204874921	57	0.00025313566045770777
chr20	34059289	34178332	424	0.03978773452608519
chr20	42716839	43707813	427	0.09215307046793755
chr20	45958505	46077548	428	0.03556050039413526
chr20	48654362	48886540	425	0.038008652940676166
chr20	52134620	52253663	434	0.043729871792639013
chr20	55535014	56580230	430	0.009379546042387497
chr20	58845327	59850940	432	0.01130915496602845
chr3	100992050	102444535	84	0.002875709973691186
chr3	109621291	110836404	86	0.001427632863173873
chr3	172180285	172299328	61	0.004861232089240372
chr3	177069806	177414593	77	0.0016961420290215704
chr3	188750796	188971833	87	0.0017547787899145197
chr3	189510959	189838502	90	0.0033462446749570997
chr5	1097591	1216634	130	0.0008099377982404986
chr5	8000468	8453144	143	0.0008099377982404986
chr5	14069792	14427201	141	0.00010182765164395315
chr5	16399158	16808360	145	0.0008099377982404986
chr5	21982188	23108941	121	0.0008099377982404986
chr5	28006389	29170593	140	0.00290467937175846
chr5	35617488	37520080	146	0.010900122040587075
chr5	36156861	36428160	129	0.006511024396062834
chr6	6735404	7149435	152	0.00032404226854599943
chr6	11334694	11453737	161	0.00039996300623113104
chr6	13296309	13509238	171	0.00014578754281952764
chr6	18454897	18629310	166	0.0019623512748981717
chr6	19696050	20334112	149	0.0017831681159334852
chr6	21224485	21809939	169	0.00032657885078249155
chr6	30575191	30767427	158	0.0013309765895472409
chr6	31574113	31812353	168	0.0006249121261457643
chr6	41795451	42143170	163	0.004117651531815551
chr6	43759391	43878435	148	0.005089673250672551
chr6	46842097	47120916	159	0.003782193758663344
chr6	52865648	53568818	151	0.002229875111583217
chr7	17290994	17646860	188	0.03364709092568482
chr7	53425271	53544315	178	0.04365266713711037
chr8	55246390	55365434	207	0.02876294595406158
chr8	68482580	70228198	208	0.024844642891319088
chr8	101295688	101441274	205	0.03320763687087065
chr8	107039717	107542826	212	0.02506662325469436
chr8	113390563	114733784	198	0.014078198464063215
chr8	128331565	128450608	206	0.007577258678016961
chr8	128745510	128864553	196	0.13135212970250387
chr8	129537965	129657008	211	0.03251519166404358
chr8	142040174	142159217	202	0.0029742454451364567
chr9	3690545	3997914	231	0.000830976343451515
chr9	8556540	9321421	226	0.0012183000033997387
chr9	12739602	13013795	232	0.00416466383626099
chr9	13905864	14163508	219	0.0003771404694423602
chr9	19284053	19661201	215	0.001779207945291937
chr9	20775704	20994896	233	0.0010002003685218174
chr9	25466493	25786522	237	0.0014962532458319508
chr9	33949653	34121482	220	0.0005958112992177529
chr9	35692546	35811590	214	0.002917890280054172
