chrom	start	end	name	score
chr1	1138888	1142071	TNFRSF18	0.5968553217927635
chr1	6241329	6269449	RPL22	3.3410102806847704
chr1	6694228	6761984	DNAJC11	2.4516101905510705
chr1	8064464	8086368	ERRFI1	1.3888066185818113
chr1	8412457	8877702	RERE	2.910627634032682
chr1	12040238	12073571	MFN2	-0.14730452080278633
chr1	13474689	13477522	PRAMEF18	0.08501453967340644
chr1	15853308	15918874	DNAJC16	1.0832357259728616
chr1	16174359	16266955	SPEN	0.7033066173494307
chr1	16450832	16482582	EPHA2	2.0912542551213655
chr1	16679070	16724640	SZRD1	0.19652071696330742
chr1	17393256	17445948	PADI2	0.8341275646923051
chr1	21835858	21904905	ALPL	0.3277956372023685
chr1	22962999	22966101	C1QA	2.659395893300922
chr1	23884409	23886285	ID3	2.94341167834275
chr1	24069645	24088549	TCEB3	1.5196927192859673
chr1	24104895	24114722	PITHD1	-0.2419983806561541
chr1	26145131	26159432	MTFR1L	3.048770636417608
chr1	27022524	27108595	ARID1A	3.3469466267393084
chr1	27276053	27286897	C1orf172	0.3620029488017015
chr1	27425306	27493472	SLC9A1	0.9252539764186652
chr1	27681675	27693383	MAP3K6	1.280783973779314
chr1	28696114	28826881	PHACTR4	2.6119228241721317
chr1	31342314	31381608	SDC3	0.5827388079874569
chr1	32573639	32642169	KPNA6	0.38253093973850383
chr1	32799433	32801980	MARCKSL1	-0.18051278326279885
chr1	35641979	35658749	SFPQ	0.23226363330610833
chr1	35734568	35887659	ZMYM4	2.4230069875760076
chr1	36185819	36235568	CLSPN	1.4932410620177912
chr1	36560837	36590821	COL8A2	-0.19870913086787634
chr1	36690017	36770958	THRAP3	1.2921378349005914
chr1	36921319	36930038	MRPS15	-0.08862557127397008
chr1	38422647	38456593	SF3A3	0.9011855250024973
chr1	40711619	40717363	TMCO2	2.586274536616251
chr1	40810522	40888998	SMAP2	0.44586141576171334
chr1	40974413	40982228	EXO5	1.4023288220359391
chr1	42929001	43120335	CCDC30	1.7817587646314492
chr1	48761044	48937845	SPATA6	1.073125388839611
chr1	50905150	51425935	FAF1	-0.05781630737505794
chr1	51426417	51440305	CDKN2C	1.7904038302561147
chr1	52042851	52254889	OSBPL9	0.20197738478800364
chr1	52608046	52812358	ZFYVE9	-0.10308420982528066
chr1	59762310	60233347	FGGY	0.20390155597809057
chr1	62901968	62917475	USP1	0.41236489417938993
chr1	63989043	64038364	EFCAB7	0.3251888362853086
chr1	68167149	68299150	GNG12	-0.1781229886790583
chr1	70671365	70718735	SRSF11	2.261099475934726
chr1	70876901	70905534	CTH	-0.053844272312882246
chr1	71528974	71546980	ZRANB2	0.311654029034503
chr1	74491699	74663871	LRRIQ3	-0.22878324078404244
chr1	75171170	75199092	CRYZ	1.5007567295991922
chr1	78409740	78444794	FUBP1	3.169588918820684
chr1	84944942	84963473	RPF1	0.48839726390177174
chr1	84971974	85031877	SPATA1	0.9443527018738082
chr1	85731931	85742773	BCL10	2.632422030534457
chr1	86115106	86174116	ZNHIT6	1.8325243773901994
chr1	87380331	87602334	HS2ST1	0.8602241053490912
chr1	93297582	93307481	RPL5	2.871884642884069
chr1	95285898	95360802	SLC44A3	0.35958431058955054
chr1	103342023	103574052	COL11A1	-0.060346903408982966
chr1	104159999	104168402	AMY2A	0.9935400476402237
chr1	109234945	109244425	PRPF38B	2.558098960046726
chr1	109417972	109477167	GPSM2	1.6081403602227977
chr1	109512836	109584850	WDR47	0.9178788993805433
chr1	110881128	110889299	RBM15	-0.04055728067616804
chr1	110905470	110933704	SLC16A4	0.6693525458898015
chr1	111982512	111991998	WDR77	0.22698048281079486
chr1	113161795	113214241	CAPZA1	-0.11721924125689953
chr1	114239453	114302111	PHTF1	0.8027469371135438
chr1	114356433	114414381	PTPN22	0.9255094437352921
chr1	114447763	114456708	DCLRE1B	0.0009295249516647619
chr1	115259534	115301297	CSDE1	1.0591039518673535
chr1	115397424	115537991	SYCP1	1.295429290250918
chr1	117057157	117113661	CD58	3.0089472366817667
chr1	120454176	120612240	NOTCH2	1.893185986812166
chr1	150768684	150780799	CTSK	-0.2056530720095504
chr1	154929502	154936329	PYGO2	-0.04116059253407833
chr1	155178490	155183615	MTX1	0.9411625493283851
chr1	156213206	156217881	PAQR6	0.21959274292206055
chr1	171454651	171562650	PRRC2C	-0.1997168440628787
chr1	196194909	196578355	KCNT2	0.2865677240193102
chr1	196819371	196888102	CFHR4	0.7498605288747453
chr1	201977073	201986316	ELF3	2.1088815168411745
chr1	202116141	202130716	PTPN7	0.11041566964474059
chr1	202300785	202311108	UBE2T	2.006378466047731
chr1	244214585	244220778	ZBTB18	0.9889674087648048
chr1	248801588	248802559	OR2T35	0.37442323960050394
chr10	320130	735683	DIP2C	-0.12197229833565326
chr10	855484	977564	LARP4B	2.82191381170842
chr10	7860467	8058590	TAF3	-0.05325147205514713
chr10	8095567	8117161	GATA3	3.3336769210325783
chr10	14861249	14880574	CDNF	0.03760084505668326
chr10	22045466	22292698	DNAJC1	2.1198861161267626
chr10	28821422	28912041	WAC	2.2296297190976553
chr10	32094365	32217742	ARHGAP12	0.3770111432588208
chr10	45950035	46090354	MARCH8	1.4463406220102832
chr10	50507187	50535537	C10orf71	1.3777253419816202
chr10	51549498	51562517	MSMB	-0.21843779306869382
chr10	54525140	54531460	MBL2	0.07374380961804394
chr10	60094735	60130513	UBE2D1	1.0899980340874253
chr10	60144782	60158981	TFAM	2.555090752670634
chr10	63661059	63856703	ARID5B	1.3689315110620148
chr10	69681665	69835105	HERC4	1.6876569204621283
chr10	70100864	70167051	RUFY2	2.096216034110187
chr10	70480769	70552134	CCAR1	2.998277447890696
chr10	70587298	70655188	STOX1	0.1530233273680216
chr10	75013517	75118617	TTC18	2.668361326515208
chr10	77360998	78319925	C10orf11	-0.12571649488583692
chr10	82167585	82192753	FAM213A	0.23755724478393925
chr10	89622870	89731687	PTEN	3.348387314938976
chr10	90346510	90366733	LIPJ	-0.07865682860086998
chr10	90639491	90734910	STAMBPL1	0.12833359482558493
chr10	90750414	90775542	FAS	2.2388102098654534
chr10	92979908	93044088	PCGF5	0.5488626708475884
chr10	93683526	93790082	BTAF1	1.0943343391206943
chr10	95256389	95288849	CEP55	0.6134885033399482
chr10	95753746	96092580	PLCE1	1.2396008234779017
chr10	96075004	96122716	NOC3L	-0.10376435085076641
chr10	96162261	96295687	TBC1D12	-0.06440929942579876
chr10	96953957	96988685	C10orf129	0.37587596636634313
chr10	97733786	97792441	CC2D2B	0.30269745391025227
chr10	98592017	98740800	LCOR	0.5981798424688209
chr10	99894387	100004654	R3HCC1L	0.5240184363423787
chr10	100143322	100174941	PYROXD2	-0.23661930970016964
chr10	102495360	102589698	PAX2	0.7116931279803704
chr10	102729215	102747272	MRPL43	-0.21663838596768992
chr10	102821598	102827888	KAZALD1	-0.21351556334281274
chr10	103544200	103578696	MGEA5	1.9272538973831668
chr10	103867317	103880210	LDB1	1.2270248074562735
chr10	104153867	104162281	NFKB2	0.19474651745566185
chr10	104263744	104393292	SUFU	2.466048388005089
chr10	105726959	105788991	SLK	-0.024830484210255133
chr10	111967363	112047123	MXI1	0.8381692665235413
chr10	114710009	114927437	TCF7L2	2.7975528155416183
chr10	116581503	116659591	FAM160B1	1.0726187229621271
chr10	116853124	117708503	ATRNL1	1.0991144597735758
chr10	118305443	118327367	PNLIP	-0.0979306574053267
chr10	120065401	120101840	FAM204A	-0.09051380392734121
chr10	120433679	120514761	CACUL1	1.4898891607483171
chr10	124608594	124639157	FAM24B	0.24151504784812527
chr10	124690419	124713919	C10orf88	1.0662419273621895
chr10	124895478	124897257	HMX3	-0.24001062525216388
chr10	129347613	129350935	NPS	2.3066179273525362
chr10	129894923	129924649	MKI67	0.7491751151766193
chr10	131633547	131762105	EBF3	-0.016374720187788627
chr11	560404	564021	RASSF7	1.1520471241149122
chr11	694438	727727	EPS8L2	1.1762110657416636
chr11	924894	1012239	AP2A2	1.2739741019393975
chr11	1490687	1522477	MOB2	-0.14775986037572109
chr11	1848709	1858751	SYT8	0.04252906453868388
chr11	1874200	1913497	LSP1	-0.06037468406659019
chr11	4566421	4567374	OR52M1	1.320876018295245
chr11	8127597	8190602	RIC3	2.350337047595828
chr11	8633584	8693413	TRIM66	0.32987261466370765
chr11	8932686	8941631	AKIP1	-0.09333637104511583
chr11	8959119	8964580	ASCL3	-0.09348694170316807
chr11	9302201	9336327	TMEM41B	0.18563263108865413
chr11	9685624	9774538	SWAP70	2.3985795135525585
chr11	10833621	10880343	ZBED5	1.3704140685005837
chr11	13983914	14289646	SPON1	0.2996903263775168
chr11	17095936	17099334	RPS13	0.20062568242995094
chr11	18091482	18127638	SAAL1	-0.2677137956619515
chr11	18300223	18343745	HPS5	0.7484720443523549
chr11	26210829	26684835	ANO3	-0.10393217369369867
chr11	30344598	30359774	ARL14EP	0.7546601457619815
chr11	32409321	32457176	WT1	0.012016985342328645
chr11	43333513	43366079	API5	1.8060822531141567
chr11	45928085	45928833	C11orf94	1.2938490997876033
chr11	46417964	46615675	AMBRA1	1.5506464797240496
chr11	47185848	47198676	ARFGAP2	0.7144459186574931
chr11	47593749	47600567	KBTBD4	1.0033384872051825
chr11	47738072	47788995	FNBP4	-0.051626763362197625
chr11	57520715	57587018	CTNND1	1.673075373802505
chr11	58874658	58894883	FAM111B	0.32425390284529343
chr11	60223225	60238233	MS4A1	0.9309063827243202
chr11	60282886	60310194	MS4A13	0.010720042853248901
chr11	61535973	61560274	TMEM258	-0.030232054714929735
chr11	62756626	62783311	SLC22A8	0.06911599749611752
chr11	63137261	63177766	SLC22A9	1.2572579833606503
chr11	63952744	63972015	STIP1	2.364249985619563
chr11	64002010	64006259	VEGFB	0.36623458495585426
chr11	64018995	64036622	PLCB3	0.1432840682807769
chr11	64373646	64490660	NRXN2	0.6770771631607287
chr11	64570982	64578766	MEN1	3.202560746203231
chr11	65405568	65418401	SIPA1	0.0031921595438738626
chr11	66104804	66112596	BRMS1	1.9425785534340156
chr11	66330934	66336312	CTSF	0.4917245481172232
chr11	67171386	67177560	TBC1D10C	0.6191472115439416
chr11	71934745	71950149	INPPL1	1.4018404206964805
chr11	101322295	101743293	TRPC6	0.8298214277828143
chr11	102641234	102651359	MMP10	0.796787374426836
chr11	104864962	104893895	CASP5	0.9858076015049606
chr11	108093211	108239829	ATM	3.055081300048223
chr11	111788756	111797596	C11orf52	1.5477192859085405
chr11	111944810	111955874	C11orf57	1.4854795022932776
chr11	113668596	113746292	USP28	2.8711608356928457
chr11	116714118	116969153	SIK3	-0.20400089480121397
chr11	117014983	117047610	PAFAH1B2	1.3201460273135484
chr11	118307205	118397539	KMT2A	0.30183053372915747
chr11	118528026	118550399	TREH	0.5701496566837471
chr11	118620034	118661858	DDX6	0.42892700009938445
chr11	118967213	118979041	DPAGT1	-0.1978245619969201
chr11	119209652	119217383	MFRP	0.8988298551560858
chr11	125461607	125495110	STT3A	0.21200119103602044
chr12	6571403	6580153	VAMP1	0.5727840189152318
chr12	6937572	6949018	LEPREL2	1.783231611916084
chr12	6980099	6998522	SPSB2	2.09908861147342
chr12	7072408	7105520	EMG1	2.4454288634712515
chr12	9102640	9163356	KLRG1	0.6685287941341473
chr12	10579453	10594899	KLRC2	0.13315064949577737
chr12	11033610	11036854	PRH1	0.09576902024149347
chr12	11418857	11422739	PRB3	1.4100387517499593
chr12	12628829	12715317	DUSP16	1.551422364048407
chr12	12867992	12875305	CDKN1B	3.2837458331542204
chr12	14518610	14651697	ATF7IP	1.4470378380588476
chr12	39040624	39301232	CPNE8	0.3258737353705854
chr12	46123448	46301823	ARID2	3.2676249360444856
chr12	46312914	46385903	SCAF11	0.6310833022688451
chr12	49372398	49375459	WNT1	0.4182662043787694
chr12	49412758	49453557	KMT2D	3.2947532079746864
chr12	49950327	49961936	MCRS1	1.596531723559544
chr12	52345451	52390862	ACVR1B	2.9469132644612737
chr12	53835525	53874946	PCBP2	0.9148259881767385
chr12	54685895	54694905	NFE2	-0.19199712826843873
chr12	55640982	55642086	OR6C74	0.5753963793383227
chr12	57125380	57146157	PRIM1	1.0407968359554494
chr12	57914493	57923931	MBD6	2.725637449852053
chr12	58003963	58013162	ARHGEF25	0.8314783967960466
chr12	59265931	59314303	LRIG3	-0.2314714770754953
chr12	62102040	62672931	FAM19A2	2.568132695791859
chr12	62654119	62811211	USP15	0.530251891172988
chr12	69753483	69784576	YEATS4	0.5272875102518817
chr12	72233487	72320629	TBC1D15	0.18693973085430926
chr12	79968759	80084877	PAWR	1.2717008882568024
chr12	80603233	80772870	OTOGL	1.8884800210272972
chr12	80799774	81072802	PTPRQ	0.07623645084523556
chr12	86372516	87232681	MGAT4C	-0.15189188941649334
chr12	88373816	88427814	C12orf50	0.15377336294202704
chr12	88442793	88535993	CEP290	0.07808720955961768
chr12	88536073	88593664	TMTC3	0.25213719698735637
chr12	96260826	96336752	CCDC38	0.974684767808088
chr12	98909290	98944157	TMPO	1.6864467535102925
chr12	100422233	100536626	UHRF1BP1L	1.3141061175320787
chr12	101786898	101801598	ARL1	0.7349881331560103
chr12	102139275	102224716	GNPTAB	2.0064075712007052
chr12	104458235	104498639	HCFC2	0.10703843423776571
chr12	104510855	104532067	NFYB	0.5081144527669252
chr12	106695707	106740793	TCP11L2	-0.07732166134421692
chr12	112279782	112334343	MAPKAPK5	-0.051123303269678066
chr12	112464500	112546826	NAA25	2.5688799389584345
chr12	115108059	115121969	TBX3	2.6787627404870284
chr12	121416346	121440315	HNF1A	3.0142483564454374
chr12	122242086	122270562	SETD1B	0.1964769326897029
chr12	122277433	122301502	HPD	-0.0136091822972908
chr12	124808961	125052135	NCOR2	1.0572809147566447
chr12	133264192	133297276	PXMP2	-0.18847701608732703
chr12	133656424	133684130	ZNF140	0.9513766610954713
chr13	20532810	20665968	ZMYM2	0.8223191148266762
chr13	28712643	28869475	PAN3	1.1739433609474437
chr13	31506840	31549639	TEX26	1.541541459883355
chr13	32889611	32973805	BRCA2	1.44530868826624
chr13	33160564	33352157	PDS5B	0.4551803036409725
chr13	39584003	39612252	PROSER1	-0.260255241670589
chr13	41303432	41345309	MRPS31	1.5636546861766538
chr13	41506056	41635576	ELF1	0.7951292412074848
chr13	41885341	41951166	NAA16	1.4707194018473648
chr13	46108657	46189874	FAM194B	0.004094672374359676
chr13	46528600	46626894	ZC3H13	3.1100116830357707
chr13	46700055	46786006	LCP1	0.4062697858425848
chr13	48877887	49056122	RB1	3.3438852623867272
chr13	50018429	50069138	SETDB2	0.34401376239558956
chr13	50069746	50103123	PHF11	0.011519844020701386
chr13	50570024	50594617	TRIM13	0.9054102687189749
chr13	72012098	72441330	DACH1	0.522860473067819
chr13	79885962	79980612	RBM26	0.8969146686001775
chr13	110958159	111165374	COL4A2	1.3102629297166783
chr13	111365083	111373421	ING1	2.2469881757481263
chr13	115000362	115038198	CDC16	0.07338994157553613
chr13	115047059	115071283	UPF3A	2.7103924744301433
chr14	20811741	20826064	PARP2	-0.1419793913969809
chr14	21677295	21737653	HNRNPC	-0.028720341505728664
chr14	21853353	21924285	CHD8	2.053666806036036
chr14	23440383	23451851	AJUBA	3.15732640325983
chr14	23842018	23845612	IL25	2.4428341686105743
chr14	23990066	24025401	ZFHX2	-0.03906638819668906
chr14	24834879	24848810	NFATC4	-0.17452140737844757
chr14	24895738	24900160	CBLN3	0.06251556464974761
chr14	32545320	32628934	ARHGAP5	0.7981224404481736
chr14	38059189	38069245	FOXA1	0.19172935075421849
chr14	45366498	45376460	C14orf28	-0.19132747353429913
chr14	45605143	45670093	FANCM	-0.12069363725715077
chr14	45672393	45722743	MIS18BP1	0.322952733781825
chr14	50087489	50090198	MGAT2	2.622868538249673
chr14	50885219	51027844	MAP4K5	1.3156518626795681
chr14	51098776	51135049	SAV1	1.5945454276313407
chr14	51706880	51722759	TMX1	0.823289759023949
chr14	55833110	55878576	ATG14	2.5591846834879766
chr14	57267425	57277197	OTX2	1.4559643969122915
chr14	58862634	58875419	TOMM20L	-0.2354091427483338
chr14	61438169	61448076	TRMT5	0.4055685709990897
chr14	62229075	62263146	SNAPC1	1.8671452521226035
chr14	63838075	64010092	PPP2R5E	0.5378599444153227
chr14	68048672	68067004	PIGH	-0.18400782283097095
chr14	69254377	69263190	ZFP36L1	2.790572286269959
chr14	71047974	71067384	MED6	1.3423983171841298
chr14	71374122	71582099	PCNX	-0.1803883819335934
chr14	74058410	74063200	ACOT4	0.49908303100001183
chr14	74111578	74170435	DNAL1	1.7706520357858886
chr14	75230069	75322244	YLPM1	1.0588981657814118
chr14	75548822	75594047	NEK9	1.0240894911039766
chr14	80943330	81425861	CEP128	0.2985803655146744
chr14	81937893	82000205	SEL1L	1.0231286161145707
