chrom	start	end	name	score
chr1	4288023	4407066	0	0.0037617269316246506
chr1	6211261	6330304	1	0.006508346242649079
chr1	8002756	8121799	2	0.004494334327386416
chr1	10596478	10715522	3	0.0019293702626161822
chr1	21206264	21325307	7	0.004706087838287762
chr1	27114511	27233554	10	0.013893089332950984
chr1	49400411	49519454	18	0.002867591933648172
chr1	51104550	51223593	19	0.0013788348757003061
chr1	93277865	93396908	23	0.0006296848004180886
chr1	111400249	111519293	26	0.003789459137296243
chr10	22630985	22750029	329	0.0056110328718726055
chr10	24684849	24803892	330	0.0032388311905352488
chr10	47298592	47417635	331	0.003910639495457955
chr10	51404665	51523708	332	0.0006530874614358191
chr10	53248319	53367362	334	9.373600779022959e-06
chr10	56344407	56463451	335	0.0022357996825611366
chr10	58402816	58536771	336	0.003837879778561163
chr10	75992478	76111522	342	0.001149526509780146
chr10	77400473	77519516	345	1.0545369979026765e-05
chr10	89782997	89902040	350	0.015667978991103403
chr10	112692307	112811351	351	5.970805500026772e-05
chr10	114416248	114535291	352	0.00010654227043382222
chr11	40432922	40551965	358	0.0018271092914601058
chr11	46227861	46346905	360	0.01158839099254019
chr11	62726032	62845315	363	0.013653035548217654
chr11	68409650	68528693	369	0.014194213923951956
chr11	70522684	70641727	373	0.010784614242452452
chr11	71572478	71691522	375	0.011790454007901376
chr11	80269086	80388129	382	0.00208255124648077
chr11	83991351	84110394	385	7.660587595898824e-09
chr11	85697610	85816654	386	0.0012243801351659235
chr12	45452478	45571522	405	0.0035394269309716128
chr12	58479840	58598883	412	0.001329868801533188
chr12	67380221	67499265	414	0.0022787767864168532
chr12	68596277	68715320	416	0.004830806095180302
chr13	32734699	32858678	424	0.001546384494338111
chr13	48941695	49060738	425	0.002900028161431459
chr13	49160478	49279522	426	0.0017591100274871791
chr13	50902128	51021172	427	0.0020375048135139132
chr13	84508170	84627213	429	0.002007177051673544
chr13	94210345	94329388	431	0.0011527286593953007
chr13	112704136	112823179	434	0.0009426060551985489
chr15	32206279	32325322	459	0.006298631160236219
chr15	41964478	42083522	461	0.005958044519198391
chr15	52677889	52796932	463	5.709773449454382e-07
chr15	57390900	57509943	464	0.00023326166020659877
chr15	74981836	75100879	470	0.00045134567948094983
chr16	51562303	51681346	487	0.008880850779399152
chr16	72490996	72610039	491	3.374226577248709e-05
chr16	78693475	78812518	493	0.0005440425261666856
chr16	83108830	83227873	495	0.0016589232678455065
chr17	7500478	7619522	496	0.019669091483755334
chr17	7933382	8052426	497	0.02442199591794216
chr17	11879922	11998965	498	0.017597293664099036
chr18	26227291	26346334	532	0.018147730406371094
