chrom	start	end	name	score
chr1	6229843	6425213	0	0.006599303049930167
chr1	27143543	27284543	2	0.0020873045953429537
chr1	72248153	72389153	3	-0.0011934766124485979
chr1	114415367	114970104	4	0.0045633588846539916
chr1	51197958	51338958	5	0.004684264366991053
chr1	93196857	93337857	10	0.010503333218411307
chr1	10512850	10900479	13	0.006769802478805434
chr1	246226769	246367769	16	0.004203951204899945
chr1	193022673	193163673	21	0.001593372754453806
chr1	157752402	157949225	22	0.0065914767840229765
chr1	241787910	242064756	23	0.0034080257970788147
chr1	149167368	149308368	25	0.001593372754453806
chr1	189179817	189750822	26	0.003752103442469395
chr1	210075484	210445127	28	0.010737056277096313
chr1	166184196	166325196	32	0.003318748658871077
chr10	22203408	23058901	36	0.005649149035128871
chr10	89952695	90093695	38	0.13182199052661786
chr10	89550794	89691794	39	-0.008855551978810727
chr10	58287335	58630429	40	0.0005474739702866299
chr10	47180639	47609566	42	0.0039897718928430794
chr10	77931342	78072342	43	-0.004811188090154797
chr10	68323647	68489294	45	-0.005649578087684245
chr10	77308313	77449313	47	-0.008855551978810727
chr10	76003030	76144030	48	-0.007573826253045978
chr11	46119599	46469294	55	0.0075206460003367625
chr11	40351841	40798267	56	0.00276962041785491
chr11	113914908	114097499	61	0.023817760953818826
chr11	63850074	64148938	62	0.004652646213599471
chr11	80351145	80492145	63	0.0059752591272417555
chr11	84185098	84381725	69	0.005136418563031885
chr11	68178105	68322151	75	0.003216559774487057
chr11	78707217	78993217	76	0.003216559774487057
chr11	76175888	76676329	78	0.004287201531213025
chr11	81802031	82203161	82	0.003625012611268013
chr11	70960756	71200128	84	0.007749376262535051
chr12	12756146	12967288	85	0.06017990197855541
chr12	25586996	26060949	88	-0.002076601974552955
chr12	24092357	24233357	91	-0.003377874800007589
chr12	26591006	26919873	96	-0.0006605621194718717
chr12	100000282	100141282	101	0.00147153399479839
chr12	58273068	58656443	103	0.0031618646090181154
chr12	99445129	99586129	107	0.00147153399479839
chr12	45723666	46348343	113	0.004228582221721575
chr12	62811527	63318404	114	0.003037952273130906
chr12	75003270	75174143	117	0.006424884108164715
chr13	48928268	49069268	118	0.06425908202147788
chr13	32733730	32874730	121	0.011100753390426666
chr13	50810965	51025743	123	-0.0014990175802328662
chr13	94241715	94382715	124	-0.005499104425630939
chr14	68732068	68873068	127	0.010905765637834295
chr14	33689099	33830099	133	0.002428282531088982
chr14	40191601	40407552	135	0.005887391596416152
chr14	67293980	67483066	137	0.0030993360684883546
chr14	27927113	28663787	144	0.0035262902801634593
chr15	32133174	32274174	147	0.00556136363945444
chr15	57370141	57511141	148	0.009172795350304411
chr15	71705750	71846750	150	0.0009409521424484668
chr16	6680933	6821933	157	0.0004668247538481616
chr16	23586246	23838111	159	0.001639487147302509
chr16	3710304	3851304	160	0.0012911559519564104
chr16	78638825	78779825	165	-0.002237928932420789
chr16	72301011	72442011	167	-0.002237928932420789
chr16	53557532	54248083	172	0.009149941878776074
chr16	83061270	83220784	173	0.021303569392568483
chr17	7535936	7676936	174	0.02755910501753628
chr17	11808752	12032105	175	-0.021041550770963015
chr17	39117616	39258616	179	-3.415896945537522e-05
chr17	70319940	70565653	181	-0.002122359915952325
chr17	44217637	44358637	184	0.009685427901980416
chr17	38074430	38287307	185	-0.0043525701432413
chr17	55850361	56091200	186	0.0070169521259332655
chr17	63481885	63622885	187	-0.0031545820767142504
chr17	51120250	51517483	188	-0.0020118195746124273
chr17	59071914	59339219	190	-0.0043525701432413
chr17	41925127	42096099	191	0.03700893728692579
chr17	32899415	33243012	192	0.0044153288613168196
chr18	3778162	4141009	194	0.0016655061966719732
chr18	7948399	8698281	195	0.0025991645399844163
chr18	48531495	48672495	198	0.004078837565342346
chr18	25342453	26083842	199	0.005120291541006739
chr18	33999976	34140976	201	0.002955957928635513
chr19	34023138	34219013	212	0.002618894202992023
chr19	47565296	47706296	214	0.010800367549477698
chr19	37307380	37489485	215	0.0035706545456553563
chr2	43548536	43969481	219	0.007691468429103541
chr2	9493658	9634658	223	0.0025758051350502674
chr2	77761271	77962780	225	0.001414004477341246
chr2	63147629	63379399	228	0.002599511523908006
chr2	141843571	141984571	231	0.004257710945725105
chr2	233638082	233779082	235	0.005809951367112685
chr2	213730036	213871036	237	-0.0002575538288783169
chr2	136201384	136368772	238	0.03388042502753758
chr2	187080523	187221523	240	-0.000877897373253869
chr2	206043044	206184044	241	-0.000877897373253869
chr2	148807972	148948972	243	0.005844277732302218
chr2	133712421	133853421	244	-0.000877897373253869
chr2	195735626	195966972	245	0.0018216818579254558
chr2	213067819	213232332	246	-0.000877897373253869
chr2	236715806	236856806	248	-0.000877897373253869
chr20	14901808	15042808	251	0.0006747116738823174
chr20	53680018	53875504	257	-0.00011586073651447348
chr20	45218740	46022350	258	0.0035174809968049055
chr20	38880879	39240111	259	0.005233793835429214
chr21	30624815	30765815	261	0.002755886393724396
chr21	36290900	36431900	262	0.002441357210432701
chr21	24568259	25032326	263	-0.00014989966229023141
chr21	21667820	22051418	264	0.0006859909751869274
chr22	29265581	29406581	265	0.00920586975948445
chr22	25761619	25902619	267	0.00024070602053080872
chr22	22985145	23214884	268	-0.0008343651849726263
chr22	34152995	34426461	272	0.00037503726214763676
chr3	60401195	60542195	273	0.003007403629137309
chr3	48976639	49441672	274	0.003496353595747761
chr3	71224149	71365149	277	0.03368205442906912
chr3	4362854	4503854	282	-0.0012528077410801182
chr3	9090865	9231865	284	-0.0017163784896252515
chr3	11546411	11687411	285	-0.0017163784896252515
chr3	116531761	116672761	289	0.012879325956937413
chr3	174763873	174904873	292	0.00207214641257494
