chrom	start	end	name	score
chr1	150571678	150741615	16	0.020232307588894403
chr1	151549752	151797157	1	0.009099944346283582
chr1	153540304	153734176	28	0.005860667172541291
chr1	154839176	155157122	20	0.0022465633516804335
chr1	160914013	161088587	8	0.015668083503036164
chr1	171732923	172364467	19	0.02485131838635155
chr1	204393519	204512562	4	0.00960049583583307
chr12	4005735	4630644	295	0.00028551160718797054
chr12	6495089	6729835	312	0.0001088229866205238
chr12	19777246	20304059	293	0.0012174975700088183
chr12	25088072	25291758	291	0.00021218912429236088
chr12	26308757	26427801	311	0.0007360469783871602
chr12	27312183	27724555	300	0.0002008743982347976
chr12	46271490	47236325	296	0.0019693945312314106
chr12	48096881	48215924	304	0.0004551750072717358
chr12	52494771	52613815	307	0.00040270138603634074
chr12	56477038	56596081	303	0.00017843980202681125
chr12	58142641	58261684	292	0.00019709488672085216
chr12	60147861	60485820	298	0.0009401986583903441
chr12	65893626	66407162	306	0.0007944598610322592
chr12	67641689	67887068	314	0.0003693400752417183
chr12	69490369	69636780	317	0.0059204877275276235
chr12	125136985	125256028	297	0.00024464729430310843
chr13	27726123	28583697	323	0.0005114671028113829
chr13	30777977	31270349	319	0.000333501817863841
chr13	71624228	72471666	326	0.0002666059091545097
chr13	73860342	73979385	320	0.0009373368473480788
chr13	106659219	107933285	322	0.00019784827331893864
chr14	23728314	24063263	340	0.000675260569412618
chr14	31251044	32181349	335	0.001954914757331442
chr14	35775195	35986175	327	0.0006533950231597244
chr14	37812674	38058478	332	0.0007326862631313396
chr14	41913376	42582518	338	0.0013443823760642443
chr14	50417151	50545245	329	0.003009480266037439
chr14	61940424	62059467	341	0.00043430189081072114
chr15	25582394	25937167	350	0.0030162118088100562
chr15	52141530	52835762	347	0.0013732747746610348
chr15	53463596	53760395	354	0.000562263685203321
chr15	71820985	71940029	348	0.0005710448447358393
chr15	72595833	72930283	353	0.000784355960990821
chr15	90660290	90871493	349	0.00040793454159419727
chr16	1995842	2383828	368	2.9980668212564614e-05
chr16	4202082	4345377	373	0.009058973934195018
chr16	11731483	11869700	359	0.02177136500904588
chr16	18839445	19602747	369	0.0014389303524097203
chr16	29044352	29740329	362	0.002412589630262305
chr17	37814919	37933962	375	0.0049117458000291865
chr17	46328894	46556435	383	0.0051493093103911446
chr17	48593060	48789511	386	0.0029255295935837386
chr17	50404258	50789048	377	0.0053134006673552685
chr17	60648695	61741852	382	0.013304001465160463
chr17	67196640	67890043	374	0.009117772431301125
chr17	73467763	73586807	381	0.010359557880160148
chr17	77734233	78056848	390	0.004251589072801272
chr18	3374767	3499942	396	0.011893959291146367
chr18	9476695	10938627	406	0.004096754257102159
chr19	33519365	33816790	410	0.0194695321700009
chr19	35468671	35852015	417	0.007339473554451455
chr19	37789605	38291932	408	0.030889274918541584
chr19	39664941	39859916	411	0.019415501087402986
chr19	45197410	45316453	412	0.013094401464889317
chr2	4939908	5248723	51	0.011855213034529105
chr2	28760823	28879866	44	0.010145975745875006
chr2	43133499	43364389	48	0.0024247374430578523
chr2	56719500	57272851	55	0.005731382718431587
chr2	61280524	61940385	31	0.01600203771440904
chr2	67058791	67247154	50	0.003454519346490487
chr2	85161928	85620345	39	0.014836265290882252
chr20	10866582	11863122	426	0.0035792463400800647
chr20	34059289	34178332	424	0.025172203396874385
chr20	42716839	43707813	427	0.005888802716547307
chr20	45958505	46077548	428	0.0010434589585973577
chr20	48654362	48886540	425	0.0012170497258675538
chr20	52134620	52253663	434	0.008791577366693878
chr20	55535014	56580230	430	0.0017240041693848227
chr21	27563981	29211589	438	0.0012304431604907085
chr3	100992050	102444535	84	0.006394222059320772
chr3	107631968	107751012	78	0.0027792153951579396
chr3	109621291	110836404	86	0.017651075061105418
