chrom	start	end	name	score
chr1	5698221	6299461	2	0.023813063391436656
chr1	7796378	8433690	15	0.006914915288850916
chr1	14385306	14763498	27	0.006812048293925616
chr1	26453898	26662962	5	0.00898167100676442
chr1	92622914	92828477	11	0.048403575817714414
chr1	114182486	115159426	7	0.05710480024824103
chr10	56459109	56955135	243	0.01296772017517023
chr10	87801233	87920276	241	0.0038994655226058093
chr10	88205547	88324590	239	0.014912545716790335
chr13	32047274	32376514	321	0.00864055878908012
chr13	48365593	48484636	318	0.003854828877129209
chr13	50286679	50881654	324	0.003854828877129209
chr14	66702143	67185308	342	0.004885257296779611
chr14	68275614	68394657	328	0.004885257296779611
chr16	53398971	54351863	371	0.05597820278733493
chr17	7611129	7730172	378	0.06907273633795746
chr17	11909135	12050685	380	0.07342542599540526
chr18	26976797	28063535	400	0.02173996858354855
chr18	51012320	51141362	399	8.690696584872095e-05
chr19	42701930	43231343	419	0.0020128013488955048
chr19	47097306	47325772	414	0.007078734331120816
chr2	42875076	43691150	47	0.0002527744825656006
chr3	4256347	4525158	82	0.0005563299607112013
chr3	50298438	50841289	67	0.03139701428555658
chr3	60426507	60545550	62	0.008775331758887521
chr3	71215566	71334609	69	0.0021096849538680047
chr4	33779071	33989744	95	0.02949058650915347
chr4	59242972	61133220	102	0.046982257645495414
chr4	81087817	82202610	108	0.02544422054456036
chr5	59204459	59323502	126	0.006051450330813014
chr5	59963527	60082570	122	0.02209937664916935
chr5	67348351	68771051	147	0.0448644338432246
chr5	100740256	101471280	136	0.002680847444296106
chr5	166129093	166295987	128	0.013925727261213033
chr6	162241482	162360525	150	0.17803888143455943
chr8	22348404	23235836	194	0.014783563804038934
chr8	36213724	37208125	210	0.006070970362634714
chr9	10991477	11494076	228	0.010630088619884825
chr9	21941391	22060434	213	0.07416340134697107
chr9	26270393	26679838	216	0.01777221623542344
chr9	28247761	28459513	225	0.014111717466531932
chr9	31388257	32049497	222	0.010473812111933024
