chrom	start	end	name	score
chr1	879584	894689	NOC2L	0.0010110520388494598
chr1	1246965	1260071	CPSF3L	0.0009902836034054539
chr1	1337288	1342693	MRPL20	0.0009550736580815403
chr1	1477053	1510249	SSU72	0.0010275513040345634
chr1	6241329	6269449	RPL22	0.000942758556867872
chr1	6581407	6614595	NOL9	0.0009998615045136818
chr1	8921061	8939308	ENO1	0.000984194051585245
chr1	10458649	10480201	PGD	0.0010273385147927883
chr1	11166592	11322564	MTOR	0.0009793871426249966
chr1	17345217	17380665	SDHB	0.0010106093484456616
chr1	19665267	19812066	CAPZB	0.0009460191237900337
chr1	20978270	20988000	DDOST	0.0010144563046256049
chr1	24018269	24022915	RPL11	0.0010511129603007726
chr1	24958207	24999758	SRRM1	0.0009615920569391115
chr1	26758773	26797785	DHDDS	0.0010445853878293177
chr1	27202624	27216788	GPN2	0.001078986244535058
chr1	27226729	27273353	NUDC	0.0009744890975670644
chr1	28218035	28241257	RPA2	0.000941418703439998
chr1	28832455	28865812	RCC1	0.0010474000889644274
chr1	32687529	32697205	EIF3I	0.0010035684289760318
chr1	33065773	33116504	ZBTB8OS	0.0010254016858763256
chr1	33240840	33283754	YARS	0.0010404596182853113
chr1	35641979	35658749	SFPQ	0.0010053188599834742
chr1	36067185	36107445	PSMB2	0.0009931708846984632
chr1	36185819	36235568	CLSPN	0.0009439034896736522
chr1	38000050	38019903	SNIP1	0.0009587333232750653
chr1	38147242	38157914	C1orf109	0.001017990376468844
chr1	38158090	38175391	CDCA8	0.0009462627822483832
chr1	38268616	38273857	YRDC	0.0010101648901358936
chr1	38422647	38456593	SF3A3	0.001004832988847232
chr1	40157854	40229586	PPIE	0.0009408548634609291
chr1	41445007	41478235	CTPS1	0.0010243254908919597
chr1	42921788	42939056	PPCS	0.0009441808786273499
chr1	43824626	43828874	CDC20	0.0010502490377090714
chr1	43849588	43855479	MED8	0.0009423545372876679
chr1	44412611	44433694	IPO13	0.0010433837061158088
chr1	44440159	44443967	ATP6V0B	0.0010522929194557809
chr1	45240923	45244451	RPS8	0.0010702342019639
chr1	45316450	45452282	EIF2B3	0.0010518937140450854
chr1	45477819	45481247	UROD	0.0009578260029118192
chr1	52838501	52870131	ORC1	0.000981056627800204
chr1	53692564	53704282	MAGOH	0.0009584786477469292
chr1	76251879	76260764	RABGGTB	0.001018761789374234
chr1	89318615	89357627	GTF2B	0.0010392367998568381
chr1	91966408	91991321	CDC7	0.0009814952673128452
chr1	93297582	93307481	RPL5	0.001060649380479611
chr1	104068313	104097861	RNPC3	0.000977172145504082
chr1	109234945	109244425	PRPF38B	0.001034386929288222
chr1	109756540	109780791	SARS	0.0010335488420856929
chr1	109941653	109969062	PSMA5	0.000971130566409082
chr1	110527308	110566357	AHCYL1	0.0009447957518613959
chr1	111982512	111991998	WDR77	0.0009985646189804647
chr1	112297867	112310638	DDX20	0.0010222751714748636
chr1	113454469	113499635	SLC16A1	0.0009649728199990383
chr1	116915290	116952883	ATP1A1	0.0009661917910348558
chr1	118472343	118509165	WDR3	0.0010322533391776433
chr1	145289772	145370303	NBPF10	0.0010110904503491474
chr1	145507598	145513536	RBM8A	0.0010502738669179036
chr1	145592605	145611025	POLR3C	0.000983452301475793
chr1	149754245	149783928	HIST2H2BF	0.0009488308994996681
chr1	149784826	149785236	HIST2H3D	0.0010261844502137613
chr1	149811110	149812765	HIST2H3C	0.0009877506620949974
chr1	149813505	149814478	HIST2H2AA3	0.0009509768494869362
chr1	149822643	149823191	HIST2H2AA4	0.0009509768494869362
chr1	149824181	149825836	HIST2H3A	0.0009877506620949974
chr1	149895209	149900236	SF3B4	0.0010295570740024647
chr1	150459887	150480078	TARS2	0.000973077408590914
chr1	151227179	151239955	PSMD4	0.000957455964455031
chr1	151372010	151374420	PSMB4	0.0010473225860345573
chr1	151732119	151736040	MRPL9	0.0009694491355125265
chr1	153634512	153643524	ILF2	0.000943841788912295
chr1	153700543	153746555	INTS3	0.001058136642490915
chr1	155278539	155290457	FDPS	0.0010160823614689533
chr1	155657751	155708801	DAP3	0.0009493100937678503
chr1	156024543	156028301	LAMTOR2	0.000939121081751481
chr1	156182784	156212874	PMF1	0.0009957327371355527
chr1	156219015	156252620	SMG5	0.0010118749594744219
chr1	156278759	156337664	CCT3	0.0010652640579596367
chr1	156691683	156698591	ISG20L2	0.0010058630550989953
chr1	160259063	160313190	COPA	0.0009411370032889706
chr1	163236366	163325554	NUF2	0.0009589876019256088
chr1	173793641	173827684	DARS2	0.0009382002307735267
chr1	174979925	174992561	MRPS14	0.00096286484999543
chr1	182808504	182856886	DHX9	0.0009523633036623426
chr1	193091147	193223031	CDC73	0.0010282841916274975
chr1	203830731	203839678	SNRPE	0.001038010160562447
chr1	205055270	205091143	RBBP5	0.00094865085884008
chr1	210001352	210030910	DIEXF	0.0009842656226181884
chr1	212208919	212280742	DTL	0.0010351569595939917
chr1	212899495	212965124	NSL1	0.0009714437639640849
chr1	220141943	220220000	EPRS	0.0010141579846360672
chr1	220267444	220321380	IARS2	0.0010432611527304435
chr1	224415036	224518089	NVL	0.0010300995559456483
chr1	225965531	225978168	SRP9	0.0009466883726061698
chr1	226170403	226187032	SDE2	0.0009890001395413872
chr1	228327663	228336685	GUK1	0.001034022200587681
chr1	229577045	229644103	NUP133	0.0010043858283693228
chr1	229761981	229795946	URB2	0.0010039369599236967
chr1	235490665	235507847	GGPS1	0.000940005799046893
chr1	236712305	236767804	HEATR1	0.0010279428885535
