chrom	start	end	name	score
chr1	2160133	2241558	SKI	0.0028586140776851177
chr1	2487077	2496821	TNFRSF14	0.0028586140776851177
chr1	2985731	3355185	PRDM16	0.0028586140776851177
chr1	6241328	6269449	RPL22	0.0028586140776851177
chr1	6845383	7829766	CAMTA1	0.0028586140776851177
chr1	11166591	11322564	MTOR	0.0028586140776851177
chr1	14026692	14151574	PRDM2	0.0028586140776851177
chr1	15817326	15853029	CASP9	0.0028586140776851177
chr1	16174358	16266955	SPEN	0.0028586140776851177
chr1	17345216	17380665	SDHB	0.0028586140776851177
chr1	17866329	18024369	ARHGEF10L	0.0028586140776851177
chr1	18957499	19075360	PAX7	0.0028586140776851177
chr1	23884408	23886285	ID3	0.0028586140776851177
chr1	23907984	23967058	MDS2	0.0028586140776851177
chr1	27022523	27108595	ARID1A	0.0028586140776851177
chr1	32716839	32751766	LCK	0.0028586140776851177
chr1	35641978	35658749	SFPQ	0.0028586140776851177
chr1	36690016	36770958	THRAP3	0.0028586140776851177
chr1	36931643	36948879	CSF3R	0.0028586140776851177
chr1	40361097	40367928	MYCL	0.0028586140776851177
chr1	43803477	43818443	MPL	0.0028586140776851177
chr1	45794834	45806142	MUTYH	0.0028586140776851177
chr1	47681961	47697892	TAL1	0.0028586140776851177
chr1	47715810	47779819	STIL	0.0028586140776851177
chr1	51426416	51440305	CDKN2C	0.0028586140776851177
chr1	51819934	51985000	EPS15	0.0028586140776851177
chr1	59246464	59249785	JUN	0.0028586140776851177
chr1	65298911	65432187	JAK1	0.0028586140776851177
chr1	78409739	78444794	FUBP1	0.0028586140776851177
chr1	85731930	85742773	BCL10	0.0028586140776851177
chr1	93297581	93307481	RPL5	0.0028586140776851177
chr1	110881127	110889299	RBM15	0.0028586140776851177
chr1	114935398	115053781	TRIM33	0.0028586140776851177
chr1	115247089	115259515	NRAS	0.0028586140776851177
chr1	116915289	116952883	ATP1A1	0.0028586140776851177
chr1	120454175	120612240	NOTCH2	0.0028586140776851177
chr10	43572474	43625799	RET	0.002009574486669394
