chrom	start	end	name	score
chr12	27514242	27633285	683	0.13695765320918754
chr14	75676478	75795522	763	0.053246955482304154
chr18	7038146	7157190	858	0.025844727929990336
chr18	9836100	9955143	861	0.03257168336929028
chr18	30328696	30447739	869	0.011037665684581853
chr18	33623330	33742373	871	0.032837521025983404
chr20	15398466	15517509	907	0.19962751938601767
chr20	48749975	48869018	915	0.044822094842773254
chr5	58185410	58304453	322	0.2054403999440905
chr7	66544261	66663304	426	0.18553656244117336
chr8	137368960	137488003	514	0.001706451450191617
chr8	143936478	144055522	521	0.0009052581819411044
chr9	30521705	30640748	542	0.004777302165753928
chr9	32429709	32548752	545	0.006201432420933196
chr9	33191593	33310636	546	0.010894861493097638
chr9	34407012	34526055	547	0.007366846877250402
chr9	35615894	35734937	548	0.03556240382605293
chr9	36860098	36979141	549	0.004662660269386908
