chrom	start	end	name	score
chr1	147722309	147841353	29	0.018973717793817794
chr1	150840601	150959645	31	0.02046945153462299
chr1	151872534	151991578	32	0.015415183344065914
chr1	152946743	153065787	35	0.00782400332647229
chr1	153986660	154105704	36	0.00809458910901097
chr1	154974677	155093720	37	0.007653733875934188
chr1	155790687	155909731	38	0.001484463588340452
chr1	160063941	160182984	40	0.001499528710690428
chr1	161038178	161157222	41	0.007009913878720549
chr1	161883304	162002347	43	0.0007473947215315225
chr1	162605010	162724053	44	0.0007030605763168523
chr1	164148727	164267770	45	0.00428201327338282
chr1	168909409	169028453	47	0.0002479516501634307
chr1	172198882	172317925	48	0.002093631696024875
chr1	183131214	183250257	51	0.00022736555619813493
chr1	183852187	183971230	52	0.0018161833858140594
chr1	201122578	201241621	56	0.0006900553994944199
chr1	204450667	204569711	59	0.006248316356106677
chr1	205373808	205492851	60	0.0015847465436309043
chr1	206937062	207056105	62	0.00044886973039335535
chr1	225573860	225692903	64	0.00022009203480485772
chr1	234830505	234949549	67	0.0018912360688893572
chr1	239069816	239188859	70	0.004314680816077604
chr1	246405176	246524220	75	0.002696006965720908
chr10	4994078	5113121	561	0.0030815841943485655
chr10	9160137	9279181	562	0.0009753645844866283
chr10	11866479	11985523	563	0.000524744668619144
chr10	13620215	13739258	565	0.002014302082910058
chr10	27007032	27126076	568	0.0017552477058014372
chr10	32007550	32126594	569	0.0019590428043433044
chr10	32926855	33045898	570	0.004519644147079992
chr10	46209242	46328286	572	6.732589120937074e-05
chr10	53810504	53929548	577	1.999659554253128e-05
chr10	56664718	56783762	579	8.94035265884282e-06
chr10	59825889	59944933	581	3.019416380506599e-06
chr10	61846687	61965730	582	0.00010140425215902247
chr10	69179817	69298860	586	3.8327566286140106e-06
chr10	71948720	72067764	587	3.0815009368066024e-05
chr10	75116580	75235624	589	2.8313593632623864e-05
chr10	77560720	77679764	592	3.329137538115104e-05
chr10	79252721	79371766	594	2.0941902404540156e-05
chr10	81708878	81827921	595	5.630071940638592e-06
chr10	112180688	112299731	599	1.9070940427511206e-05
chr10	121317723	121436766	600	1.6406782389826193e-05
chr10	132543440	132662484	601	2.3203396442905825e-05
chr11	836478	955522	602	0.0004909169081249142
chr11	13054931	13173975	608	0.00037447486983841925
chr11	32182470	32301513	609	0.00042067673227546984
chr11	34684070	34803113	611	0.0017699917389666564
chr11	44202928	44321972	613	0.0004215486348115163
chr11	45950205	46069248	615	0.0012168023750104163
chr11	61017587	61136631	617	0.002813352870673838
chr11	62259737	62378780	618	0.0013596905370002437
chr11	63623486	63742530	620	0.0007033472462082389
chr11	65401112	65520155	622	0.0012753045729073632
chr11	67113119	67232162	624	0.006787723346964718
chr11	67417007	67536051	625	0.0009544611570833698
chr11	69755074	69874117	628	0.011277322708131407
chr11	70490373	70609417	630	0.00575980132557228
chr11	71492104	71611147	632	0.00020168059731804825
chr11	73239899	73358942	634	0.0002360178268732567
chr11	74425635	74544678	635	0.000858069364521251
chr11	75621200	75740243	637	0.000795641004409059
chr11	76990720	77109761	639	0.0006201466310836862
chr11	77723517	77842559	640	0.0043964332716059686
chr11	78013432	78132476	641	0.00202517722186446
chr11	82024785	82143829	647	0.0016429668633207385
chr11	88600503	88719547	654	0.0006596293035802479
chr11	100881726	101000769	656	0.0016682641192001778
chr11	102254408	102373451	657	0.0013841644784417038
chr11	102553747	102672791	658	2.2315370260790844e-05
chr11	118549763	118668813	661	0.0013517090237606458
chr11	121292062	121411105	662	7.296319780462894e-05
chr12	763012	882055	665	0.002760236935079014
chr12	1484313	1603357	666	0.0019343393716049126
chr12	3895283	4014326	668	0.0009736481363255949
chr12	6455229	6574273	670	0.001773614276893371
chr12	9631882	9750926	672	0.0005059602597380419
chr12	12008916	12127959	674	0.0010866060742750476
chr12	13348657	13467700	676	0.00013201804343461327
chr12	20191170	20310213	677	0.005291166675405859
chr12	25130730	25250912	680	0.01606624095778732
chr12	26107545	26226589	681	0.008017294993759578
chr12	27361309	27480352	683	0.0008928055801294377
chr12	43607718	43726761	685	0.0010851443947532307
chr12	46249019	46368062	687	0.0011251407403457074
chr12	52169148	52288192	690	0.0005359829207087872
chr12	52885668	53004711	692	0.00010808054942080537
chr12	54066694	54185738	693	0.00020853943131480724
chr12	56161514	56280558	694	0.0003755320037460558
chr12	57758906	57877949	696	0.002755923983052009
chr12	59648470	59767513	698	0.0033594626092141233
chr12	65541819	65660862	699	0.00232807056932488
chr12	68734698	68853742	702	0.004505156989241651
chr12	69366581	69485624	703	0.006555935931241178
chr12	70686281	70805325	705	0.0014043431102436204
chr12	123126098	123245141	711	0.0007527187957709087
chr12	124563932	124682976	713	0.00020795178735620283
chr12	126411932	126530976	714	0.0008842368242422275
chr13	24098582	24217626	715	9.281361824579074e-05
chr13	26886341	27005385	716	0.0005315810235035264
chr13	30197461	30324134	717	0.00012322038120579442
chr13	39289619	39408662	719	4.132001205080414e-05
chr13	44150342	44269386	720	0.00014953303720559145
chr13	73274341	73393385	725	0.00015009081642243646
chr13	91144224	91263268	727	4.559894866357356e-05
chr13	95292224	95411268	730	0.0001447644995719031
chr13	99012581	99131625	731	0.0001564525496883259
chr13	109612800	109731843	733	0.00015706335988888623
chr13	110122249	110241292	734	0.0001910858052768513
chr13	113433417	113552460	737	0.000337309069374088
chr14	23467040	23586083	738	0.0005291235484569236
chr14	24854884	24973927	741	0.0004541155293348582
chr14	25871272	25990316	742	0.0004975930406862601
chr14	26806323	26925366	743	0.0021590258087466016
chr14	31191973	31311016	744	0.003740215579515079
chr14	32851272	32970316	745	0.00015372274303398727
chr14	35110016	35229059	747	0.004887365662354069
chr14	36152041	36271084	748	0.004771879857239825
chr14	36440585	36559628	749	0.0038280044535790587
chr14	37335273	37454317	751	0.003735481238866688
chr14	39137623	39256667	753	0.003185666526978107
chr14	49942920	50061963	755	0.0015949403012751298
chr14	64495530	64614574	758	0.00013917150092941627
chr14	68611618	68730661	762	8.869382844207518e-05
chr14	75209775	75328819	763	3.080947265891605e-05
chr14	76926135	77045179	764	0.0002490742307282943
chr14	81544498	81663541	765	0.0001281175079216036
