chrom	start	end	name	score
chr1	151282142	151401185	28	0.046047433818096666
chr1	153746271	153865314	29	0.009392042250921674
chr1	155258846	155383080	31	0.0020095763199470163
chr1	156085499	156204543	32	0.001754236461271514
chr1	160085162	160204205	33	0.016760065573979237
chr1	169153675	169272718	36	0.0007556900613337061
chr1	172187888	172306931	37	0.013263865773458006
chr1	202869279	202988322	41	0.006447099503112451
chr1	204397458	204516501	42	0.028409548745050726
chr1	225636499	225755542	43	0.00504482407771834
chr1	234656732	234775775	44	0.007551848533675661
chr1	244365314	244484357	46	0.010239473382519682
chr12	520262	639306	392	0.001009852986546108
chr12	3831312	3950356	394	0.0016049242447764129
chr12	11921039	12040082	396	0.0006771646038271055
chr12	21225138	21344181	399	0.009023714591106572
chr12	25027192	25146235	401	0.0058777547637387465
chr12	26084300	26203344	403	0.006875220013450755
chr13	24296253	24416042	421	0.0012657811566101102
chr13	27753572	27872615	422	0.0010395019804784083
chr13	30365547	30484590	423	0.004342485741754334
chr13	73253179	73372222	428	0.0011949168561085095
chr13	91108224	91227268	430	0.001733319832909614
chr13	113340191	113459234	435	0.001017226650639208
chr15	25601921	25720964	458	0.0017215769964580136
chr15	52160565	52279608	462	0.0011925392839203096
chr15	71408139	71527183	467	0.0020773030929974166
chr15	72380048	72499091	469	0.0048856916042430395
chr15	86775490	86894534	471	0.0034135052465319275
chr15	90229639	90348682	472	0.0011908939216762095
chr15	92692834	92811877	473	0.004191938526848134
chr16	2539702	2658745	474	0.0025300754095854204
chr16	4316363	4435406	476	0.0035321995707089282
chr16	5088584	5207627	477	0.0031439339143919253
chr16	7266477	7385521	479	0.001503225052229912
chr16	11502943	11621986	480	0.010572959164869186
chr16	19162804	19281847	482	0.0020901471930799167
chr16	24525157	24644201	484	0.0018085154626682146
chr16	28626954	28745997	485	0.0037041683097784293
chr17	33399479	33518522	500	0.004534983059699737
chr17	34475330	34594374	501	0.00013204182386610105
chr17	37769269	37888662	502	0.0006147624296385049
chr17	39615001	39734044	503	0.0021461175674081174
chr17	48376177	48495220	509	0.0006481963499260052
chr17	50651117	50770161	510	0.002030179595605116
chr17	52471832	52590875	511	0.014704751585294318
chr17	60574077	60693120	515	0.009866445972657779
chr17	67729348	67848392	518	0.011097663950682889
chr17	75460397	75579441	520	0.0027721839125291223
chr17	79850095	79969138	521	0.0007297638280702059
chr18	3290527	3409570	524	0.002595829890750421
chr18	7387797	7506840	527	0.0005727508976677045
chr18	9959464	10078507	530	1.7645829145138505e-05
chr19	33288455	33407499	546	0.0035790948297010285
chr19	35610959	35730003	548	0.0023163697646055186
chr19	39001205	39120248	550	0.0035327169973576283
chr19	39565838	39684882	551	0.00126194887626931
