chrom	start	end	name	score
chr1	5698221	6299461	2	0.007725215186626604
chr1	7796378	8433690	15	0.004192645925877954
chr1	14385306	14763498	27	0.006044433154188627
chr1	26453898	26662962	5	0.015016878695274129
chr1	50751903	50870947	13	0.001069634755354993
chr1	92622914	92828477	11	0.007215898636184002
chr1	114182486	115159426	7	0.004166864852430822
chr10	56459109	56955135	243	0.016360592227178596
chr10	75535628	75654671	251	0.0022375889277983937
chr10	76159133	76283417	246	0.004121376895888722
chr10	87801233	87920276	241	0.007606308776591682
chr10	88205547	88324590	239	0.043798054529124664
chr11	39964088	40614329	287	0.015781691327688793
chr11	45909793	46380892	264	0.023629593545794185
chr11	62917530	63417759	261	0.002107332230639724
chr11	64834782	65299118	273	0.0010263902529509161
chr11	68366049	68573542	266	0.002492252779104507
chr11	70050758	70300907	283	0.0011063936954487372
chr11	72312230	72601976	289	0.005814278848500866
chr11	76135686	77281730	279	0.0013533905646133488
chr11	80628123	80752909	265	0.0010583848161302687
chr11	84253169	84655380	284	0.00010610711597600017
chr11	86261058	87385332	280	0.0012417293994468567
chr11	114035046	114233527	260	0.005309584619589642
chr12	12569383	12967658	290	0.0008159103866142067
chr12	23944471	24075816	299	0.00015649122498482691
chr12	26271425	26845390	294	0.00032847113359508085
chr12	44954419	45576022	301	0.007907911884231353
chr12	52008485	52774572	310	0.0042142530119596185
chr12	57702299	58353493	302	0.0018080256333832475
chr12	66744481	67100482	313	0.0030362956805645345
chr12	74225007	75395245	305	0.002133179287809777
chr12	99470564	99758032	308	3.706105816297289e-05
chr13	32047274	32376514	321	0.0013902467286168055
chr13	48365593	48484636	318	0.01404629403966912
chr13	50286679	50881654	324	0.007183524215581763
chr14	27068447	28612777	344	0.006522659638117818
chr14	33230726	33349769	334	0.0020427421488094185
chr14	39825804	40253578	337	0.001274844229078234
chr14	66702143	67185308	342	0.002591205452002261
chr14	68275614	68394657	328	0.0006059968776047709
chr15	31866992	31986036	352	0.012279000971097343
chr15	40993218	42159078	355	0.0117202828597702
chr15	57034409	57265344	356	0.009979251135101936
chr16	3673114	3792157	367	0.004453013829251489
chr16	23306400	24105477	360	0.006285863021893274
chr16	53398971	54351863	371	0.006923679971038875
chr16	72474943	72643441	365	0.0008833716741173725
chr16	78613406	78732449	357	0.0007513509699624431
chr16	78969234	79088278	361	0.0005230110491304886
chr16	83302105	83588218	372	0.0024604176958850483
chr17	7611129	7730172	378	0.07752050580484951
chr17	11909135	12050685	380	0.06124493886728289
chr18	26976797	28063535	400	0.01828093465855966
chr18	51012320	51141362	399	0.011994529900926466
chr19	18767506	19265881	415	0.006144765652576757
chr2	132975469	133094512	36	0.000627290729940302
chr2	135286665	135761621	43	0.004650775617674721
chr2	141095185	141214228	29	0.017069692731395483
chr2	147985984	148275630	49	0.0012793457280877818
chr2	186026083	186145126	45	0.00021478517044882584
chr2	186446973	186566016	52	0.00021478517044882584
chr2	212877996	212997143	34	0.011770577767637675
chr2	232977769	233156653	37	0.014183722078075249
chr21	22704159	24054854	437	0.0009490180927640018
chr21	34867516	35110617	436	0.00011927868247221015
chr22	22497942	22971195	444	0.005888981368223351
chr22	25379786	25498829	443	0.0015392886049395585
chr22	28082280	28624843	445	0.011181204582879406
chr22	28882064	29001107	440	0.004478700575299754
chr22	33469216	33917689	441	0.0028978200582804353
chr3	4256347	4525158	82	0.0029956748615345492
chr3	50298438	50841289	67	0.017076953094212623
chr3	60426507	60545550	62	0.01268963843142747
chr3	71215566	71334609	69	0.016717298869994235
chr4	10019183	10138226	112	0.000492540810671545
chr4	20310116	20479664	119	0.0002662429620553386
chr4	21102160	21430714	116	0.0040531583500978755
chr4	33779071	33989744	95	0.007466954199368419
chr4	59242972	61133220	102	0.00697082365016471
chr4	81087817	82202610	108	0.0062939478312661334
chr4	86556408	86782454	120	0.003112402705637317
chr4	90856263	90975306	94	0.0021956906403716335
chr4	131787238	133639252	107	0.0007590887499835549
chr4	181223661	181342704	93	0.0024698897558238005
chr4	182219568	182508466	106	0.0005343833889882269
chr4	186519299	186880353	111	0.0042121246576805795
chr5	56793697	57120997	138	0.008777055401748043
chr5	59204459	59323502	126	0.01314313771822979
chr5	59963527	60082570	122	0.022542550127939293
chr5	67348351	68771051	147	0.04776762407609397
chr5	100740256	101471280	136	0.015986198440079966
chr5	131236727	131878640	134	0.01205896194446749
chr5	166129093	166295987	128	0.04294104638190282
chr6	1907313	2026356	156	0.0003389868815791869
chr6	27844660	28823495	160	0.0021563865031121406
chr6	38091924	38651690	170	0.0011770870013789088
chr6	45140162	45683699	164	0.0013541923919742295
chr6	67766179	68700299	162	0.012946002882952572
chr6	167971817	168090860	167	0.008379768993412464
chr7	69883753	70002796	184	0.0019084358128772484
chr7	70500203	70619246	175	0.0007393899613006903
chr7	83634130	85102727	186	0.0009593970079054944
chr7	101859963	102244441	185	0.002112431064084425
chr7	110759050	110878093	174	0.0016666275777481453
chr7	126749996	127788278	176	0.0031353010466553155
chr7	152067473	152409692	192	0.0014801384312031335
chr8	3885170	4004213	197	0.007172693667127593
chr8	22348404	23235836	194	0.03919156068933364
chr8	36213724	37208125	210	0.011429703323943987
chr8	37428319	38222648	199	0.02847107208040844
chr9	9423309	9542352	217	0.0006503956536900761
chr9	10991477	11494076	228	0.003529112357700614
chr9	16665365	17111350	223	4.227962644172921e-05
chr9	21941391	22060434	213	0.043151996446590686
chr9	26270393	26679838	216	0.0024375270475218876
chr9	28247761	28459513	225	0.005628678299325265
chr9	31388257	32049497	222	0.002756510046114112
chr9	129101938	130380154	238	0.02047301874667847
