chrom	start	end	name	score
chr1	6229843	6425214	chr1_6327528	0.015577921950378977
chr1	10512850	10900480	chr1_10706665	0.008032789853879284
chr1	27143544	27284544	chr1_27214044	0.013305647874412652
chr1	51197958	51338958	chr1_51268458	0.01301886297147482
chr1	72248154	72389154	chr1_72318654	0.00798221518266023
chr1	93196857	93337857	chr1_93267357	0.0070630287239801005
chr1	114415368	114970105	chr1_114692736	0.005505563712335307
chr10	47180640	47609567	chr10_47395103	0.0025833255606044405
chr10	58287335	58630429	chr10_58458882	0.00267500292903423
chr10	68323648	68489294	chr10_68406471	0.0036127667815925644
chr10	76003031	76144031	chr10_76073531	0.002725063254411309
chr10	77308314	77449314	chr10_77378814	0.004320270724876784
chr10	77931342	78072342	chr10_78001842	0.005115223202228615
chr10	89550794	89691794	chr10_89621294	0.013773002007453253
chr10	89952696	90093696	chr10_90023196	0.023764910155650756
chr11	40351841	40798267	chr11_40575054	0.005330913768656863
chr11	46119600	46469295	chr11_46294447	0.006781046205618986
chr11	63850074	64148938	chr11_63999506	0.005067135170505518
chr11	68178105	68322151	chr11_68250128	0.007237329140351822
chr11	70960757	71200128	chr11_71080442	0.007078074350817542
chr11	76175889	76676330	chr11_76426109	0.004125071716024813
chr11	78707218	78993217	chr11_78850217	0.003662991960932706
chr11	80351146	80492146	chr11_80421646	0.010302572073776254
chr11	81802032	82203161	chr11_82002596	0.0029844997968381456
chr11	84185098	84381726	chr11_84283412	0.00505007810625088
chr11	113914908	114097500	chr11_114006204	0.002122482553144409
chr12	45723667	46348344	chr12_46036005	0.004362507652023236
chr12	58273069	58656444	chr12_58464756	0.005369584306255851
chr12	62811528	63318405	chr12_63064966	0.0029444727665604385
chr12	75003271	75174143	chr12_75088707	0.004064183809719685
chr12	99445130	99586130	chr12_99515630	0.006870966854835959
chr12	100000282	100141282	chr12_100070782	0.006404306931671899
chr13	32733730	32874730	chr13_32804230	0.0034237811489812872
chr13	48928269	49069269	chr13_48998769	0.010447966484884216
chr13	50810966	51025743	chr13_50918354	0.0025690271639356257
chr13	94241715	94382715	chr13_94312215	0.0023750330821560085
chr14	27927114	28663787	chr14_28295450	0.0038891344182301686
chr14	33689100	33830100	chr14_33759600	0.008291165735899001
chr14	40191601	40407553	chr14_40299577	0.0036514034167838792
chr14	67293980	67483067	chr14_67388523	0.005447380852742401
chr14	68732069	68873069	chr14_68802569	0.01016602990485239
chr15	32133175	32274175	chr15_32203675	0.004925885294744951
chr15	57370141	57511141	chr15_57440641	0.0057222743692583065
chr15	71705751	71846751	chr15_71776251	0.005291939454459009
chr16	53557533	54248083	chr16_53902808	0.0034098108088007535
chr16	72301011	72442011	chr16_72371511	0.005087789435357915
chr16	78638826	78779826	chr16_78709326	0.03847168662852293
chr16	83061271	83220784	chr16_83141027	0.004872911413747686
chr17	7535937	7676937	chr17_7606437	0.05434596415664307
chr17	11808753	12032105	chr17_11920429	0.016818340799151076
chr18	25342454	26083842	chr18_25713148	0.006031400164474981
chr18	33999977	34140977	chr18_34070477	0.012200091664239169
chr18	48531495	48672495	chr18_48601995	0.014289096734549684
chr2	9493659	9634659	chr2_9564159	0.0010929865782966662
chr2	43548536	43969481	chr2_43759009	0.001170337195607998
chr2	63147630	63379399	chr2_63263514	0.0009551586134236602
chr2	77761272	77962780	chr2_77862026	0.0013004678875627757
chr2	133712421	133853421	chr2_133782921	0.0019464622669848656
chr2	136201385	136368773	chr2_136285079	0.0015012000013868273
