chrom	start	end	name	score
chr1	4288023	4407066	chr1_4347545	0.002213291861185881
chr1	6211261	6330304	chr1_6270782	0.007616186494746252
chr1	8002756	8121799	chr1_8062278	0.004032573658071749
chr1	10596478	10715522	chr1_10656000	0.002281467018542067
chr1	14964711	15083754	chr1_15024232	0.00108447940716345
chr1	21206264	21325307	chr1_21265785	0.003117888782063768
chr1	27114511	27233554	chr1_27174033	0.010343930917429592
chr1	49400411	49519454	chr1_49459932	0.0028017903832435803
chr1	51104550	51223593	chr1_51164072	0.00234286986300713
chr1	72328478	72447522	chr1_72388000	0.002057103086488335
chr1	93277865	93396908	chr1_93337386	0.0031208379257477315
chr1	111400249	111519293	chr1_111459771	0.0029314373840043546
chr1	149225478	149344521	chr1_149284999	0.0022165763051444345
chr1	154878594	154997637	chr1_154938116	0.0027478270875969904
chr1	162128592	162247635	chr1_162188113	0.0013073044541813271
chr1	166188256	166307300	chr1_166247778	0.001526503418179403
chr1	189393493	189512537	chr1_189453015	0.002411702994738511
chr1	192996478	193115522	chr1_193056000	0.0018206120205712956
chr1	241590943	241709986	chr1_241650464	0.0031282249418267414
chr1	245756138	245875181	chr1_245815660	0.0025810050588901527
chr1	246275820	246394863	chr1_246335341	0.00602770762648025
chr10	22630985	22750029	chr10_22690507	0.0024393801497361164
chr10	24684849	24803892	chr10_24744371	0.004376534225571846
chr10	47298592	47417635	chr10_47358113	0.0022954594221449784
chr10	51404665	51523708	chr10_51464187	0.001205292613498586
chr10	53248319	53367362	chr10_53307840	0.0008596608510516685
chr10	56344407	56463451	chr10_56403929	0.001082622193128489
chr10	58402816	58536771	chr10_58469794	0.001972310671193448
chr10	65092478	65211522	chr10_65152000	0.0009062644535014583
chr10	68488582	68607625	chr10_68548104	0.0015785671393937575
chr10	75992478	76111522	chr10_76052000	0.0019243068194600896
chr10	77400473	77519516	chr10_77459995	0.0018875223042317058
chr10	77816151	77935194	chr10_77875672	0.0020578475796285485
chr10	89782997	89902040	chr10_89842518	0.020541217525428798
chr10	112692307	112811351	chr10_112751829	0.0010204912819336718
chr10	114416248	114535291	chr10_114475769	0.0012758756142089713
chr11	40432922	40551965	chr11_40492443	0.006878154265779188
chr11	46227861	46346905	chr11_46287383	0.005614280560914065
chr11	62726032	62845315	chr11_62785673	0.013262633882247942
chr11	68409650	68528693	chr11_68469171	0.01165500779343163
chr11	70522684	70641727	chr11_70582206	0.005989595115928234
chr11	71572478	71691522	chr11_71632000	0.01316139794007872
chr11	76060498	76179542	chr11_76120020	0.003978607141581941
