chrom	start	end	name	score
chr1	150571678	150741615	16	0.008386169372885489
chr1	151549752	151797157	1	0.0017101828485300106
chr1	153540304	153734176	28	0.0017101828485300106
chr1	154839176	155157122	20	0.0001484356600521032
chr1	160914013	161088587	8	0.014749166470619803
chr1	171732923	172364467	19	0.0015209904174672227
chr1	201938893	202057937	22	0.007366090568155691
chr1	204393519	204512562	4	0.004702632917639735
chr11	32068935	32537281	281	0.0010442479746297353
chr11	34672395	34791439	263	0.001996128136276537
chr11	40096845	41086885	269	0.0017317839412686667
chr11	46293298	46643939	274	0.001856234020912404
chr12	750855	984603	315	0.003020132401928517
chr12	4005735	4630644	295	0.0008513539796223596
chr12	19777246	20304059	293	0.0035115626340967215
chr12	25088072	25291758	291	0.004451021459592391
chr12	26308757	26427801	311	0.0013612481390845978
chr12	27312183	27724555	300	0.0003978644455209792
chr13	27726123	28583697	323	0.05601180665512563
chr13	30777977	31270349	319	0.010746780432504047
chr13	54542287	55760400	325	0.0039504290257997895
chr13	71624228	72471666	326	0.009423368290292134
chr13	73860342	73979385	320	0.008559360261357948
chr13	106659219	107933285	322	0.0025384222955541153
chr16	18839445	19602747	369	0.001924111430215126
chr16	29044352	29740329	362	0.0032262851836680592
chr17	31063757	31344450	384	0.0005902828984555367
chr17	36040114	36220312	388	0.00037990355354999
chr17	37814919	37933962	375	0.02187026441728999
chr17	50404258	50789048	377	0.010375448105600302
chr17	60648695	61741852	382	0.006582863375139555
chr17	67196640	67890043	374	0.0064378508178177425
chr17	77734233	78056848	390	0.0029825998518795303
chr19	33519365	33816790	410	0.005555239914073953
chr19	35468671	35852015	417	0.001453289440718339
chr19	37789605	38291932	408	0.002355336185729656
chr19	39664941	39859916	411	0.002718495433998426
chr19	45197410	45316453	412	0.0001352131927422465
chr2	103076527	103501295	38	0.002768124906723582
chr2	116118599	116503797	32	0.0025888376132819834
chr2	123203267	124277151	42	0.004145882193569976
chr2	177598943	178479541	33	0.0010594549798282325
chr2	191054682	191532321	30	0.0006701401287491662
chr2	195089370	195978143	41	0.0006701401287491662
chr2	204258457	204874921	57	0.0006701401287491662
chr20	34059289	34178332	424	0.05746703459413538
chr20	42716839	43707813	427	0.07804216446297889
chr20	45958505	46077548	428	0.03708713988881511
chr20	48654362	48886540	425	0.034753935024066304
chr20	52134620	52253663	434	0.07823439105740854
chr20	55535014	56580230	430	0.02154904828071557
chr3	100992050	102444535	84	0.00021385489623193207
chr3	107631968	107751012	78	0.00036872062000880743
chr3	115149776	115973138	88	0.001816926189974335
chr3	148787016	149621348	73	0.0012774879591647278
chr3	166020407	166603769	72	0.004226098032723381
chr3	168683826	168802869	64	0.000987589442556565
chr3	172180285	172299328	61	0.001482131044750709
chr3	181273593	181928556	65	0.0016373452525169406
chr3	189510959	189838502	90	0.0029531442136554813
chr5	21982188	23108941	121	0.005001393182167003
chr5	28006389	29170593	140	0.005635388034161858
chr5	35617488	37520080	146	0.007961146422389079
chr5	36156861	36428160	129	0.007803212952694723
chr6	11334694	11453737	161	0.000457709419583933
chr6	13296309	13509238	171	0.0003717360177246683
chr6	18454897	18629310	166	7.270922306036236e-05
chr6	19696050	20334112	149	0.000457709419583933
chr6	21224485	21809939	169	0.00012032563233613466
chr6	30575191	30767427	158	0.0012679899482925289
chr6	31574113	31812353	168	0.0005912515163114315
chr6	41795451	42143170	163	0.0030251662926415917
chr6	43759391	43878435	148	0.006016883647225489
chr6	46842097	47120916	159	0.002896575001866619
chr6	52865648	53568818	151	0.001286669437643325
chr7	47722727	47920673	189	0.027151807486532377
chr7	53425271	53544315	178	0.07711562220648462
chr7	91452043	92249833	173	0.0013987940676096144
chr7	98511675	99454048	177	0.0014599041237185661
chr7	144215742	144437137	187	0.0019389476077364602
chr8	55246390	55365434	207	0.014626972394695629
chr8	68482580	70228198	208	0.03316982948144197
chr8	101295688	101441274	205	0.018742290839575803
chr8	107039717	107542826	212	0.023247942470952056
chr8	113390563	114733784	198	0.014332025281928134
chr8	128331565	128450608	206	0.002517887437836114
chr8	128745510	128864553	196	0.13214174313038488
chr8	129537965	129657008	211	0.01214665828162355
chr8	142040174	142159217	202	0.010782219196066624
chr9	3690545	3997914	231	0.006063720916593993
chr9	6395784	7050834	236	0.0021739458856847786
chr9	8556540	9321421	226	0.002734949556307129
chr9	12739602	13013795	232	0.001897251924032465
chr9	13905864	14163508	219	0.00016864200810902107
chr9	14759759	15327140	235	0.0016167074955089856
chr9	19284053	19661201	215	5.044857993641675e-05
chr9	20775704	20994896	233	0.00034484451415236973
chr9	25466493	25786522	237	0.00215631342060997
chr9	33949653	34121482	220	0.0036521222605302123
chr9	35692546	35811590	214	0.012400033246586591
