chrom	start	end	name	score
chr1	10824979	10988820	21	0.0021177185210913443
chr1	31805355	32202812	18	0.00034939483539991233
chr1	40434842	40770691	0	0.005117184421410176
chr1	61572512	62827216	23	0.0010049225833178904
chr1	150571678	150741615	16	0.005562206337935544
chr1	151549752	151797157	1	0.0009743483833553624
chr1	153540304	153734176	28	0.0003896854599844647
chr1	154839176	155157122	20	0.001953572080516522
chr1	155736873	156034001	9	0.0060248366497351585
chr1	160914013	161088587	8	0.0006124639703728425
chr1	171732923	172364467	19	0.0007352625844375031
chr1	201938893	202057937	22	0.0013571163595848554
chr1	204393519	204512562	4	0.035786525138048766
chr11	65228434	65347477	275	0.0012583273095663145
chr11	69434720	69553763	285	0.0014102799500918277
chr11	70165110	70284154	276	0.0012126117661249904
chr11	70971824	71178480	282	0.00028183952350186033
chr11	72854062	73181590	288	0.001261061681569402
chr11	73901947	74555388	270	0.0007408159428480841
chr11	77540996	77660040	259	0.0025925881355849047
chr11	81822736	82785608	268	0.0015307949975182436
chr11	88179066	88819047	267	0.004024064866724369
chr11	100071333	100456683	262	0.006187561340999975
chr11	102318256	102445858	271	0.0005187948323637961
chr12	4005735	4630644	295	0.010370617897538528
chr12	6495089	6729835	312	9.798020777898661e-05
chr12	19777246	20304059	293	0.0037180223710874152
chr12	25088072	25291758	291	0.0038537170853668898
chr12	26308757	26427801	311	0.0025155108036456477
chr12	27312183	27724555	300	0.004004182435599114
chr12	46271490	47236325	296	0.001529011009825687
chr12	48096881	48215924	304	0.0007789948362940459
chr12	52494771	52613815	307	0.003663889648036052
chr12	56477038	56596081	303	0.0010942171262590527
chr12	58142641	58261684	292	0.020071518082222236
chr12	60147861	60485820	298	0.007589534314695967
chr12	65893626	66407162	306	0.002346602791550495
chr12	67641689	67887068	314	0.004263802563460587
chr12	69490369	69636780	317	0.006977698179748297
chr12	95808951	96199625	309	0.00032170148260686796
chr15	52141530	52835762	347	0.0005749677969127693
chr15	71820985	71940029	348	0.000345118841062005
chr15	72595833	72930283	353	0.000908632349890445
chr16	1995842	2383828	368	1.1490056585814998e-05
chr16	4202082	4345377	373	0.0023147653814639497
chr16	11731483	11869700	359	0.002266731303448122
chr16	18839445	19602747	369	0.0011048917739407715
chr16	29044352	29740329	362	2.310318347696208e-05
chr16	52299076	52736330	364	0.0001265279842706533
chr16	69347010	69847488	370	8.861749600921773e-05
chr17	31063757	31344450	384	0.00604860390320235
chr17	37814919	37933962	375	0.000436214323890183
chr17	46328894	46556435	383	0.0002860660839453433
chr17	48593060	48789511	386	0.0035322581381314233
chr17	50404258	50789048	377	0.00029956565235837404
chr17	60648695	61741852	382	0.00532941412494472
chr17	67196640	67890043	374	0.0030166972194770334
chr17	73467763	73586807	381	0.006468745880852004
chr18	23949750	24141972	402	0.0021341516807723638
chr18	26210717	26526222	395	0.00125467780215236
chr18	28881754	29267781	401	0.0015927301297992485
chr18	31803833	32874747	405	0.0023872981886193445
chr18	41082209	41923817	398	0.0013125729914534206
chr18	46153969	46615826	404	0.0007246531463374947
chr19	9139027	9267988	418	0.01655404023367731
chr19	10736375	10946734	409	0.03702539050678173
chr19	13336475	13584705	416	0.010787880934840784
chr19	15320331	15478451	407	0.03930382434605173
chr19	33519365	33816790	410	0.0018586163412507015
chr19	35468671	35852015	417	0.0021632466646474037
chr19	37789605	38291932	408	0.006288998332166463
chr19	39664941	39859916	411	0.006575966932206342
chr19	45197410	45316453	412	0.000747328848182955
chr2	4939908	5248723	51	0.00026047028927211966
chr2	28760823	28879866	44	0.0016011663358433945
chr2	43133499	43364389	48	0.0018681441381823123
chr2	61280524	61940385	31	0.0012587496755013155
chr2	85161928	85620345	39	0.0058321800981011715
chr2	123203267	124277151	42	0.0014446108774867285
chr2	204258457	204874921	57	0.001457545535311667
chr20	10866582	11863122	426	0.0476193583390945
chr20	34059289	34178332	424	0.012053002675783936
chr20	42716839	43707813	427	0.006168583204900893
chr20	45958505	46077548	428	0.003541651640643488
chr20	48654362	48886540	425	0.0025223326932719494
chr20	55535014	56580230	430	0.003821121721159784
chr20	58845327	59850940	432	0.004565745233267234
chr21	27563981	29211589	438	0.00555032618764915
chr21	34741048	34860091	435	5.537410896150231e-06
chr3	9236611	9447494	76	0.0009908136380633568
chr3	13660266	13779309	71	0.0004996222639217906
chr3	81546661	83261851	80	0.0014488656307024186
chr3	100992050	102444535	84	0.0003003250748789429
chr3	107631968	107751012	78	0.000517809270513305
chr3	115149776	115973138	88	0.0004897546906475206
chr3	148787016	149621348	73	0.0015309445016416163
chr3	166020407	166603769	72	0.0006802994019569821
chr3	168683826	168802869	64	0.0006802994019569821
chr3	169548446	169667490	74	0.0004969152689366218
chr3	172180285	172299328	61	0.001968972079325585
chr3	174118798	174294887	81	0.004778310578648966
chr3	177069806	177414593	77	0.007454475240969266
chr3	181273593	181928556	65	0.026508020006785614
chr3	188750796	188971833	87	0.002664984015850963
chr3	189510959	189838502	90	0.0017968734052894587
chr4	1720167	1839210	100	0.0019528653772030486
chr4	10224376	10343419	98	0.0006092907906066333
chr4	11933736	12386919	113	0.002685582433116864
chr4	20131877	21195788	104	0.00016279337366670416
chr4	25137744	25982564	115	0.00194490240169243
chr4	32727300	34308655	96	0.0038079427841415762
chr4	37827877	38761501	114	0.0008048081019989491
chr4	57411823	57604555	105	0.012712169370816368
chr4	60229100	61415503	110	0.0026032560060951435
chr4	65285589	66552501	103	0.0012197489817604846
chr4	73734130	74067073	92	0.0018760460888517828
chr4	77195795	77671354	101	0.00031934897033184965
chr4	144374339	144886109	97	0.0006754439630714145
chr4	153957286	154076329	117	0.00018306807238937495
chr5	8000468	8453144	143	0.0003420385992665379
chr5	14069792	14427201	141	0.002806132338611947
chr5	16399158	16808360	145	0.0003420385992665379
chr5	21982188	23108941	121	0.0035519360471490896
chr5	28006389	29170593	140	0.0027424923060858043
chr5	31575341	32519706	144	0.0010587089064180571
chr5	35617488	37520080	146	0.0003420385992665379
chr5	36156861	36428160	129	0.0018835927353918658
chr5	58060229	58329713	139	0.0003546272129730883
chr5	127080897	127278991	142	0.0012878062255475187
chr5	137556133	138159794	123	0.0006081488347256042
chr5	148931018	149060418	131	0.0004291379483654074
chr5	165233848	165599421	124	0.0009052439243463174
chr5	176546155	176692974	137	0.0018184540995351205
chr6	6735404	7149435	152	0.00040679236827268037
chr6	11334694	11453737	161	0.0007714532459123398
chr6	13296309	13509238	171	0.0006265480788158312
chr6	18454897	18629310	166	0.00012254885684605176
chr6	19696050	20334112	149	0.003279213012591941
chr6	21224485	21809939	169	0.002595457250477026
chr6	30575191	30767427	158	0.0011182681993987054
chr6	31574113	31812353	168	9.525894696950189e-05
chr6	37249162	37561073	165	0.0014173203821270855
chr6	41795451	42143170	163	0.005893852433276115
chr6	43759391	43878435	148	0.005928846922977801
chr6	46842097	47120916	159	0.0018602092313633745
chr6	52865648	53568818	151	0.0006734637916667387
chr7	14750037	15328719	179	0.022619015130591513
chr7	47722727	47920673	189	0.00808229030482067
chr7	53425271	53544315	178	0.1090364432861223
chr7	67621038	68627757	181	0.027089643678447645
chr7	91452043	92249833	173	0.06360928078198132
chr7	98511675	99454048	177	0.016363018977707547
chr7	104401998	104715478	191	0.0034358215049118666
chr7	116330970	116513212	190	0.009065395986352608
chr7	144215742	144437137	187	0.006968066099129102
chr8	36887446	37084635	203	0.0005655245158573918
chr8	37822737	37951133	195	0.0006845286082866891
chr8	55246390	55365434	207	0.004665668132711539
chr8	107039717	107542826	212	0.0032286717158304195
chr8	113390563	114733784	198	0.0008126364910000709
chr8	128331565	128450608	206	0.0005690941411687682
chr8	128745510	128864553	196	0.018550822186593947
chr8	129537965	129657008	211	0.002745393602182545
chr8	142040174	142159217	202	0.0030841116507608246
chr9	3690545	3997914	231	0.0010344241690374322
chr9	6395784	7050834	236	0.002292048163068996
chr9	8556540	9321421	226	0.0012470712697548575
chr9	12739602	13013795	232	0.00702426935603467
chr9	13905864	14163508	219	0.004573608098623265
chr9	14759759	15327140	235	0.013154932926988001
chr9	19284053	19661201	215	0.005442831139014687
chr9	20775704	20994896	233	0.0017678889427898776
chr9	25466493	25786522	237	0.004839215450199303
chr9	27851453	28025192	218	0.002999279059262444
chr9	30245128	30517232	221	0.005215261966968106
chr9	31791759	32053678	227	0.001055586094300018
chr9	33949653	34121482	220	0.00923193406878714
chr9	35692546	35811590	214	0.029658208726351193
chr9	74866852	75203674	230	0.02038747542707955
chr9	120836309	121723035	234	0.030296418560540023
chr9	130431066	130656819	224	0.011312646366299396
