chrom	start	end	name	score
chr1	5698221	6299461	2	0.007543425603580766
chr1	7796378	8433690	15	0.006041661401802219
chr1	14385306	14763498	27	0.00492576259371278
chr1	26453898	26662962	5	0.01429529023799505
chr1	50751903	50870947	13	0.0026165208848870215
chr1	92622914	92828477	11	0.006246404181080137
chr1	114182486	115159426	7	0.01014712104800585
chr1	157585972	158068323	17	0.004036619226612209
chr1	193012658	193197741	12	0.0014646429347396246
chr1	210244880	210734469	24	0.004173062359364466
chr1	212425834	213587853	3	0.006084223702295673
chr1	246074672	246193715	6	0.0020817634051875393
chr10	56459109	56955135	243	0.008657988969613372
chr10	75535628	75654671	251	0.0013016337464217846
chr10	76159133	76283417	246	0.002458246991774197
chr10	87801233	87920276	241	0.0038665510576168785
chr10	88205547	88324590	239	0.02712212371279696
chr11	39964088	40614329	287	0.0053774035970426985
chr11	45909793	46380892	264	0.008015856232525124
chr11	62917530	63417759	261	0.02167757041725081
chr11	64834782	65299118	273	0.013829623230066278
chr11	68366049	68573542	266	0.01609732694054484
chr11	70050758	70300907	283	0.014023251056376116
chr11	72312230	72601976	289	0.024957090716643027
chr11	76135686	77281730	279	0.0073553582932178885
chr11	80628123	80752909	265	0.004425992853833083
chr11	84253169	84655380	284	0.002115203713773745
chr11	86261058	87385332	280	0.004170222637522855
chr11	114035046	114233527	260	0.008178779783375792
chr12	12569383	12967658	290	0.017969809038438294
chr12	23944471	24075816	299	0.007660861577517588
chr12	26271425	26845390	294	0.006203294034380548
chr12	44954419	45576022	301	0.010037502728213124
chr12	52008485	52774572	310	0.010426961449214808
chr12	57702299	58353493	302	0.004587497295178434
chr12	66744481	67100482	313	0.0035596484216027
chr12	74225007	75395245	305	0.007230164661253584
chr12	99470564	99758032	308	5.41564734685081e-05
chr13	32047274	32376514	321	0.0054422186570014346
chr13	48365593	48484636	318	0.011000653816112935
chr13	50286679	50881654	324	0.007299523720041173
chr14	27068447	28612777	344	0.009360721342619966
chr14	33230726	33349769	334	0.0026524922607803862
chr14	39825804	40253578	337	0.005142641675323599
chr14	66702143	67185308	342	0.002461632271664808
chr14	68275614	68394657	328	0.0018610549748521127
