chrom	start	end	name	score
chr1	150599202	150769139	16	0.02727563642611145
chr1	151577276	151824681	1	0.00641956882178598
chr1	153567828	153761700	28	0.004253811669660897
chr1	154866700	155184646	20	0.007561576586729204
chr1	155767082	156064210	9	0.00706178473601909
chr1	160944223	161118797	8	0.025044689525194806
chr1	171763783	172395327	19	0.014084865700227427
chr1	201969765	202088809	22	0.017806985144811924
chr1	204424391	204543434	4	0.013307187250219494
chr1	234768090	234887134	10	0.002815966933388634
chr10	4977348	5233692	240	0.005376080974503066
chr10	8812766	9282706	249	0.014289532807435187
chr10	11633710	12122522	255	0.005299293563378362
chr10	31873372	32524107	247	0.006048698527590377
chr10	53200357	54407754	248	0.0005188622421063958
chr10	59942726	60061769	250	0.0004409043161630726
chr10	61321198	62034364	242	0.0017974251719552214
chr10	63604255	63953573	256	0.0003975181392122413
chr10	74894765	75176209	245	0.0023493348876903715
chr10	75300349	75448565	258	0.00040444217293483396
chr10	77864432	78188035	257	0.0017294181421087674
chr10	81308268	82447504	252	0.001130836270929327
chr10	124456338	124978026	254	0.0007067828560595986
chr11	13492322	14226122	278	0.000738612063107792
chr11	32047389	32515735	281	0.003044187908544551
chr11	34650848	34769892	263	0.00524878315029168
chr11	40075295	41065335	269	0.0017269549956866177
chr11	46271747	46622389	274	0.0017423594946201753
chr11	62148903	62573639	272	0.0026390145327420287
chr11	65460963	65580006	275	0.000248789214098741
chr11	67152147	67373325	286	0.006723974528860703
chr11	69619952	69738995	285	0.023185507875590698
chr11	70319004	70438048	276	0.015627178488768975
chr11	71260778	71467434	282	0.0023131792619932494
chr11	73143017	73470545	288	0.003639561360231688
chr11	74190902	74844343	270	0.00334267402414127
chr11	77829950	77948994	259	0.01263630500990226
chr11	82111694	83074566	268	0.0038742707001750186
chr11	88445898	89085879	267	0.0017259565249343992
chr11	91450563	91845351	277	0.0011305678978554142
chr11	100200601	100585952	262	0.0016576383717563483
chr11	102447525	102575127	271	0.0010552317741005335
chr12	641689	875437	315	0.003009643234315978
chr12	3896569	4521478	295	0.003537825280303118
chr12	6385923	6620669	312	0.001411355778738226
chr12	19624312	20151125	293	0.007107016163513965
chr12	24935138	25138824	291	0.005905116063181761
chr12	26155824	26274868	311	0.0034475655413362593
chr12	27159250	27571622	300	0.0036019306241014877
chr12	45877707	46842542	296	0.001416670466405517
chr12	47703098	47822141	304	0.0004202261586314069
chr12	52100987	52220031	307	0.000621742850871972
chr12	56083254	56202297	303	0.00033209170236533274
chr12	57748858	57867901	292	0.0002935379645438787
chr12	59754080	60092039	298	0.0011932167832908026
chr12	65499846	66013382	306	0.002049799464063345
chr12	67247909	67493288	314	0.00035140940124169526
chr12	69096589	69243000	317	0.008409788121835344
chr12	95415175	95805847	309	0.0010005317307028609
chr12	124652439	124771482	297	0.00015722888920439784
chr13	27151986	28009560	323	0.001944101510009453
chr13	30203840	30696212	319	0.002949450766872965
chr13	53968152	55186265	325	0.00015526280687997262
chr13	71050096	71897528	326	0.0005429363369552617
chr13	73286205	73405248	320	0.0002573277653283455
chr13	106006870	107280937	322	0.0004872905825696028
chr14	23259105	23594054	340	0.00025645379232012034
chr14	26331260	26785808	330	0.0004370687430152411
chr14	30781838	31712143	335	0.00039335736975209883
chr14	35305989	35516969	327	0.0005227919325470633
chr14	37343469	37589273	332	0.0006946648649217155
chr14	41444173	42113315	338	0.00026178980716154936
chr14	49950433	50078527	329	0.0006749988089922429
chr14	61473706	61592749	341	1.865190454562124e-05
chr14	76968624	77087668	333	4.548152900477798e-05
chr14	103111801	103323946	339	3.6273698615138094e-05
chr14	104596671	104974929	343	5.5474110878938956e-05
chr15	25337247	25692020	350	0.0020385003861963934
chr15	51849333	52543565	347	0.0037698177943425782
chr15	53171399	53468198	354	0.0008103277036379381
