chrom	start	end	name	score
chr1	4288023	4407066	0	0.0013629102539489105
chr1	6211261	6330304	1	0.028697552092262324
chr1	8002756	8121799	2	0.004896254221959349
chr1	10596478	10715522	3	0.0064809029262232806
chr1	21206264	21325307	7	0.011640494331891287
chr1	27114511	27233554	10	0.038724036369308455
chr1	49400411	49519454	18	0.005469660544010012
chr1	72328478	72447522	22	0.0023354277884507055
chr1	93277865	93396908	23	0.010614169931652907
chr1	111400249	111519293	26	0.019597314571776964
chr10	47298592	47417635	331	0.0029921179341918375
chr10	51404665	51523708	332	0.001244965312227879
chr10	53248319	53367362	334	1.5934618628294153e-05
chr10	56344407	56463451	335	0.00047888365574036244
chr10	58402816	58536771	336	0.007299288621182631
chr10	65092478	65211522	338	0.0001304668414959765
chr10	68488582	68607625	340	0.0028262148447937927
chr10	75992478	76111522	342	0.003351472769492292
chr10	77400473	77519516	345	0.001754948372265971
chr10	77816151	77935194	346	0.0017673310764209132
chr10	89782997	89902040	350	0.0357013184906279
chr10	112692307	112811351	351	0.0014853425203624944
chr10	114416248	114535291	352	0.001640780257652589
chr11	40432922	40551965	358	0.0030083882563687004
chr11	46227861	46346905	360	0.002116434280166081
chr11	62726032	62845315	363	0.02735463709754647
chr11	68409650	68528693	369	0.010760521686645052
chr11	70522684	70641727	373	0.009587173968779008
chr11	71572478	71691522	375	0.02716422758058297
chr11	76060498	76179542	378	0.0030387204942843317
chr11	80269086	80388129	382	0.007544071976686698
chr11	81988715	82107758	383	0.0036599990048638044
chr11	83991351	84110394	385	9.199016318706637e-09
chr11	85697610	85816654	386	0.0030691758738710605
chr12	1088933	1207977	393	0.00023757524559414955
chr12	12672540	12791583	397	0.006776006714992331
chr12	16414281	16533325	398	0.006213506886509007
chr12	23848204	23967248	400	0.0006935253292337038
chr12	25883051	26002094	402	0.000655640207920167
chr12	26664478	26783522	404	0.002610395898159041
chr12	45452478	45571522	405	0.007991586465660257
chr12	58479840	58598883	412	0.0038339817522862816
chr12	67380221	67499265	414	0.0022844113146471764
chr12	68596277	68715320	416	0.0027511164575855264
chr13	32734699	32858678	424	0.00727579147058181
chr13	48941695	49060738	425	0.007720612862880818
chr13	49160478	49279522	426	0.008688540557971133
chr13	50902128	51021172	427	0.007749023421075007
chr13	84508170	84627213	429	0.00064715805219493
chr13	94210345	94329388	431	0.0007596232169479944
chr13	112704136	112823179	434	0.0022817047349496912
chr14	33712183	33831227	439	4.3519621227574714e-05
chr14	40612524	40731568	443	0.0035014029767964014
chr14	67436478	67555522	448	0.004784791451445163
chr14	68328478	68447522	450	0.00257445913184415
