chrom	start	end	name	score
chr1	6103062	6344246	TSG3	494.0688196461485
chr1	8177219	8412650	TSG22	472.9436212365848
chr1	10648504	10789504	TSG44	443.8533698231999
chr1	15003239	15144239	TSG31	463.1481500405352
chr1	27092661	27233661	TSG2	573.187527317616
chr1	49411670	49552670	TSG39	377.1451752407841
chr1	51209384	51350384	TSG12	402.4638621072107
chr1	72226753	72367753	TSG24	483.6571160686141
chr1	93179603	93320603	TSG7	593.869814472769
chr1	115146245	115656090	TSG4	603.0007668498322
chr1	149166119	149307119	TSG23	242.8456081394036
chr1	157615410	157827028	TSG20	248.65372502292817
chr1	169521470	169720954	TSG43	274.59658216399845
chr1	189316818	189457818	TSG28	307.7224562897733
chr1	193039084	193180084	TSG13	307.8851547025697
chr1	241632200	241914244	TSG21	372.84135127758935
chr1	246195942	246336942	TSG8	371.1168993402357
chr10	20304881	20445881	TSG411	385.1780483289375
chr10	22272244	22608102	TSG400	376.4259171283112
chr10	24387128	25159609	TSG392	382.228298079563
chr10	47488781	47712143	TSG386	350.3722402479119
chr10	53137827	53278827	TSG402	321.22981600976715
chr10	56366293	56761157	TSG405	309.17267315402745
chr10	58570059	58846397	TSG385	315.11433981994554
chr10	65212660	65353660	TSG407	303.5373556935476
chr10	68779243	68937762	TSG394	316.33616521612686
chr10	76006183	76147183	TSG399	317.9798160106956
chr10	77397676	77538676	TSG388	318.9750541065981
chr10	77966641	78107641	TSG398	316.1349025916882
chr10	89752254	89893254	TSG381	564.5289141232937
chr10	90021649	90162649	TSG397	527.5289141270569
chr10	112717541	112900400	TSG409	432.057560483513
chr10	114392960	114533960	TSG413	441.19998472467904
chr11	40375984	40854382	TSG428	609.8863916809628
chr11	45952507	46384023	TSG421	539.8012726408211
chr11	63713979	64270409	TSG418	322.3121700902304
chr11	65275065	65534356	TSG449	285.7911383478574
chr11	68167088	68308088	TSG425	288.23620994072417
chr11	69905231	70111438	TSG452	282.25027920569033
chr11	71053255	71254426	TSG454	295.8797525088264
chr11	76091488	76696619	TSG436	255.93768902021284
chr11	78693986	78984185	TSG431	251.6134826718918
chr11	80369689	80510689	TSG422	290.4547525105769
chr11	80915432	81056432	TSG434	273.12737156038213
chr11	81952497	82137223	TSG447	255.15345381302555
chr11	83777984	83950191	TSG445	271.7661522248536
chr11	84548708	84689708	TSG427	276.5463720049024
chr11	85563809	85876956	TSG446	292.7737529556845
chr11	99396579	100009357	TSG448	405.4452869700771
chr11	114046103	114261662	TSG417	705.0244716436443
chr12	1264702	1502194	TSG487	341.0652236513145
chr12	12680830	12821830	TSG480	425.184668095488
chr12	13351897	13508716	TSG459	416.3846680964306
chr12	24052860	24193860	TSG468	352.21681095463646
chr12	25846676	26148420	TSG462	336.96681095512054
chr12	57856273	57997273	TSG486	321.1072871493746
chr12	58522457	58685411	TSG470	316.8072871501841
chr12	60882083	61070912	TSG476	327.0168109579487
chr12	68614373	68970804	TSG474	320.2501442906679
chr12	74890985	75116809	TSG472	396.1806998411377
chr12	99932245	100073245	TSG465	495.11244586633165
chr12	115059398	115917048	TSG478	520.707142832209
chr13	29034704	29431891	TSG501	620.9809523650298
chr13	32730505	32871505	TSG494	680.3976190285803
chr13	48924358	49065358	TSG492	858.9142856858927
chr13	50744882	51091497	TSG499	798.0809523582864
chr13	84390476	84821700	TSG500	673.4142856933927
chr13	94190111	94402652	TSG496	623.8976190303016
chr13	112563587	112711149	TSG497	632.3142856915723
chr14	24468978	24625498	TSG520	529.928571412168
chr14	28007236	28545715	TSG528	517.8619047483785
chr14	33686285	33827285	TSG512	531.1952380801891
chr14	40552188	40737095	TSG514	535.9452380795075
chr14	67325748	67519430	TSG517	680.2785714085086
chr14	68733244	68874244	TSG507	710.9452380722861
chr14	102516150	102807344	TSG527	768.8452380576612
chr15	32146625	32287625	TSG535	871.0166666224889
chr15	52696130	52949577	TSG542	658.99999998166
chr15	57317685	57482996	TSG538	659.1666666476917
chr15	67530161	67671161	TSG543	567.666666653483
chr15	71708431	71849431	TSG540	570.0833333196922
chr15	74833502	75254383	TSG537	628.0666666464965
chr16	3711090	3852090	TSG553	529.1317460101008
chr16	6680266	6821266	TSG550	674.6674602817488
chr16	23136424	23384754	TSG548	486.3626983923975
chr16	53831975	53995914	TSG564	558.4793650648921
chr16	55857788	56276684	TSG546	545.3293650669411
chr16	63197678	63608561	TSG561	555.6460317326256
chr16	72276359	72417359	TSG554	601.8126983964427
chr16	78634731	78775731	TSG545	772.8198412384149
chr16	83133387	83291025	TSG562	666.7507936293155
chr17	7530920	7671920	TSG573	1500.4794010734154
chr17	11730386	11871386	TSG585	1324.848845535977
chr17	37471479	37650319	TSG581	426.2813852673179
chr17	39062668	39336505	TSG575	422.8186868560081
chr17	42174226	42356271	TSG579	407.96392495209966
chr17	44197563	44338563	TSG577	407.8472582841725
chr17	51295672	51757207	TSG588	316.0305916226073
chr17	53710597	53938315	TSG586	307.3282106711439
chr17	56158353	56322616	TSG578	324.66987733566594
chr17	59036087	59309254	TSG589	304.3123376541848
chr17	63496941	63637941	TSG580	323.2250360645535
chr17	70583696	70728216	TSG587	377.19444442728445
chr18	3602147	3916997	TSG601	448.5043650670763
chr18	5027549	5635209	TSG606	455.7384920517045
chr18	7893552	8703888	TSG616	491.43968252371735
chr18	23930269	24484561	TSG599	440.1277777673222
chr18	26437997	26644441	TSG607	452.8277777674244
chr18	34006250	34147250	TSG602	488.39444443326505
chr18	36983514	37124514	TSG609	505.9777777663423
chr18	48531712	48672712	TSG598	641.4373015662081
chr18	66264362	66488455	TSG615	620.6837301420713
chr18	70054891	70361212	TSG610	656.8686507727302
chr19	6788796	7489771	TSG635	911.2404761397166
chr19	12232780	12663901	TSG625	671.9666666410845
chr19	18926283	19560327	TSG626	638.7499999729408
chr19	34188451	34356019	TSG622	482.6666666493113
chr19	37262142	37499554	TSG627	456.5833333202484
chr19	43003559	43237286	TSG633	497.699999988736
chr19	43304260	43722108	TSG632	510.9499999875354
chr19	47954255	48095255	TSG618	679.1428571110068
chr2	9491578	9632578	TSG103	416.9439975703266
chr2	43404965	43694593	TSG54	324.99293209687403
chr2	54664542	55148510	TSG81	249.15594131743407
chr2	63177042	63486985	TSG82	252.0795518563846
chr2	77875374	78063753	TSG70	281.4240748734248
chr2	111953472	112455424	TSG68	260.59416018026815
chr2	133714460	133855460	TSG64	223.58160819612715
chr2	136161150	136325603	TSG51	228.5229543499456
chr2	139037307	139226799	TSG98	204.6646210189145
chr2	141581037	141722037	TSG63	319.17060946753065
chr2	141848687	141989687	TSG45	464.9821479145086
chr2	148825180	148966180	TSG65	227.8795144557453
chr2	154883300	155024300	TSG101	199.66898054744263
chr2	159849474	160092322	TSG86	210.3145488664697
chr2	187080060	187221060	TSG55	247.6410029635525
chr2	195707481	195984012	TSG67	212.43113228260648
chr2	205801195	205942195	TSG61	236.72130877221545
chr2	213091140	213232140	TSG73	250.47821093982785
chr2	213731079	213872079	TSG52	254.9693874107286
chr2	214075981	214247094	TSG93	243.386054078588
chr2	233451612	233592612	TSG50	309.307068647843
chr2	233934598	234075598	TSG90	305.8475448388777
chr2	236734094	236875094	TSG84	340.2426471172644
chr20	14909089	15050089	TSG636	1587.0166665226795
chr20	38993503	39339432	TSG645	425.4166666459388
chr20	45216405	45977937	TSG646	351.41666665416204
chr20	47687624	47945499	TSG644	311.0833333238056
chr20	53391360	54008415	TSG643	310.3333333239151
chr20	54112167	54281681	TSG638	307.7333333240645
chr21	21231387	21514553	TSG654	826.4166666363428
chr21	24572734	25034439	TSG653	805.7499999734486
chr21	30516440	30710111	TSG652	792.2499999737246
chr21	36320643	36461643	TSG649	840.5833332996287
chr22	23000024	23206197	TSG659	698.483333312833
chr22	25772045	25913045	TSG658	711.9833333133591
chr22	29226605	29367605	TSG656	762.3166666435711
chr22	33931299	34249066	TSG660	776.9833333103444
chr22	40496961	40773666	TSG662	889.2333332971765
chr3	4336384	4512490	TSG136	421.1730461724368
chr3	9103873	9244873	TSG140	369.1597269387816
chr3	11551156	11692156	TSG145	374.7819602604396
chr3	30071662	30505571	TSG134	400.21708828420384
chr3	50299238	50604209	TSG113	514.0455349126725
chr3	60398378	60539378	TSG108	840.3207443924603
chr3	71253019	71394019	TSG117	448.4945539543903
chr3	72704582	72856748	TSG150	415.3690960819839
chr3	80826988	81522383	TSG125	418.1528928369989
chr3	114301008	114442008	TSG149	350.65332573708474
chr3	116533210	116674210	TSG109	511.2658076833641
chr3	160692238	161365708	TSG121	218.69560568497903
chr3	163281540	164034000	TSG135	196.2590616753932
chr3	168992140	169133140	TSG144	163.86921541176878
chr3	174328058	174469058	TSG128	193.9311812216685
chr3	174772559	174913559	TSG112	226.8542581419968
chr3	175225377	175366377	TSG126	187.4877787915028
chr3	177562122	177821794	TSG138	168.1746099355286
chr3	185169295	185717881	TSG129	207.37933951750315
chr3	188158453	188299453	TSG114	254.28791872689047
chr3	193635765	194174217	TSG124	276.42725336946063
chr4	9966599	10107599	TSG170	521.521933603291
chr4	19524102	19668165	TSG163	520.2219696811741
chr4	21164469	21336499	TSG175	523.081493490284
chr4	61044222	62245105	TSG164	427.5068903163832
chr4	77327609	77972276	TSG178	395.00450937031167
chr4	87333867	87474867	TSG180	447.4116522258221
chr4	91763960	91904960	TSG158	553.9949855487157
chr4	143261674	143402674	TSG187	425.7402236559928
chr4	151390765	151531765	TSG181	465.2949855579359
chr4	182139003	182280003	TSG157	676.2993506208169
chr4	185794191	186319627	TSG168	520.8295093678602
chr4	187544590	187685590	TSG182	550.0924963770483
chr5	5990034	6254907	TSG196	394.80711508136096
chr5	24881399	25189860	TSG223	256.9538683463524
chr5	25993777	26645883	TSG197	263.05322732020204
chr5	32039737	32389916	TSG204	249.30308301984385
chr5	38100050	39024872	TSG211	234.89088965813133
chr5	56184691	56378345	TSG210	408.12739759187775
chr5	58463060	58604060	TSG198	433.7051753685196
chr5	59227107	59368107	TSG194	456.32184203294304
chr5	65746822	66648982	TSG227	447.3313658436862
chr5	93273174	93432061	TSG224	408.6035880694161
chr5	100101690	100635472	TSG201	440.14287378061664
chr5	109702832	109886346	TSG212	433.17122875920126
chr5	130741950	131216583	TSG203	435.5776501139793
chr5	140542807	140683807	TSG222	411.63106891915896
chr5	165547801	165688801	TSG200	542.3796259018312
chr6	1890686	2031686	TSG237	448.98908135828526
chr6	9707505	10519083	TSG247	358.94763499242896
chr6	20737766	20878766	TSG259	328.532311429257
chr6	28440092	29124724	TSG242	339.8035309762712
chr6	38131283	38530422	TSG249	307.4994364615547
chr6	45065602	45501841	TSG253	284.79699446107526
chr6	49737924	50705313	TSG271	291.31286747536313
chr6	68401126	68805280	TSG244	424.307153733528
chr6	101351995	101508552	TSG257	484.7545563302374
chr6	119722853	119863853	TSG261	369.2040152165742
chr6	125646791	125885204	TSG267	327.91790410779066
chr6	144973577	145114577	TSG272	301.5918940081882
chr6	148057834	148198834	TSG263	295.2744336920484
chr6	149543326	149910297	TSG254	296.4704654379772
chr6	157272038	157413038	TSG250	315.7034269183381
chr6	162668635	162809635	TSG232	383.3182815035853
chr6	162907119	163069480	TSG265	324.8184799220296
chr6	163587466	163817015	TSG264	297.5660289432029
chr6	168369156	168510156	TSG252	317.8834930127124
chr6	169952832	170146602	TSG268	322.3080097961875
chr7	3867985	4008985	TSG292	290.231580952794
chr7	7847621	7988621	TSG311	242.779392722569
chr7	11657543	11935639	TSG307	235.328995897673
chr7	17141733	17306904	TSG306	238.84167096668588
chr7	33371382	33512382	TSG285	271.6770605728706
chr7	50720727	50870366	TSG315	307.23844640438693
chr7	69367365	69508365	TSG283	215.39891650033144
chr7	69953866	70094866	TSG277	228.0156747409313
chr7	78021042	78162042	TSG286	220.68338758321644
chr7	83779004	84358280	TSG294	204.1298522312099
chr7	91562017	91901107	TSG305	192.727074453755
chr7	101624046	101780175	TSG293	231.73042942916865
chr7	110369383	110510383	TSG276	305.8240441417867
chr7	118764411	119120252	TSG289	225.20032620168263
chr7	126857808	127122530	TSG278	247.18802461278932
chr7	133516226	133657226	TSG304	210.57723818042945
chr7	136141925	136791282	TSG314	213.72485722770253
chr7	146400838	146541838	TSG284	248.417492612622
chr7	152181326	152339506	TSG282	282.7112655039466
chr7	157566919	157829857	TSG301	286.5742688731147
chr8	3694578	3835578	TSG319	2077.3829363637096
chr8	35039432	35265764	TSG345	1488.0674602343324
chr8	63578120	63751893	TSG346	564.1246031446692
chr8	90321567	90462567	TSG321	491.1746031492101
chr8	112758831	113295048	TSG329	371.2246031585264
chr8	122983538	123306729	TSG344	315.9746031635707
chr8	129095068	129240007	TSG338	294.9746031647273
chr8	137631379	137949420	TSG347	331.57222220956817
chr8	141059360	141253872	TSG335	337.50436506551904
chr9	3976763	4117763	TSG373	527.174603160034
chr9	9412056	9553056	TSG349	633.2031745800003
chr9	11024010	11394006	TSG364	523.0912698295967
chr9	17234459	17375459	TSG361	537.2531745909604
chr9	21931645	22072645	TSG348	1441.6365078388949
chr9	26328307	26552214	TSG371	591.7365079223608
chr9	28268969	28409969	TSG362	540.0531745912025
chr9	30603029	30744029	TSG354	502.8674603068257
chr9	36963777	37339965	TSG379	490.12222220761294
chr9	132127034	132915170	TSG355	1048.8619046799784
chrX	7344135	7485135	TSG666	556.5841269628761
chrX	32817299	32958299	TSG667	503.9503968108072
chrX	41933504	42503781	TSG670	458.2027777673466
chrX	69549190	70057007	TSG672	407.9813491978237
chrX	89746218	90087948	TSG671	414.3146825308395
chrX	96350749	96491749	TSG675	403.5480158652962
chrX	107642144	107783144	TSG689	395.0646825324493
chrX	121426207	121770096	TSG684	387.2527777711291
chrX	128164136	128480873	TSG673	396.8670634844853
chrX	142921738	143784838	TSG674	402.2341269749761
