chrom	start	end	name	score
chr1	204393519	204512562	10	0.09196419245443022
chr11	46293298	46643939	18	0.0028091176458050213
chr11	13513869	14247668	19	0.01943735827643501
chr11	77540996	77660040	21	0.0035578235550637782
chr11	88179066	88819047	23	0.0003039166473081838
chr11	81822736	82785608	24	0.0035578235550637782
chr11	73901947	74555388	25	0.0035578235550637782
chr11	61916375	62341111	26	0.0011032831541430762
chr11	70165110	70284154	27	0.0035578235550637782
chr11	70971824	71178480	28	0.0035578235550637782
chr11	69434720	69553763	30	0.0035578235550637782
chr11	66919618	67140796	31	0.0035578235550637782
chr12	27312183	27724555	34	0.017313023632389995
chr12	58142641	58261684	35	0.0014659288113871966
chr12	60147861	60485820	36	0.0038567157736917827
chr12	56477038	56596081	39	0.001327178250239484
chr12	65893626	66407162	40	0.011632829315385283
chr12	95808951	96199625	41	0.005338567081892291
chr12	69490369	69636780	44	0.01988497909295554
chr16	29044352	29740329	63	0.03301894876672034
chr16	4202082	4345377	64	0.0415715201648129
chr17	67196640	67890043	69	0.0693939642449104
chr17	37814919	37933962	70	0.0115135271010871
chr17	50404258	50789048	72	0.005679070302658088
chr17	60648695	61741852	73	0.051939730391916905
chr17	46328894	46556435	74	0.016180424545132875
chr17	31063757	31344450	75	0.01726193626124039
chr17	48593060	48789511	76	0.0369724687746564
chr19	15320331	15478451	83	0.01538193632723267
chr19	10736375	10946734	84	0.026436759311877146
chr19	13336475	13584705	85	0.013380251988973453
chr19	9139027	9267988	86	0.005121523179181427
chr19	37789605	38291932	87	0.004087202306431608
chr19	33519365	33816790	88	0.0064873429979620525
chr19	39664941	39859916	89	0.006777948006497393
chr19	45197410	45316453	90	0.0057277724234158205
chr19	35468671	35852015	92	0.003013905428049489
chr2	116118599	116503797	98	0.015984373756517116
chr2	103076527	103501295	101	0.016875943228472936
chr2	140652913	141053948	103	0.01229031885016886
chr3	148787016	149621348	112	0.037898043816865686
chr3	107631968	107751012	113	0.004317905894206514
chr3	100992050	102444535	115	0.0025043495449826618
chr6	43759391	43878435	131	0.020687123771907408
chr6	19696050	20334112	132	0.010272433514522651
chr6	52865648	53568818	133	0.00630823429927712
chr6	6735404	7149435	134	0.0169702956932239
chr6	30575191	30767427	135	0.004012239224403034
chr6	46842097	47120916	136	0.04754479133687246
chr6	41795451	42143170	138	0.00630823429927712
chr6	18454897	18629310	140	0.0016318227849868498
chr6	31574113	31812353	141	0.0043313035558325596
chr6	21224485	21809939	142	0.002700484205436327
chr8	128745510	128864553	152	0.041330929375574754
chr8	113390563	114733784	153	0.023102739379042777
chr8	128331565	128450608	154	0.007626568821170026
chr8	68482580	70228198	155	0.07058408223198588
chr8	129537965	129657008	156	0.03679168653053452
chr8	107039717	107542826	157	0.013407775673877001
chr9	27851453	28025192	160	0.004499246603451844
chr9	13905864	14163508	161	0.0005549088340321605
chr9	30245128	30517232	162	0.004396878185633896
chr9	8556540	9321421	165	0.0034496134131676583
chr9	3690545	3997914	167	0.002354519497876376
chr9	12739602	13013795	168	0.004801854143412368
chr9	14759759	15327140	169	0.0038958485691057165
chr9	6395784	7050834	170	0.0012773634199157345
