BRAF	0,973805795	chr7	140434279	140624564
KRAS	0,972689886	chr12	25357723	25403865
PIK3CA	0,981109041	chr3	178866311	178957881
IDH1	0,953834548	chr2	209100951	209119857
CTNNB1	0,903233551	chr3	41236401	41280844
AKT1	0,955063165	chr14	105235686	105262088
NRAS	0,940561011	chr1	115247090	115259515
RAC1	0,950890959	chr7	6414154	6443608
EGFR	0,960101702	chr7	55086794	55279321
NFE2L2	0,844592777	chr2	178095036	178257425
EZH2	0,905546272	chr7	148504475	148581375
U2AF1	0,901729583	chr21	44513066	44527697
SF3B1	0,926042548	chr2	198254508	198299815
MAPK1	0,841471874	chr22	22108789	22221919
FGFR2	0,877851941	chr10	123237848	123357972
ERBB2	0,920716627	chr17	37844167	37884614
MYD88	0,862324794	chr3	38179969	38184513
MB21D2	0,935741456	chr3	192514604	192635950
HRAS	0,861059595	chr11	533795	537287
ERBB3	0,826120433	chr12	56473645	56497289
GNAS	0,912438951	chr20	57414773	57486247
MYC	0,921818959	chr8	128748315	128753680
PRKCI	0,844854484	chr3	169940153	170023769
RIT1	0,874623889	chr1	155867599	155881195
SEPT14	0,838866044	chr7	55861237	55930482
PSPH	0,877170326	chr7	56078760	56119297
WNT11	0,849306666	chr11	75897369	75917576
SRC	0,878541432	chr20	35974557	36034453
KCNMB2	0,857363419	chr3	177990720	178546150
RSPO2	0,877110678	chr8	108911545	109095876
AR	0,810912522	chrX	66763874	66950460
TRA2B	0,825760932	chr3	185633694	185655924
LELP1	0,857294553	chr1	153175919	153177596
KCNS2	0,841766094	chr8	99439250	99445076
PSMC4	0,816514685	chr19	40476912	40487348
DENND3	0,823550893	chr8	142138720	142205895
THRA	0,817912811	chr17	38218446	38249866
COL14A1	0,862262933	chr8	121137347	121384275
OSTN	0,826340451	chr3	190917030	190983404
FZD6	0,91069212	chr8	104310661	104345045
HPS3	0,828538214	chr3	148847371	148891519
ZNF302	0,827223153	chr19	35168544	35177299
BAI1	0,810924133	chr8	143530791	143626370
WIPI1	0,827033712	chr17	66417450	66453640
NAALADL2	0,819415633	chr3	174577070	175528340
KPNA4	0,86491696	chr3	160212783	160283376
RTP1	0,830165436	chr3	186915274	186919253
CPA6	0,844723362	chr8	68334360	68658578
KCNV1	0,85273763	chr8	110975874	110988076
DHCR7	0,81082778	chr11	71145460	71159481
ASAP1	0,851276371	chr8	131064353	131455906
NMD3	0,860471756	chr3	160822610	160952624
OXR1	0,884089388	chr8	107371704	107764910
CAPN5	0,815098773	chr11	76777988	76837201
ANO1	0,812075856	chr11	69924408	70035634
IDH2	0,791538729	chr15	90626277	90645736
PGM5	0,871560562	chr9	70971815	71145977
PPP6C	0,900522229	chr9	127908853	127952218
PPP2R1A	0,887270917	chr19	52693292	52732786
AQP2	0,865033795	chr12	50344529	50352664
MTOR	0,734094522	chr1	11166592	11322564
KRT15	0,879290447	chr17	39669995	39678665
MEF2BNB-MEF2B	0,836987822	chr19	19256376	19302967
CHD4	0,821263457	chr12	6679249	6716590
MAP2K1	0,728249304	chr15	66679155	66784650
TRIM48	0,840444329	chr11	55029658	55038595
SPOP	0,843210487	chr17	47676248	47755525
KRTAP4-11	0,887717612	chr17	39273433	39274612
FLT3	0,565634298	chr13	28577411	28674729
MAX	0,865577417	chr14	65472892	65569105
MYCN	0,652519495	chr2	16080686	16087129
MEF2B	0,813636769	chr19	19256402	19281098
CARM1	0,840998917	chr19	10982189	11033746
RHOA	0,792084603	chr3	49396578	49449635
PTPN11	0,623185133	chr12	112856718	112947717
ZNF799	0,817634819	chr19	12500830	12512085
TOR1A	0,817610234	chr9	132575223	132586413
HIST1H2BF	0,875200565	chr6	26199748	26200942
INTS7	0,858253932	chr1	212113743	212208884
METTL14	0,497050372	chr4	119606523	119636588
JAKMIP2	0,568426404	chr5	146965002	147162411
SOX17	0,891072471	chr8	55370495	55373448
LSM11	0,717965682	chr5	157170703	157187717
CSMD3	0,773112577	chr8	113235157	114449328
ZNF844	0,857267244	chr19	12175514	12192380
MYOT	0,45634409	chr5	137203480	137223540
PRRX1	0,814568883	chr1	170633047	170708560
CPB1	0,73323918	chr3	148508889	148577974
ZNF181	0,833390663	chr19	35225854	35236283
RBM39	0,808923466	chr20	34291532	34330234
GNG4	0,873807613	chr1	235710987	235814054
NSFL1C	0,847117396	chr20	1422807	1448337
CRISPLD1	0,840412258	chr8	75896750	75946793
SIAH2	0,775333478	chr3	150458914	150481164
LIN9	0,885194029	chr1	226418858	226497570
