chrom	start	end	name	score
chr1	10748421	10867465	4	0.0036602550412068576
chr1	15638405	15757448	6	0.0016104849388250255
chr1	23477796	23596842	8	0.0007431233974968117
chr1	31437477	31563766	11	0.0006600294881360104
chr1	32771222	32890265	12	0.002210505480185135
chr1	36119493	36238536	13	0.0020673524433964326
chr1	39941815	40060859	14	0.01197015213924629
chr1	40977204	41096247	15	0.01140488357778738
chr1	43406380	43525423	16	0.004334225893754268
chr1	46306501	46425544	17	0.001403464525555922
chr1	54338686	54457729	20	0.0006061224127217095
chr1	62101686	62220730	21	0.0019408452872843305
chr1	107492598	107611641	24	0.003596544571538057
chr1	109337856	109456900	25	0.0008034772358357126
chr1	151282142	151401185	28	0.011753446931872986
chr1	153746271	153865314	29	0.002232748735915135
chr1	155258846	155383080	31	0.001633615416738226
chr1	156085499	156204543	32	0.0013627341513744215
chr1	160085162	160204205	33	0.005509113444950587
chr1	169153675	169272718	36	0.0006085213761150096
chr1	172187888	172306931	37	0.0027809111586555436
chr1	202869279	202988322	41	0.00126146822746052
chr1	204397458	204516501	42	0.006885692227165508
chr1	225636499	225755542	43	0.00043789870742230686
chr1	234656732	234775775	44	0.0024397337437783388
chr1	244365314	244484357	46	0.0019372372583487305
chr10	5086277	5205550	326	0.0039047908407748616
chr10	8952172	9071215	327	0.003308603520973852
chr10	11800361	11919404	328	0.0033501505178882528
chr10	59933360	60052403	337	0.0013416679848612212
chr10	63832520	63951563	339	0.0038154649933325605
chr10	72228549	72347593	341	0.0023590726803740373
chr10	74945633	75064677	343	0.008370384948674932
chr10	75355334	75474377	344	0.004899192214956177
chr10	77574522	77693566	347	0.002751924631930243
chr10	79044249	79163293	348	0.004559475482636772
chr10	81713553	81832597	349	0.0044527037448006705
chr10	121317551	121436594	353	0.0017370319201698273
chr10	124710599	124829642	354	0.0023222355595971366
chr11	13770824	13889867	355	0.0007819069025885124
chr11	32110348	32229391	356	0.0017605790398852277
chr11	34694724	34813767	357	0.002678572245828742
chr11	45786456	45905499	359	0.001972985096439231
chr11	61165006	61284050	361	0.0004278482982186067
chr11	62433006	62552050	362	0.0014520369095807229
chr11	64133006	64252050	364	0.0003681464184950058
chr11	65654705	65773748	366	0.0006233198368095098
chr11	66685511	66804554	367	0.0024269539065342382
chr11	67368137	67487180	368	0.0017583488923840279
chr11	69155543	69274587	370	0.0048821968543542775
chr11	69597710	69716754	371	0.017986531925756683
chr11	70433449	70552493	372	0.00827135711430503
chr11	71369432	71488476	374	0.002778186577958444
chr11	73027923	73146967	376	0.0009916625046683155
chr11	74369433	74488477	377	0.0018700863253550296
chr11	78034996	78154039	379	0.009121523508586244
chr11	79467049	79586093	381	0.003966688060118962
chr11	82523314	82642357	384	0.0005570629010096088
chr11	89114424	89233467	387	0.0023075828828984365
chr11	101410918	101529962	388	0.0042160044767232665
chr11	102555660	102674704	389	0.0010882580387424172
chr11	118537763	118656812	390	0.0004056598256372064
chr12	520262	639306	392	0.004072371979992464
chr12	3831312	3950356	394	0.002964022787779747
chr12	6483312	6602356	395	0.0024035051777440376
chr12	11921039	12040082	396	0.0016406269216625259
chr12	21225138	21344181	399	0.014636013719635231
chr12	25027192	25146235	401	0.010005658161269958
chr12	26084300	26203344	403	0.012253421281872892
chr12	46333708	46452751	406	0.001591235204964425
chr12	50656942	50775985	408	0.000126483700362802
chr12	52224763	52343806	409	0.0002756255777858043
chr12	56147263	56266306	410	0.000383061768104506
chr12	57738695	57857739	411	0.0011266843820886179
chr12	59718195	59837239	413	0.001338619163771921
chr12	67245191	67364234	415	0.00043278684484570685
chr12	68692485	68811529	417	0.005799855449475891
chr12	69219090	69338133	418	0.002734593890043643
chr12	73786246	73905289	419	0.0005565770410781087
chr12	124627932	124746976	420	0.00029570474556030467
chr13	24296253	24416042	421	0.004041046099617863
chr13	27753572	27872615	422	0.006840824258374308
chr13	30365547	30484590	423	0.009846568086329355
chr13	73253179	73372222	428	0.004961163366477078
chr13	91108224	91227268	430	0.0015737271899278248
chr13	95272224	95391268	433	0.0006541014851156103
chr13	113340191	113459234	435	0.0015471284420424242
chr14	23422849	23541892	436	0.0016291460205886256
chr14	26642105	26761148	437	0.0031361425910578495
chr14	31239709	31358752	438	0.002966673869209647
chr14	34447942	34566986	440	0.002674258099823542
chr14	36647359	36766402	441	0.0032863002822625517
