chrom	start	end	name	score
chr1	10764922	10928763	21	0.0010713223818486727
chr1	24276907	24694469	26	0.00043366146945550735
chr1	31332508	31737211	18	0.0010703137840250533
chr1	39969170	40305019	0	0.011087740212266845
chr1	46241479	46501948	25	0.00307920660736044
chr1	61106840	62361545	23	0.0003731692379446749
chr1	106327320	107689022	14	0.0007392310203546677
chr1	150599202	150769139	16	0.016359186453990676
chr1	151577276	151824681	1	0.0036626020375537015
chr1	153567828	153761700	28	0.001441459319455691
chr1	154866700	155184646	20	0.0029381920155059204
chr1	155767082	156064210	9	0.00428068453501898
chr1	160944223	161118797	8	0.006010024981109439
chr1	171763783	172395327	19	0.006786581706512386
chr1	201969765	202088809	22	0.003812408414050987
chr1	204424391	204543434	4	0.00813298643202319
chr1	234768090	234887134	10	0.003413943232055154
chr10	4977348	5233692	240	0.015649240824786453
chr10	8812766	9282706	249	0.011742359624146008
chr10	11633710	12122522	255	0.0056557219816495965
chr10	31873372	32524107	247	0.013300720653283941
chr10	53200357	54407754	248	0.0003911667695846203
chr10	59942726	60061769	250	0.0002045292463611524
chr10	61321198	62034364	242	0.0007641282706089548
chr10	63604255	63953573	256	0.00023064072808044075
chr10	74894765	75176209	245	0.0013494646152771314
chr10	75300349	75448565	258	0.00022872389410252068
chr10	77864432	78188035	257	0.0015572678301915297
chr10	81308268	82447504	252	0.0006500312555918153
chr10	124456338	124978026	254	0.0006971775013629758
chr11	62148903	62573639	272	0.0011476815003068238
chr11	65460963	65580006	275	0.0011437873161491109
chr11	67152147	67373325	286	0.003229342058119428
chr11	69619952	69738995	285	0.0059799564466866606
chr11	70319004	70438048	276	0.005798746444863404
chr11	71260778	71467434	282	0.0022931335152980284
chr11	73143017	73470545	288	0.0036263208175794847
chr11	74190902	74844343	270	0.004100229161500945
chr11	77829950	77948994	259	0.016182039846153556
chr11	82111694	83074566	268	0.006814085371480449
chr11	88445898	89085879	267	0.00352750317001244
chr11	91450563	91845351	277	0.002036456690359506
chr11	100200601	100585952	262	0.0027561262132654533
chr11	102447525	102575127	271	0.003808701106918851
chr12	641689	875437	315	0.005276534857209314
chr12	3896569	4521478	295	0.007101389657944161
chr12	6385923	6620669	312	0.0014104775425647972
chr12	19624312	20151125	293	0.02238307687473396
chr12	24935138	25138824	291	0.022400102743369104
chr12	26155824	26274868	311	0.009144844047667496
chr12	27159250	27571622	300	0.011520945494598398
chr13	27151986	28009560	323	0.00041863101956408645
chr13	30203840	30696212	319	0.0005467379647446818
chr13	53968152	55186265	325	0.00011320239601462632
chr13	71050096	71897528	326	0.00018867899852759555
chr13	73286205	73405248	320	0.0002398498842114011
chr13	106006870	107280937	322	0.0005418762396996889
chr15	25337247	25692020	350	0.000994937469666588
chr15	51849333	52543565	347	0.0023520590429657504
chr15	53171399	53468198	354	0.00022263967752436567
chr15	63264299	63734559	351	0.00047632613572663133
chr15	71528646	71647690	348	0.00226422790944731
chr15	72303492	72637942	353	0.0015507639628242757
chr15	86862062	86998071	345	0.0010935378385366168
chr15	90117058	90328261	349	0.00140570613764581
chr15	92712490	92831533	346	0.0013732708621210321
chr16	1945841	2333827	368	0.0013400158971926996
chr16	4152081	4295376	373	0.001553332419330483
chr16	11637627	11775844	359	0.005567233911474525
chr16	18828123	19591425	369	0.004400277062089212
chr16	29033031	29729008	362	0.001701016397179309
chr17	32736739	33017432	384	0.0018905278911659784
chr17	37680110	37860694	388	0.00039706973943938147
chr17	39658666	39777709	375	0.006898812842494821
chr17	48251532	48479073	383	0.003420989800439553
chr17	50515699	50712150	386	0.002588530393310599
chr17	52326898	52711688	377	0.002261442567871837
chr17	62571334	63664492	382	0.0033886385553596942
chr17	69200499	69893902	374	0.0030373582140964784
chr17	75471682	75590726	381	0.00405947954839349
chr17	79760434	80083049	390	0.0025566381897598805
chr18	3374769	3499944	396	0.008285569587584007
chr18	9476697	10938629	406	0.004577253339924533
chr19	9028351	9157312	418	0.000158861775326032
chr19	10625699	10836058	409	0.0004115456614298305
chr19	13225661	13473891	416	0.0002968340160513659
chr19	15209520	15367640	407	0.000815256005386907
chr19	33028459	33325884	410	0.011741482457949608
chr19	34977767	35361113	417	0.0069158588337946345
chr19	37298703	37801292	408	0.015061907694503213
chr19	39174301	39369276	411	0.015803687555241447
chr19	44694140	44813196	412	0.0022647911176615276
chr2	4892318	5108590	51	0.0021328942195133036
chr2	28537956	28657000	44	0.004398274441510363
chr2	42906359	43137250	48	0.0012213915419175716
chr2	56492365	57045716	55	0.004354213574565073
chr2	61053389	61713250	31	0.007331625898198306
chr2	66831659	67020022	50	0.00280130781273826
chr2	84934804	85393222	39	0.002445805553929816
chr2	102460067	102884836	38	0.0007912923037157374
chr2	113265416	113384460	35	0.0009685242811269677
chr2	115361023	115746221	32	0.0010416259823900285
chr2	117069373	117563143	60	0.00027965998671272707
