chrom	start	end	name	score
chr1	10764922	10928763	21	0.0021129908720634205
chr1	31332508	31737211	18	0.0003486148374268033
chr1	39969170	40305019	0	0.0051057606879373486
chr1	61106840	62361545	23	0.0010026791684226094
chr1	150599202	150769139	16	0.005468245903237352
chr1	151577276	151824681	1	0.0009578890519164091
chr1	153567828	153761700	28	0.00038310263781080365
chr1	154866700	155184646	20	0.0019205710606428185
chr1	155767082	156064210	9	0.0059230611606214565
chr1	160944223	161118797	8	0.0006021178276019057
chr1	171763783	172395327	19	0.0007228420470007069
chr1	201969765	202088809	22	0.0013341910606413127
chr1	204424391	204543434	4	0.03518199570242303
chr11	65460963	65580006	275	0.0011915249942345114
chr11	69619952	69738995	285	0.0013354107445871129
chr11	70319004	70438048	276	0.001148236406105411
chr11	71260778	71467434	282	0.0002668771742157026
chr11	73143017	73470545	288	0.0011941142033857115
chr11	74190902	74844343	270	0.0007014873676509068
chr11	77829950	77948994	259	0.0024549523322115233
chr11	82111694	83074566	268	0.0014495278666572138
chr11	88445898	89085879	267	0.0038104345591733362
chr11	100200601	100585952	262	0.005859074928368056
chr11	102447525	102575127	271	0.0004912529553651047
chr12	3896569	4521478	295	0.009599106474600492
chr12	6385923	6620669	312	9.069107127138624e-05
chr12	19624312	20151125	293	0.003441423931305533
chr12	24935138	25138824	291	0.0035670237772624344
chr12	26155824	26274868	311	0.002328371971735022
chr12	27159250	27571622	300	0.0037062954129439356
chr12	45877707	46842542	296	0.0014931322752306142
chr12	47703098	47822141	304	0.0007607154721804072
chr12	52100987	52220031	307	0.0035779153002893343
chr12	56083254	56202297	303	0.0010685409698350102
chr12	57748858	57867901	292	0.019600533461730487
chr12	59754080	60092039	298	0.007411443453592471
chr12	65499846	66013382	306	0.0022915390031167217
chr12	67247909	67493288	314	0.00416375106641004
chr12	69096589	69243000	317	0.006813964250125565
chr12	95415175	95805847	309	0.000314152653959303
chr15	51849333	52543565	347	0.001359201281838813
chr15	71528646	71647690	348	0.0008158473808044078
chr15	72303492	72637942	353	0.0021479711756425203
chr16	1945841	2333827	368	1.1396595268055065e-05
chr16	4152081	4295376	373	0.002295936838606822
chr16	11637627	11775844	359	0.0022482934747876213
chr16	18828123	19591425	369	0.0010959044690999104
chr16	29033031	29729008	362	2.291525977475228e-05
chr17	32736739	33017432	384	0.0051857533733242495
chr17	39658666	39777709	375	0.0003739871113742036
chr17	48251532	48479073	383	0.00024525794440390233
chr17	50515699	50712150	386	0.003028371480164029
chr17	52326898	52711688	377	0.00025683176103280243
chr17	62571334	63664492	382	0.0045691580600345436
chr17	69200499	69893902	374	0.0025863567911792247
chr17	75471682	75590726	381	0.005545960904308053
chr18	26369786	26562008	402	0.0015396507361458147
chr18	28630753	28946257	395	0.0009051679030661087
chr18	31301791	31687818	401	0.0011490505285639112
chr18	34223869	35294783	405	0.0017222793705915164
chr18	43502244	44343852	398	0.000946935492328709
chr18	48627598	49089456	404	0.000522789809300305
chr19	9028351	9157312	418	0.014791114484771741
chr19	10625699	10836058	409	0.03308236431098342
chr19	13225661	13473891	416	0.009639023447019291
chr19	15209520	15367640	407	0.035118155893394835
chr19	33028459	33325884	410	0.0022048281682541214
chr19	34977767	35361113	417	0.0025662031884895243
chr19	37298703	37801292	408	0.007460474959309271
chr19	39174301	39369276	411	0.0078008983370283745
chr19	44694140	44813196	412	0.0008865367525574085
chr2	4892318	5108590	51	0.00026927600089410254
chr2	28537956	28657000	44	0.0016552969203782158
chr2	42906359	43137250	48	0.0019313004336473185
chr2	61053389	61713250	31	0.0013013041897904124
chr2	84934804	85393222	39	0.006029348443922257
chr2	122445691	123519575	42	0.0013986374358128135
chr2	203393734	204010198	57	0.0014111604597878134
chr20	10885934	11882474	426	0.0417900710450826
chr20	35471464	35590410	424	0.011884920001208913
chr20	44088199	45079172	427	0.006082560494103558
chr20	47329761	47448804	428	0.0034922622647190335
chr20	50037825	50270003	425	0.002487158020482324
chr20	56959958	58005174	430	0.003767835052597136
chr20	60270269	61275884	432	0.004502074570372743
chr21	26191662	27839270	438	0.005655163933937654
chr21	33368742	33487784	435	5.642004691001051e-06
chr3	9194927	9405810	76	0.0008644810056507083
chr3	13618766	13737811	71	0.00043591846192670417
chr3	81497510	83212700	80	0.0012641295692402122
chr3	101273206	102725691	84	0.00028047448499480263
chr3	107913121	108032165	78	0.0004835836252811046
chr3	115430929	116254291	88	0.0004573833692992044
chr3	149069229	149903561	73	0.0014297536455346136
chr3	166302619	166885981	72	0.0006353336446618061
chr3	168966038	169085081	64	0.0006353336446618061
chr3	169830658	169949702	74	0.00046407065476380445
chr3	172462495	172581538	61	0.0018388289094432176
