chrom	start	end	name	score
chr1	10808478	10927522	4	0.0010203270477828455
chr1	15964900	16083943	6	0.00041619725394382846
chr1	23804289	23923332	8	0.00036308393706450097
chr1	31910324	32029367	11	0.0001261434273247466
chr1	33236823	33355866	12	0.0006750442484766751
chr1	36585094	36704137	13	0.0010226370240009955
chr1	40407487	40526531	14	0.004724184246440937
chr1	41442876	41561919	15	0.004626204267260723
chr1	43872051	43991094	16	0.0015126731617615503
chr1	46772173	46891216	17	0.0003533767352138387
chr1	54804359	54923402	20	0.00024548977117192286
chr1	62567358	62686402	21	0.00044505839558439474
chr1	108035220	108154263	24	0.0006270187060695654
chr1	109880478	109999522	25	0.00022876440190339065
chr1	151254618	151373661	28	0.021726796408116734
chr1	153718747	153837790	29	0.0018025345405852757
chr1	155228637	155352871	31	0.0024735416418281936
chr1	156055290	156174334	32	0.002587295306789872
chr1	160054952	160173995	33	0.005788579316393336
chr1	169122913	169241956	36	0.0005652510795560223
chr1	172157028	172276071	37	0.004537883748680493
chr1	202838407	202957450	41	0.0025641835329513712
chr1	204366586	204485629	42	0.009434634728196502
chr1	225824201	225943244	43	0.0008151818981560436
chr1	234792478	234911522	44	0.003972907121373472
chr1	244528616	244647659	46	0.00281388769335954
chr10	5128469	5247513	326	0.01750045977498878
chr10	8994135	9113178	327	0.008371465812007815
chr10	11842360	11961403	328	0.014683406950661396
chr10	61693118	61812161	337	4.050502249353453e-06
chr10	65592280	65711323	339	1.2936477098937974e-05
chr10	73988307	74107351	341	6.457687047950317e-06
chr10	76705391	76824435	343	2.5365026811786967e-05
chr10	77115092	77234135	344	1.5944715885439418e-05
chr10	79334280	79453324	347	1.0078096890091943e-05
chr10	80804006	80923050	348	1.6629268045879048e-05
chr10	83473309	83592353	349	1.1021766724565736e-05
chr10	123077065	123196108	353	2.9749645879457693e-06
chr10	126399168	126518211	354	5.306151267984265e-06
chr11	60932478	61051522	361	0.00023309708649236317
chr11	62200478	62319522	362	0.0006698569055382955
chr11	63900478	64019522	364	0.00039140694180839127
chr11	65422176	65541219	366	0.0009706268941110579
chr11	66452982	66572025	367	0.0010186102566136239
chr11	67135608	67254651	368	0.0007782448939837541
chr11	68923011	69042054	370	0.002543052316678893
chr11	69412478	69531522	371	0.006066561180456502
chr11	70279555	70398598	372	0.0030320894935608415
chr11	71080478	71199522	374	0.0030562178097702356
chr11	72738968	72858012	376	0.0009217920480676397
chr11	74080478	74199522	377	0.0020979949764219703
chr11	77746042	77865085	379	0.016744810571562213
chr11	79178093	79297137	381	0.007280719397845744
chr11	82234356	82353399	384	0.0005850165672875433
chr11	88847592	88966635	387	0.0038734376657301394
chr11	101281649	101400693	388	0.002923045147415747
chr11	102426391	102545435	389	0.0013042326976104239
chr11	118408478	118527522	390	0.0004724455425029058
chr12	629428	748472	392	0.005472819472485999
chr12	3940478	4059522	394	0.004353802228652794
chr12	6592478	6711522	395	0.0034306184818682175
chr12	12073973	12193016	396	0.0027292196687817624
chr12	21378072	21497115	399	0.020389238870957168
chr12	25180126	25299169	401	0.01801452519041847
chr12	26237233	26356277	403	0.024603890609894746
chr13	24870391	24990180	421	0.0017406985088144736
chr13	28327709	28446752	422	0.000811071114928211
chr13	30939684	31058727	423	0.0014136472787944273
chr13	73827316	73946359	428	0.0007432162654336661
chr13	91760478	91879522	430	0.000497788124100086
chr13	95924478	96043522	433	0.0002756912643455501
chr13	113994506	114113549	435	0.0003873364927385175
chr15	25847068	25966111	458	0.0008733353847848404
chr15	52452762	52571805	462	0.0019467382605041993
chr15	63712885	63831928	465	0.0004298939918096259
chr15	71700478	71819522	467	0.001172757678041082
chr15	72672389	72791432	469	0.002631654437410347
chr15	87318721	87437765	471	0.0011452997797952475
chr15	90772871	90891914	472	0.0008462079869733606
chr15	93236064	93355107	473	0.0016308231314842794
chr16	2589703	2708746	474	0.0006319739936045283
chr16	4366364	4485407	476	0.001523330386213854
chr16	5138585	5257628	477	0.0014798623206773282
chr16	7316478	7435522	479	0.0010969524945887358
chr16	11596799	11715842	480	0.0031620117381302845
chr16	19174126	19293169	482	0.002940166838088775
chr16	24536478	24655522	484	0.004623777657908981
chr16	28638275	28757318	485	0.005306043580008617
chr17	31726497	31845541	500	0.0010362260328989304
chr17	32802349	32921393	501	0.0005159290498680978
chr17	36129241	36248284	502	0.0010337749249900094
chr17	37771254	37890297	503	0.004446703042685347
chr17	46453539	46572582	509	0.002025510066568716
chr17	48728478	48847522	510	0.0013304203681767253
chr17	50549192	50668235	511	0.0027904056434345935
chr17	58651438	58770481	515	0.004650851510070442
chr17	65725464	65844508	518	0.003965847511198711
chr17	73456478	73575522	520	0.002504984270060689
chr17	77823894	77942937	521	0.0018222471288747526
chr17	79509385	79628428	522	0.002981398198566457
chr18	3290525	3409568	524	0.008323979701666751
chr18	7387795	7506838	527	0.0039650522911405285
chr18	9959461	10078504	530	0.002064912589994968
chr19	9128173	9247216	540	0.0002808804703061418
chr19	10741160	10860203	541	0.001461826160663728
chr19	13904954	14023997	542	0.002641361611349175
chr19	15312275	15431318	543	0.0013873495119557555
chr19	18930539	19049582	544	0.0005100150238962506
chr19	33779361	33898405	546	0.013740423725307222
chr19	36101861	36220904	548	0.006786276743778586
chr19	39491845	39610888	550	0.013870516273513801
chr19	40056478	40175522	551	0.004842340805164142
chr19	45251137	45370180	553	0.00012930361053679356
chr2	5197977	5317020	50	0.0021302748146975817
chr2	20281065	20400108	53	0.0005637088590981095
chr2	22333919	22452962	54	0.0006551384137751885
chr2	28575369	28694413	55	0.0021759710557883783
chr2	28849068	28968111	56	0.00278224228145684
chr2	42372021	42491064	57	0.0012721716750330049
chr2	47280478	47399522	61	0.0005762938262166412
chr2	56892512	57011556	63	0.0032813155485318614
chr2	61115275	61234318	64	0.007381579546759677
chr2	64784478	64903522	66	0.0017326051680522925
chr2	67119708	67238751	67	0.000994125013926703
chr2	85515482	85634525	71	0.0025131175742269876
chr2	102774815	102893858	72	0.0012294340738680002
chr2	103984478	104103522	73	0.0005236859700338706
chr2	113851214	113970258	75	0.0007718311048413295
chr2	114275472	114394516	76	0.0016110555185184392
chr2	116511375	116630418	77	0.0020840646222874343
chr2	125036478	125155522	78	0.000796951771427327
chr2	134546008	134665051	80	0.00032249997633283404
chr2	136899071	137018114	82	0.0002132794777450591
chr2	140864456	140983499	84	0.0006890426104736742
chr2	153015564	153134607	88	0.00010263611711302392
chr2	159616478	159735522	90	0.0011312222886012706
chr2	160765312	160884356	92	0.0015606008834878286
chr2	177942392	178061435	93	0.0054562215515559665
chr2	191631704	191750747	96	0.0041158488379117635
chr2	197230573	197349617	98	0.002216202122959306
chr2	201423358	201542402	99	0.00039862453447776254
chr2	205236567	205355611	100	1.681385575976319e-05
chr2	213800478	213919522	104	0.00027379360881770376
chr2	219188458	219307501	106	0.00034639357673421113
chr20	15811003	15930047	556	0.0009156390353787231
chr20	34030582	34149626	557	0.007544389318508854
chr20	43886206	44005250	559	0.0071007161204745435
chr20	45808478	45927522	560	0.0039320477906660215
chr20	48761663	48880706	561	0.0031057127772360026
chr20	50413969	50533012	562	0.00017503573300134976
chr20	52433890	52552933	563	0.008987839068994176
chr20	60904478	61023522	565	0.007029971005659741
chr21	34767631	34886674	568	0.0026843948671298923
chr3	101778826	101897869	129	0.001809587953074549
chr3	107548478	107667522	130	0.004203935492279115
chr3	110534686	110653730	131	0.005996613834975771
chr3	113915925	114034968	132	0.0030663342036726655
chr3	115282894	115401938	134	0.0033915494676913056
chr3	124661142	124780186	138	0.0006128260023810166
chr3	138478641	138597684	140	0.0024463387486815423
chr3	149008478	149127522	141	0.006462874914196836
chr3	166601905	166720949	144	0.013963924785032413
chr3	168744245	168863289	145	0.01107612816415744
chr3	168991244	169110287	146	0.013980217312842783
chr3	169936430	170055473	148	0.01306475316612586
chr3	172154974	172274017	149	0.011222851355987959
chr3	175554070	175673113	152	0.004679836631660382
chr3	177237224	177356267	153	0.012186094283524905
chr3	181376611	181495655	154	0.002818663313364862
chr3	182411928	182530971	155	0.0052644421712013355
chr3	189621987	189741030	157	0.0019275226673690308
chr3	193536717	193655760	158	0.0009866223713219304
chr4	1656923	1775967	159	0.004159762479072929
chr4	10259463	10378506	162	0.002702384283436792
chr4	13959116	14078160	163	0.0008338766030979574
chr4	16118340	16237383	164	0.00029637975529938075
chr4	18744478	18863522	165	0.0011428280793529888
chr4	25521841	25640884	168	0.0007053772003911059
chr4	38250626	38369669	170	0.0006935871595642829
chr4	40328478	40447522	171	5.464080247156349e-05
chr4	41264339	41383383	172	0.0016714493292586488
chr5	1163786	1282829	192	0.0033781367112303774
chr5	8067480	8186523	195	0.002617628297469118
chr5	10132478	10251522	196	0.006359366183645749
chr5	13216678	13335721	197	0.0026744859660987326
chr5	14235642	14354686	198	0.009758732239985952
chr5	16483639	16602682	199	0.0069759697625269195
chr5	22211926	22330970	200	0.014178836468308741
chr5	27328478	27447522	202	0.004226370828742182
chr5	28484787	28603830	203	0.008588562527675115
chr5	32356631	32475674	206	0.0064698143730370925
chr5	36339142	36458185	207	0.01020954503723084
chr5	36613351	36732394	208	0.006891917553885454
chr5	38665941	38784985	209	0.0030080971141487785
chr6	6724646	6843689	227	0.007257677521221862
chr6	11343965	11463008	228	0.005492108109278311
chr6	13439961	13559004	229	0.002655327031901996
chr6	18431157	18550200	230	0.011452935595366557
chr6	19377489	19496533	231	0.004513009525857913
chr6	21786522	21905565	233	0.003330380284355088
chr6	31511532	31630575	235	0.0023352436628145236
chr6	37183318	37302361	236	0.0077237545438423255
chr6	41878147	41997190	238	0.0039312494411842935
chr6	43821808	43940851	239	0.004233391361480825
chr6	46932478	47051522	240	0.008042956618619455
chr6	52303755	52422798	241	0.006389823994380342
chr7	69204478	69323522	260	0.006826606061280015
chr7	92008478	92127522	265	0.009981631115309815
chr7	99583592	99702635	266	0.009055315135890604
chr7	104371434	104490477	268	0.0017981324233750746
chr7	117264478	117383522	270	0.003080810994944708
chr7	129777629	129896672	272	0.0017941453067732939
chr7	151194257	151313300	276	0.00022728498057311163
chr8	55295856	55414899	291	0.024379922955442515
chr8	101343854	101462897	293	0.010216427815254921
chr8	102060501	102179544	294	0.0038849860583858513
chr8	120977589	121096633	295	0.021115714221976948
chr8	128493524	128612567	296	0.07851536888645372
chr8	129356836	129475880	298	0.02579319626961837
chr8	141889441	142008484	301	0.020668529526531802
chr9	3664478	3783522	302	0.0026660312874385713
chr9	6669591	6788634	303	0.0020338465135850453
chr9	8968478	9087522	304	0.0007146678844387487
chr9	13144326	13263369	307	0.003762913668445029
chr9	13921789	14040832	308	0.0013291508365987123
chr9	17120478	17239522	309	0.0022807160791843153
chr9	19348770	19467813	311	0.0007744566807163583
chr9	25087455	25206498	313	0.0027721048657160393
chr9	26915118	27034161	315	0.0021862971791331487
chr9	27780258	27899301	316	0.0014126736809112574
chr9	29204478	29323522	318	0.00038985044407819426
chr9	30052301	30171344	319	0.00181386419251803
chr9	31470394	31589438	321	0.00046655792720663866
chr9	33775856	33894899	322	0.0043515860516785505
chr9	35824116	35943159	323	0.0036848309465870362
