chrom	start	end	name	score
chr1	4227963	4347006	0	0.0013161413844766168
chr1	6151201	6270244	1	0.01202921520140183
chr1	7942696	8061739	2	0.0015085370442930515
chr1	10536421	10655465	3	0.00037687427630663206
chr1	20879771	20998814	7	0.012724030165093004
chr1	26788020	26907063	10	0.05127208761369662
chr1	48934739	49053782	18	0.007132090883522119
chr1	92812308	92931351	23	0.002316875711230976
chr1	110857627	110976671	26	0.009949952898218282
chr10	47608588	47727615	331	0.0028867712009932977
chr10	51488559	51607602	334	6.30355340623846e-06
chr10	56643056	56777011	336	0.005070765607624087
chr10	66728824	66847867	340	0.0008472126603080178
chr10	74232720	74351764	342	0.0012728429814609006
chr10	75640715	75759758	345	0.0022503014929312233
chr10	76056393	76175436	346	0.001603780727587331
chr10	88023240	88142283	350	0.02641007617584952
chr10	110932549	111051593	351	0.0019593948906218503
chr10	112656489	112775532	352	0.0005517905318068192
chr11	40411372	40530415	358	0.00042649634870389595
chr11	62958560	63077843	363	0.0050829781767893975
chr11	68642182	68761225	369	0.005249758647826574
chr11	70676579	70795622	373	0.0012371860906597264
chr11	71861432	71980476	375	0.0015186738869248733
chr11	76349454	76468498	378	0.0017986240431341035
chr11	82277673	82396716	383	0.0020017647463519677
chr11	84280308	84399351	385	1.2923916221576908e-09
chr11	85986567	86105612	386	0.00363330127251599
chr12	45058695	45177739	405	0.0015042909000845337
chr12	58086057	58205100	412	0.0041761085422034085
chr12	68202497	68321540	416	0.004492841868673978
chr13	32160562	32284541	424	0.0019354824278398385
chr13	48367559	48486602	425	0.004147048123887445
chr13	48586342	48705386	426	0.003896033721872432
chr13	50327992	50447036	427	0.0013344118468470493
chr13	93558092	93677135	431	3.639454898438996e-05
chr13	112049822	112168865	434	0.0011974997784206035
chr14	33242977	33362021	439	0.004341612105176014
chr14	40143320	40262364	443	0.008314705056527025
chr14	66969761	67088805	448	0.005674081224181337
chr14	67861761	67980805	450	0.001493277164012337
chr14	68523434	68642477	452	0.004927011086648484
chr15	31914076	32033119	459	0.017268568658520264
chr15	41672280	41791324	461	0.02157724470505769
chr15	52385692	52504735	463	3.320420886482908e-06
chr15	57098702	57217745	464	0.009062106227971253
chr15	74689495	74808538	470	0.0017088460020257018
chr16	51528392	51647435	487	0.037101899935759214
chr16	72457097	72576140	491	0.0012945208733508855
chr16	78659578	78778621	493	0.020872172925850353
chr16	83075225	83194268	495	0.03133822494681813
chr17	7597160	7716204	496	0.10492739116753962
chr17	8030064	8149108	497	0.051871683751832216
chr17	11976605	12095648	498	0.028442106382157252
chr17	33181460	33300504	499	0.003275671088927268
chr17	40104225	40223270	504	0.0004782333713940811
chr17	41002709	41121752	505	0.0046105915503587116
chr17	44303996	44423039	507	0.0012581064096958982
chr17	46091301	46210344	508	0.0024715189973447153
chr17	53002412	53121454	512	0.0005596637710329346
chr17	55546270	55665314	513	0.0004082437322468142
chr17	57819117	57938161	514	0.0005669667904954784
chr17	60930886	61049929	516	1.4018193054116291e-06
chr17	65472360	65591404	517	0.00028066261132065907
chr18	51018108	51137152	538	0.018651986762266887
chr19	19073669	19192713	545	0.01634741952273886
chr2	133062905	133181950	79	0.0004875921305902275
chr2	135370908	135489952	81	0.00243849117788746
chr2	138362361	138481404	83	0.00046130401826795047
chr2	141082909	141201953	85	0.007186551319259655
chr2	148208375	148327419	87	0.0022006835557144494
chr2	159062302	159181346	91	0.0009704637370317105
chr2	194882637	195001680	97	0.0053778583491840524
chr2	204971768	205090810	101	0.0008791321127833518
chr2	211550386	211669429	102	6.121578348851787e-06
chr2	212727680	212846723	103	0.0014938733335363174
chr2	213835736	213954779	105	0.002571393562808189
chr2	233221998	233341042	108	0.0011878444778243738
chr20	14875832	14994876	555	0.03164889928329223
chr22	28878001	28997044	572	0.016549919780650783
chr3	50642090	50761133	120	0.042768066110465304
chr3	60461946	60580989	122	0.016509972085768324
chr3	71113887	71232930	127	0.026565023068940128
chr3	72728653	72847696	128	0.006520206757228412
chr4	10038854	10157898	161	0.002288427027802645
chr4	19436182	19555225	166	0.002398984760739163
chr4	21134855	21253899	167	0.004094349737167549
chr4	33759591	33878634	169	0.0042139205174408275
chr4	86492826	86611870	180	0.004693570464322989
chr4	90772430	90891473	183	0.001672427860576668
chr4	179133307	179252351	188	0.004205061370773751
chr4	181255436	181374479	189	0.024233229119697674
chr4	182341744	182460787	190	0.0023325383620539644
chr4	186702296	186821339	191	0.004373677723655558
chr5	59266286	59385329	213	0.013139903511430517
chr5	60102775	60221818	214	0.04115622698388771
chr5	131741067	131860110	217	0.021916608603842078
chr5	166069749	166188792	221	0.0010506010459996947
chr6	162272027	162391070	248	0.005519784639326695
chr6	167879139	167998182	249	0.0003155401951819579
chr7	69979492	70098536	261	0.003490699459171446
chr7	78321863	78440907	262	0.006758566084745466
chr7	110472421	110591466	269	0.005299661338722518
chr7	127145101	127264145	271	0.003843622591049972
chr8	3790699	3909742	279	0.008659012030922243
chr8	6374957	6494001	280	0.030795883562248574
chr8	34981360	35100403	286	0.03296409084201019
chr8	37723231	37842274	289	0.02047703540126625
