chrom	start	end	name	score
chr1	5758281	6359521	2	0.008773448636162407
chr1	7856438	8493750	15	0.009045018565312809
chr1	14711802	15089994	27	0.00483666343171169
chr1	26780389	26989453	5	0.013264257177363974
chr1	51217575	51336619	13	0.0018660557790023203
chr1	93088471	93294034	11	0.005381488257129627
chr1	114725108	115702047	7	0.010609409088343971
chr1	157555762	158038113	17	0.0027264676653860702
chr1	192981788	193166871	12	0.0011376400758593291
chr1	210418225	210907811	24	0.0054452576999884685
chr1	212599176	213761196	3	0.0074804938489649595
chr1	246237974	246357017	6	0.0019245626849960034
chr10	47184277	47650133	244	0.004510773333747912
chr10	58218870	58714895	243	0.007513232060790655
chr10	77295386	77414429	251	0.0006484562856561021
chr10	77918891	78043175	246	0.001193741013162463
chr10	89560990	89680033	241	0.003204208031949912
chr10	89965304	90084347	239	0.030846257713918548
chr11	39985638	40635879	287	0.005788875408445066
chr11	45931344	46402442	264	0.014124814752561431
chr11	62685002	63185231	261	0.012308814831258211
chr11	64602254	65066589	273	0.006106203624806595
chr11	68133517	68341010	266	0.009418466210380262
chr11	69896864	70147013	283	0.008603733042116462
chr11	72023274	72313020	289	0.01577932937986874
chr11	75846730	76992775	279	0.00650128259934824
chr11	80339167	80463952	265	0.004016865321878037
chr11	83964212	84366423	284	0.003945080028426134
chr11	85972100	87096374	280	0.01470210277055842
chr11	113905768	114104249	260	0.010592560902735651
chr12	12722317	13120592	290	0.02353861145765923
chr12	24097405	24228750	299	0.005494208887773901
chr12	26424358	26998323	294	0.005606114408287218
chr12	45348202	45969805	301	0.008846649804035676
chr12	52402269	53168356	310	0.007228542332350874
chr12	58096082	58747276	302	0.004051448944820793
chr12	67138261	67494262	313	0.0033417191987103966
chr12	74618787	75789025	305	0.005529599047327116
chr12	99864342	100151810	308	5.315987987266573e-05
chr13	32621411	32950651	321	0.003890847755453038
chr13	48939729	49058772	318	0.014536966927931775
chr13	50860815	51455790	324	0.008132064296993043
chr14	27537653	29081983	344	0.011344730089957955
chr14	33699932	33818975	334	0.0031275629860753273
chr14	40295008	40722782	337	0.0033806852291372513
chr14	67168861	67652025	342	0.002212416963581171
chr14	68742331	68861374	328	0.0010883983787058366
chr15	32159195	32278239	352	0.005375604399350019
chr15	41285416	42451276	355	0.013435525605373207
chr15	57326607	57557542	356	0.006666761928965701
chr16	3723115	3842158	367	0.0021500704098818425
chr16	23317721	24116798	360	0.005420642294259747
chr16	53432883	54385775	371	0.0059549820228070515
chr16	72508842	72677340	365	0.0010673616918409786
chr16	78647303	78766346	357	0.0008814377736326315
chr16	79003131	79122175	361	0.0006088666087943039
chr16	83335710	83621823	372	0.002980272072105241
chr17	7514447	7633490	378	0.00900750450177738
chr17	11812452	11954002	380	0.0037446478407941117
chr17	32188861	32931084	394	0.014393062338598744
chr17	37461077	37780421	392	0.005542073286364971
chr17	39069342	39414905	376	0.0116540048043427
chr17	42042144	42320075	379	0.008343499368494175
chr17	44220411	44339454	387	0.011262461571356262
chr17	53330349	54068840	391	0.0034001341313930965
chr17	55765392	56193649	385	0.008040621152098833
chr17	58928804	59481230	389	0.0031615001845584447
chr17	70365942	70514571	393	0.00379153177693965
chr18	3642355	4275605	403	0.001343864843971111
chr18	7209439	8629661	397	0.006187003309849564
chr18	24556761	25643499	400	0.006795961225496708
chr18	48538690	48667732	399	0.007268752636155365
chr19	18878316	19376690	415	0.00882486802180311
chr19	34065789	34406265	413	0.0077988005011478895
chr19	43206082	43735495	419	0.006258941567569391
chr19	47600563	47829029	414	0.025101706913120612
chr2	43102216	43918289	47	0.0025484714183743934
chr2	133733042	133852085	36	0.0008942052113848713
chr2	136044235	136519191	43	0.01256829475167095
chr2	141852754	141971797	29	0.008846875136907016
chr2	148743553	149033199	49	0.0023787239918819144
chr2	186890810	187009853	45	0.0008754452860231514
chr2	187311700	187430743	52	0.00028643264955060285
chr2	213742720	213861867	34	0.002370927091918417
chr2	233842479	234065299	37	0.0065979817493136425
chr20	14912725	15031768	420	0.007262966539752359
chr20	38766260	39467155	421	0.01043368333048998
chr20	45218930	46034672	431	0.005954218803061361
chr20	47640176	48144702	433	0.0038736795450305464
chr20	53847353	54168429	422	0.002421708221084473
chr20	59256957	59983703	429	0.0016530542365397153
chr21	24076479	25427169	437	0.003936846445422772
chr21	36239813	36482914	436	0.0012553910659374996
chr22	22852244	23313369	444	0.0009508387688884581
chr22	25775753	25894796	443	0.00052038924705863
chr22	28478268	29020831	445	0.004070270718301985
chr22	29278052	29397095	440	0.00151064534669415
chr22	33865202	34313677	441	0.0034684416022268444
chr3	4298031	4566842	82	0.0020342122914600975
chr3	50335869	50878720	67	0.01721358117723228
chr3	60412240	60531283	62	0.015309602060442557
chr3	71264717	71383760	69	0.01608084900656051
chr3	114311229	114430273	89	0.006549189449683005
chr3	116547466	116666509	63	0.003524826040633858
chr3	125469379	126976615	83	0.0044944236395997724
chr3	135952675	136450351	85	0.002422578228994786
chr3	160129384	161903327	91	0.005201461971509385
chr3	174774387	174893430	66	0.0038253709382188566
chr3	188166846	188285889	68	0.004259054644529345
chr4	10020807	10139850	112	0.0014252365753966954
chr4	19579540	19803047	99	0.0006188257490176524
chr4	20311739	20481287	119	0.0012705374447880965
chr4	21103783	21432337	116	0.006324903569547022
chr4	33780693	33991366	95	0.013915600647573597
chr4	60108690	61998938	102	0.004724678242775559
chr4	82008971	83123763	108	0.006150035292232748
chr4	87477561	87703607	120	0.004674472485193827
chr4	91777414	91896457	94	0.002942881595746003
chr4	132708393	134560407	107	0.0031400859296647383
chr4	182144814	182263857	93	0.004901009210340282
chr4	183140721	183429619	106	0.002242297468688569
chr4	187440453	187801507	111	0.0033112323409963135
chr5	6112570	6656833	125	0.0027751628552016463
chr5	15894084	16736119	133	0.0032723929472249238
chr5	25934230	27020948	127	0.0039638988509096895
chr5	31938679	32973100	135	0.0030011142087813763
chr5	56089524	56416824	138	0.004393681586120499
chr5	58500285	58619328	126	0.0011876275899247086
chr5	59259354	59378397	122	0.0028407322465192385
chr5	66644179	68066878	147	0.00653823210036045
chr5	100075960	100806984	136	0.004966512550397185
chr5	130572420	131214333	134	0.009387128752378737
chr5	165556098	165722992	128	0.009094602542201631
chr6	1907547	2026590	156	0.0016869729216234613
chr6	27812438	28791272	160	0.009346012544226073
chr6	38059700	38619466	170	0.007556530417246005
chr6	45107899	45651436	164	0.006374952221567936
chr6	68476072	69410191	162	0.0073326659249386035
chr6	162662514	162781557	150	0.007326546466616149
chr6	168372497	168491540	167	0.0029130088011022964
chr7	3727614	3884420	183	0.0017162267403344313
chr7	50414326	50832599	182	0.005882694089933715
chr7	69348739	69467782	184	0.004460649213836075
chr7	69965189	70084232	175	0.0022082346795059536
chr7	83263446	84732043	186	0.001269031557173099
chr7	101503243	101887721	185	0.0031196962870921265
chr7	110399106	110518149	174	0.003226401730180658
chr7	126390050	127428332	176	0.002897346730484718
chr7	151764558	152106777	192	0.002094611403793926
chr8	3742692	3861735	197	0.0037794237920009393
chr8	22205917	23093349	194	0.02031840262968792
chr8	36071242	37065643	210	0.011296053534356225
chr8	37285837	38080166	199	0.008203577935350558
chr8	90322011	90475441	201	1.1216645900822682e-05
chr9	9423309	9542352	217	0.002927392522355084
chr9	10991477	11494076	228	0.0076520352260467436
chr9	16665363	17111348	223	0.0019327984681779566
chr9	21941390	22060433	213	0.03788405091297687
chr9	26270391	26679836	216	0.00744328786745844
chr9	28247759	28459511	225	0.005967685325379388
chr9	31388255	32049495	222	0.0050007320567748694
chr9	131864217	133255541	238	0.005352486372172993
