chrom	start	end	name	score
chr1	5698221	6299461	2	0.024924270004591666
chr1	7796378	8433690	15	0.017923284116335293
chr1	14385306	14763498	27	0.014436698420540437
chr1	26453898	26662962	5	0.07597890336223775
chr1	92622914	92828477	11	0.009952683925412705
chr1	114182486	115159426	7	0.04770096048583997
chr10	56459109	56955135	243	0.0017522059494340285
chr11	39964088	40614329	287	0.04143788896369948
chr11	45909793	46380892	264	0.024013061061200026
chr11	68366049	68573542	266	0.0185478878432514
chr11	72312230	72601976	289	0.011983341924099864
chr11	76135686	77281730	279	0.01405758923634783
chr11	114035046	114233527	260	0.004502977101879845
chr14	27068447	28612777	344	0.005185896869645443
chr14	33230726	33349769	334	0.004286205819171728
chr14	66702143	67185308	342	0.005864006752363627
chr14	68275614	68394657	328	0.00047084967188702694
chr15	31866992	31986036	352	0.012622682854590953
chr15	40993218	42159078	355	0.03483242041975157
chr15	57034409	57265344	356	0.006120590489466505
chr17	7611129	7730172	378	0.06351648669925063
chr17	11909135	12050685	380	0.05882816547568224
chr17	33861842	34604065	394	0.004014882902889521
chr17	39304824	39624168	392	0.0028073480975413954
chr17	40913090	41258653	376	0.012979126827808687
chr17	43964776	44242707	379	0.0068702019315292975
chr17	46143045	46262088	387	0.008584538301020702
chr17	55252988	55991479	391	0.0005941166050548399
chr17	57688031	58116288	385	0.0016889157603720186
chr17	60851443	61403869	389	0.001523387616856913
chr17	72369801	72518431	393	0.00419918942158989
chr18	3642356	4275605	403	0.02631879897671029
chr18	7209441	8629663	397	0.061394916818484434
chr18	51012320	51141362	399	0.0002853789287579565
chr2	132975469	133094512	36	0.0030061557739179613
chr2	135286665	135761621	43	0.0030061557739179613
chr2	212877996	212997143	34	0.04130516056756828
chr22	22497942	22971195	444	0.06786441375457879
chr22	28082280	28624843	445	0.047524682977952176
chr3	50298438	50841289	67	0.03944171943016605
chr3	114592382	114711426	89	0.003896233660640556
chr3	116828619	116947662	63	0.01850365944414262
chr3	125750536	127257772	83	0.0019086717161563448
chr3	175056597	175175640	66	0.004063891153310715
chr4	81087817	82202610	108	0.006463895878371911
chr4	86556408	86782454	120	0.0016928854127672736
chr4	90856263	90975306	94	0.0010442420019909921
chr4	131787238	133639252	107	0.0072875972387110195
chr4	181223661	181342704	93	0.019610257258284882
chr6	27844660	28823495	160	0.007869724483226316
chr6	162241482	162360525	150	0.019597688376754636
chr6	167971817	168090860	167	0.007657282909972844
chr8	3885170	4004213	197	0.0047155050694215475
chr8	22348404	23235836	194	0.006053495156072894
chr9	10991477	11494076	228	0.006256713986116993
chr9	21941391	22060434	213	0.01400441013949426
chr9	26270393	26679838	216	0.010076643187291484
chr9	28247761	28459513	225	0.01294464487438127
chr9	31388257	32049497	222	0.01400441013949426
