chrom	start	end	name	score
chr1	10750351	10869394	6	0.0006440325815942924
chr1	15648578	15767621	8	0.0005102263497151863
chr1	24435232	24554274	11	0.0003278959152353971
chr1	32635911	32754954	14	0.0014386082830098125
chr1	36067326	36186369	15	0.0007300298983242614
chr1	38926806	39045850	16	0.001531399500292576
chr1	40710907	40829950	17	0.0032068117263704104
chr1	43453332	43572376	18	0.00045358538551436127
chr1	46280097	46399140	19	7.407215811862128e-05
chr1	107702963	107822006	25	0.0029958990413524768
chr1	114995909	115114952	28	0.000479695544793552
chr1	147722309	147841353	29	0.0035097567897006635
chr1	150840601	150959645	31	0.0028537250721764043
chr1	151872534	151991578	32	0.003381156570613843
chr1	152946743	153065787	35	0.0006161943993674525
chr1	153986660	154105704	36	0.0002277725740825043
chr1	154974677	155093720	37	0.000375725833591014
chr1	155790687	155909731	38	0.00038266590903838474
chr1	160063941	160182984	40	0.00016779952806105655
chr1	161038178	161157222	41	0.001738715345273583
chr1	161883304	162002347	43	0.00024465253989172203
chr1	162605010	162724053	44	0.00033428540027122933
chr1	164148727	164267770	45	0.003916307034386818
chr1	168909409	169028453	47	0.0002830931757697862
chr1	172198882	172317925	48	0.00437549311278311
chr1	183131214	183250257	51	0.00023159256746297928
chr1	183852187	183971230	52	0.0016256622282172077
chr1	204450667	204569711	59	0.0021120119826388744
chr1	205373808	205492851	60	0.0002991684120346367
chr1	206937062	207056105	62	7.15437533037766e-05
chr1	234830505	234949549	67	0.0003984409997523697
chr1	239069816	239188859	70	0.002423395936725929
chr12	43607718	43726761	685	0.0031460910550834406
chr12	46249019	46368062	687	0.009930474814499499
chr12	52169148	52288192	690	0.00223190722588896
chr12	57758906	57877949	696	0.01274328912200141
chr12	59648470	59767513	698	0.02473596363200217
chr12	65541819	65660862	699	0.007630069574523955
chr12	68734698	68853742	702	0.020038944646736837
chr12	69366581	69485624	703	0.03512491866667087
chr12	70686281	70805325	705	0.01318617867060658
chr12	123126098	123245141	711	0.0023319210451733783
chr12	124563932	124682976	713	0.007300993118100159
chr12	126411932	126530976	714	0.008015914304331458
chr15	25724778	25843821	772	0.0026199245794078585
chr15	40852280	40971324	777	0.0007184861737600285
chr15	51909725	52028768	779	0.00278127762321667
chr15	63498137	63617180	784	0.0024611212626862006
chr15	71631691	71750734	788	0.0015979367843118957
chr15	79875155	79994199	792	0.00037857319521215324
chr15	86549247	86668291	794	0.008979278165166367
chr15	90074712	90193755	795	0.0022531455368190287
chr15	92933248	93052292	796	0.0046214700217119715
chr16	814478	933522	799	0.006838736515333432
chr16	1994616	2113660	800	0.0040620709988951065
chr16	2880697	2999740	801	0.002214487019997339
chr16	4154477	4273521	802	0.004379372552998404
chr16	7682476	7801520	805	0.023164671528073166
chr16	11287026	11406070	806	0.004752970709512947
chr16	11600436	11719479	807	0.013646309552586552
chr16	28143895	28262938	811	0.017294868730560947
chr17	16752813	16871856	824	0.02478648207001323
chr18	548478	667522	854	0.0035296461163292336
chr18	3587886	3706927	856	0.0033130166965992234
chr18	7038147	7157191	858	0.007956985867273877
chr18	9056480	9175524	860	0.0011906399592458803
chr18	9836103	9955146	861	0.006735373128294507
chr19	977132	1096176	880	0.006797997695070838
chr19	8853802	8972846	882	0.01203480534091477
chr19	10465802	10584846	884	0.027892812489339093
chr19	13073664	13192708	886	0.015329169104747737
chr19	15263176	15382219	887	0.025503152623145873
chr19	19082941	19201985	888	0.005030016534641015
chr19	33176638	33295681	889	0.0016598490983030273
chr19	35370909	35489952	891	0.001695482818105138
chr19	37759115	37878158	893	0.001823801351820536
chr19	39220452	39339496	894	0.0012143091843135917
chr19	39635089	39754133	895	0.0005823554421229398
chr19	40394571	40513615	896	0.0006917845273807778
chr19	44574014	44693036	900	0.0004511943352668089
chr19	55439377	55558421	903	0.0006299553662757561
chr20	35488323	35607271	909	0.01578211744507481
chr20	47378346	47497389	913	0.005017309902086278
chr20	49612022	49731066	914	0.00013106545210992063
chr20	50133438	50252481	915	0.013499706037614068
chr20	50407941	50526985	916	0.0034181543989718448
chr20	51859939	51978983	917	0.0007780993891809247
chr20	53711224	53830267	919	0.0334369367255283
chr20	57415917	57534961	921	0.006635757585084456
chr20	63686657	63805701	926	0.0032597677066412006
chr21	33480171	33599216	928	0.005565949627403731
chr21	42556288	42675331	932	0.0005330000261748153
chr21	44049335	44168376	933	0.0023893393188498657
chr21	44746178	44865221	935	0.0009513169502059291
chr3	1428555	1547598	159	0.003105127930580398
chr3	4646794	4765838	161	0.003675098190734555
chr3	9579591	9698635	163	0.0036545710017706237
chr3	12138211	12257255	165	0.004662072571019648
chr3	13685137	13804182	166	0.0008304795831971658
chr3	15411980	15531023	167	0.0014016465792011923
chr3	32078986	32198030	169	0.0008162835754755948
chr3	64025295	64144338	181	0.0006757047520165835
chr3	66786519	66905562	182	0.0011662454306763151
chr3	68990926	69109970	183	0.002008422556675777
chr3	79311044	79441065	186	0.003109492643374436
chr4	1181282	1300325	226	0.0032109711757043534
chr4	1754751	1873795	227	0.0014153944738581551
chr4	6829823	6948866	230	0.001862953928302644
chr4	8438751	8557795	231	0.0009226455121996782
chr4	10240395	10359439	233	0.006935271977519981
chr4	11779799	11898842	234	0.006659573107869691
chr4	14070875	14189918	236	0.0013898340394573182
chr4	18466855	18585899	238	0.002232187493646126
chr4	25165794	25284837	242	0.00933935050125492
chr4	33430856	33549900	243	0.011599430217676709
chr4	38162857	38281901	245	0.0037062547922441813
chr4	38382857	38501901	246	0.004536650161048972
chr4	39346858	39465902	247	0.005402894593473148
chr5	1220774	1339817	290	0.0010932091109634391
chr5	2970703	3089746	293	0.009980795883650369
chr5	4087075	4206118	294	0.00943792600200815
chr5	5125583	5244626	295	0.0023243401273429793
chr5	8043576	8162620	298	0.011269695104032574
chr5	10102292	10221335	299	0.005095447405122665
chr5	14389282	14508326	302	0.028583597927840047
chr5	17068369	17187413	304	0.007417127032649757
chr5	22195708	22314751	305	0.018497534991834312
chr5	25456677	25575720	307	0.024099869281272047
chr5	31118817	31237861	311	0.007871855959318863
chr5	32174131	32293174	313	0.01396753853030496
chr5	36233670	36352713	316	0.0155320508621871
chr5	39274792	39393835	318	0.014002010003873858
chr6	67706125	67825169	388	0.013313204167129255
chr6	70038586	70157630	390	0.00207608796834607
chr6	73623521	73742564	391	0.00460040979604903
chr6	75466762	75585806	392	0.003558683208108977
chr6	106674312	106793356	394	0.0029697905907834997
chr6	125023332	125142376	396	0.002622870430471917
chr6	128573639	128692682	398	0.007467287473220122
chr7	3500846	3619890	409	0.0002134329574884379
chr7	6306831	6425874	412	0.0086828811463403
chr7	16799140	16918183	415	0.00775129197846238
chr7	23248121	23367164	418	0.001698624447170389
chr7	53476585	53595628	425	0.02342904939581848
chr7	67079274	67198317	426	8.288759370749583e-05
chr7	69683492	69802536	427	2.543599603145278e-05
chr7	70771492	70890536	430	5.138796713882353e-05
chr7	87119162	87238206	435	1.0397004183511199e-05
chr7	92743265	92862308	439	0.00026991763273156945
chr7	99207321	99326364	440	7.972798068782385e-05
chr7	99989659	100108702	441	5.768684496587182e-06
chr7	104833952	104952995	446	8.359254242346029e-06
chr7	117666041	117785084	452	2.3166568993809417e-05
chr7	134443726	134562770	459	9.628570561341183e-06
chr7	140217149	140336192	460	5.441305899165949e-05
chr7	142632962	142751671	462	2.8493197696617093e-05
chr7	144251385	144370429	463	4.164858188263956e-05
chr7	147054235	147173278	466	0.00011873755400417115
chr8	54270500	54389543	493	0.003145561768485262
chr8	100306429	100425472	498	0.0034324221006412983
chr8	101039627	101158670	499	0.004814039564475758
chr8	102316250	102435294	501	0.00142289708973753
chr8	117912239	118031283	503	0.0028463392134130683
chr8	120160239	120279283	505	0.0027646468480765638
chr8	127277456	127396499	508	0.002836232329479015
chr8	127619798	127738841	509	0.01757907813048354
chr8	128468232	128587276	511	0.008450424638881059
chr8	136356717	136475760	514	0.0235916525535884
chr8	139441761	139560804	517	5.298859531857204e-06
chr8	141094379	141213423	520	0.0033994275509784968
chr8	142855062	142974105	521	0.005103087426275263
chr9	72475932	72594975	551	0.01645446448914252
chr9	101345786	101464829	553	0.003645774888683254
chr9	111910198	112029242	554	0.012012268426573705
chr9	127739814	127858858	555	0.01780647953761459
chr9	136056754	136175797	558	0.00271040596701259
chr9	136795509	136914553	559	0.003904227711345003
