chrom	start	end	name	score
chr1	5758281	6359521	1	0.005109826800904466
chr1	26780389	26989453	2	0.0391045942641545
chr1	114725108	115702047	3	0.011804668384784141
chr1	93088471	93294034	4	0.0041710152121569345
chr1	51217575	51336619	5	0.004522336261205132
chr1	7856438	8493750	7	0.002006611442344675
chr1	14711802	15089994	13	0.00850781982276565
chr10	89965304	90084347	33	0.022224084935254813
chr10	89560990	89680033	34	0.004196164010358654
chr10	58218870	58714895	36	0.005560316736296265
chr10	47184277	47650133	37	0.0027493387879742206
chr10	77918891	78043175	39	0.003751206380089678
chr10	77295386	77414429	42	0.0011836962687426312
chr11	45931344	46402442	50	0.0038426206124820856
chr11	39985638	40635879	55	0.0035394020598604817
chr11	113905768	114104249	57	0.0029102759765973368
chr11	62685002	63185231	58	0.004512747055093283
chr11	68133517	68341010	60	0.005282644220125183
chr11	64602254	65066589	66	0.006415202228689264
chr11	75846730	76992775	70	0.0015267357969457357
chr11	85972100	87096374	71	0.0009983904401880143
chr11	83964212	84366423	73	8.677281311972941e-05
chr11	72023274	72313020	77	0.0042135667594253995
chr12	45348202	45969805	92	0.007486370029811574
chr12	58096082	58747276	93	0.005405748280293541
chr12	74618787	75789025	96	0.0032544628093874014
chr12	52402269	53168356	100	0.005647029175331165
chr12	67138261	67494262	101	0.0016462934361595744
chr13	48939729	49058772	104	0.008021048950932577
chr13	32621411	32950651	107	0.0013255007959974096
chr13	50860815	51455790	110	0.0014257274536755666
chr14	68742331	68861374	114	0.0005122316693666565
chr14	33699932	33818975	119	0.0028366362688272847
chr14	40295008	40722782	121	0.004627268148441737
chr14	67168861	67652025	126	0.0029203615692921913
chr14	27537653	29081983	128	0.0030604864181164484
chr15	32159195	32278239	134	0.010786224121341243
chr15	41285416	42451276	136	0.017983598803170256
chr15	57326607	57557542	137	0.011755098910537264
chr16	78647303	78766346	145	0.009622375738006098
chr16	79003131	79122175	146	0.006698079900148879
chr16	72508842	72677340	148	0.02656096927569838
chr16	53432883	54385775	151	0.04686891751908601
chr16	83335710	83621823	152	0.027974730443126723
chr17	7514447	7633490	153	0.0682847862419731
chr17	11812452	11954002	154	0.04430626125117303
chr17	39069342	39414905	157	0.004689437458563466
chr17	42042144	42320075	159	0.003016867487931485
chr17	55765392	56193649	164	0.002190846014316836
chr17	44220411	44339454	166	0.007268580484918132
chr17	58928804	59481230	168	0.0014967238833451587
chr17	53330349	54068840	170	0.0013362988953153107
chr17	37461077	37780421	171	0.003767173064305052
chr17	70365942	70514571	172	0.0004791448088242412
chr17	32188861	32931084	173	0.006117216234773551
chr18	48538690	48667732	180	0.004687999855203418
chr18	24556761	25643499	181	0.014573043531543515
chr19	18878316	19376690	188	0.014984232730315992
chr2	141852754	141971797	207	0.005074790979355716
chr2	213742720	213861867	211	0.0017972405835742407
chr2	133733042	133852085	213	0.00016913639244607733
chr2	233842479	234065299	214	0.0007259832634215457
chr2	136044235	136519191	219	0.0021848231474179258
chr2	186890810	187009853	220	4.376954750906317e-05
chr2	148743553	149033199	221	0.0014367450157247628
chr2	187311700	187430743	222	4.376954750906317e-05
chr20	14912725	15031768	227	0.014400247116492524
chr22	29278052	29397095	245	0.0020420041185206343
chr22	33865202	34313677	246	0.010569780934005407
chr22	25775753	25894796	248	0.0017273717481995827
chr22	28478268	29020831	249	0.011071084778559849
chr3	60412240	60531283	250	0.02274219235512203
chr3	50335869	50878720	251	0.025956428124701784
chr3	71264717	71383760	252	0.04571525759720404
chr3	4298031	4566842	258	0.004575925367585742
chr4	33780693	33991366	279	0.005790887232653925
chr4	10020807	10139850	284	0.0015642766553808421
chr4	21103783	21432337	288	0.0032344387804448785
chr4	20311739	20481287	289	0.0003728870364968851
chr4	182144814	182263857	291	0.01526004980125756
chr4	91777414	91896457	292	0.0034894589488665543
chr4	60108690	61998938	295	0.0027074730012950727
chr4	183140721	183429619	298	0.0016846571993468045
chr4	132708393	134560407	299	0.006499504402925781
chr4	82008971	83123763	300	0.002497706215355204
chr4	187440453	187801507	303	0.003255524509811865
chr4	87477561	87703607	306	0.004238192943570017
chr5	59259354	59378397	320	0.022646934871603474
chr5	58500285	58619328	323	0.004446067550259571
chr5	165556098	165722992	324	0.013914726582456604
chr5	130572420	131214333	327	0.026058245407948356
chr5	100075960	100806984	328	0.0017980908330312137
chr5	66644179	68066878	332	0.04574383210865185
chr6	162662514	162781557	349	0.0031960612345510275
chr6	68476072	69410191	354	0.0029595174209744147
chr6	168372497	168491540	355	0.0005656570106698605
chr7	110399106	110518149	364	0.004668210556033939
chr7	69965189	70084232	365	6.849594213557992e-05
chr7	126390050	127428332	366	0.00502042956795104
chr7	69348739	69467782	369	0.0010711098358287693
chr7	101503243	101887721	370	0.0015044318105347163
chr8	22205917	23093349	374	0.036262847823571455
chr8	3742692	3861735	376	0.010116590788869598
chr8	37285837	38080166	377	0.018769577576282902
chr8	36071242	37065643	380	0.03994145300677445
chr9	21941390	22060433	390	0.0002693583577930841
chr9	26270391	26679836	393	0.0003790747505978557
chr9	9423309	9542352	394	0.0007650039518200113
chr9	31388255	32049495	399	0.00043039218287872717
chr9	16665363	17111348	400	0.00018854635688222125
chr9	28247759	28459511	401	0.0005602482140029357
chr9	10991477	11494076	404	0.00050347371091726
chr9	131864217	133255541	414	0.02544220627341507
