chrom	start	end	name	score
chr1	147722309	147841353	29	0.0023543871253131113
chr1	150840601	150959645	31	0.0017977567761101087
chr1	153986660	154105704	36	0.00207371218563111
chr1	160063941	160182984	40	2.8829818106770165e-06
chr1	161038178	161157222	41	0.002924525320469914
chr1	162605010	162724053	44	0.0007376310469402034
chr1	164148727	164267770	45	0.009342436622531146
chr1	239069816	239188859	70	0.01068800634775505
chr12	3895283	4014326	668	0.007978349832041837
chr12	6455229	6574273	670	0.003073348764602715
chr12	20191170	20310213	677	0.020272713590306496
chr12	25130730	25250912	680	0.005001611749952524
chr12	26107545	26226589	681	0.0007124976393324034
chr12	27361309	27480352	683	0.009054231639967943
chr12	43607718	43726761	685	0.014945733823343372
chr12	59648470	59767513	698	0.016252244996090376
chr12	68734698	68853742	702	0.002883364870502914
chr12	69366581	69485624	703	0.0053893718926089264
chr12	124563932	124682976	713	0.003660135891325617
chr12	126411932	126530976	714	0.01667846955778448
chr16	814478	933522	799	0.004717403209144723
chr16	1994616	2113660	800	0.004347191562377421
chr16	2880697	2999740	801	0.0026702092493190127
chr16	4154477	4273521	802	0.00417614255088412
chr16	7682476	7801520	805	0.0423759635633169
chr16	11287026	11406070	806	0.0019869466803024097
chr16	11600436	11719479	807	0.017950974416262287
chr16	28143895	28262938	811	0.004717403209144723
chr16	68311836	68430879	814	0.025700956635369223
chr16	70881159	71000202	815	0.020063994411620496
chr16	77929365	78048409	818	0.0022700001251210107
chr17	33988079	34111229	826	0.03172111232964785
chr17	37645674	37764763	829	0.006656791777512232
chr17	39641419	39760462	831	0.061227993205033394
chr17	40924743	41043786	832	0.007194627473842835
chr17	52475118	52594162	841	0.06051730980900499
chr17	65908428	66027471	848	0.01916712528390539
chr17	73310600	73429643	850	0.006582150196092231
chr17	75409615	75528658	851	0.009429527837725946
chr17	79762679	79881723	852	0.015989266279828575
chr2	115777342	115896385	111	0.0024172207337659116
chr2	121090902	121209946	113	0.006959255597567133
chr2	135770644	135889688	117	0.0037579054980212178
chr2	140216402	140335445	118	0.0007394310276781035
chr2	159977043	160096086	127	1.7601070600533713e-05
chr2	172235750	172354794	128	0.0007603390087602036
chr2	177227529	177346572	129	0.009267270957288545
chr2	177611750	177730794	130	0.0015202980307871072
chr2	186576500	186695544	133	0.0012288615582298058
chr2	190193435	190312479	134	0.0071520054792273335
chr2	190947781	191066824	135	0.0010655491613065049
chr2	194821068	194940111	136	0.001063295550925305
chr2	197629890	197748933	138	0.009571175899041846
chr20	5708911	5827954	905	0.05737652986878747
chr20	53711224	53830267	919	0.02885684648308324
chr3	114084252	114203295	193	0.00418450161622822
chr3	115520989	115640032	195	0.0037897788205856183
chr3	138704327	138823370	200	0.04492609447841322
chr3	179151407	179270450	216	9.535356416094132e-05
chr3	183077959	183197002	217	0.01069892799007695
chr3	184578690	184697734	218	0.006665544774955832
chr5	2970703	3089746	293	0.00831155167663674
chr5	4087075	4206118	294	0.0046538342764781224
chr5	14389282	14508326	302	0.003192278032729715
chr5	22195708	22314751	305	0.0031314884919181147
chr5	25456677	25575720	307	0.0030774688285985148
chr5	31118817	31237861	311	0.00020331516136140097
chr5	32174131	32293174	313	0.0008123300298447039
chr5	36233670	36352713	316	0.00023439548604450112
chr5	110728656	110847701	332	0.0004808262249851023
chr5	149641236	149760280	340	0.0001296086505784006
chr5	166346151	166465194	344	0.0013525740525049065
chr6	4545066	4664109	353	0.00010141074170660048
chr6	6901086	7020129	355	0.00019105225999490092
chr6	11249551	11368594	356	7.017304590725951e-05
chr6	13383680	13502723	357	4.00154708293204e-05
chr6	18320247	18439291	358	0.0001234710110663006
chr6	30636701	30755745	366	0.0005193628257407025
chr6	31808701	31927745	368	0.0005114701452923025
chr6	32827735	32946778	370	0.0001269653982032006
chr6	39783069	39902113	375	0.00015270705636590074
chr6	41385854	41504897	376	0.00032563785653510157
chr6	41825044	41944087	377	0.0010199351890057048
chr6	42588740	42707784	378	7.317369497195787e-05
chr6	43416740	43535785	380	0.000424381543020902
chr6	43824741	43943785	381	0.0003983909188772019
chr6	47824742	47943786	383	0.001034198684561305
chr6	51371295	51490338	385	0.0006702734620055033
chr6	52407310	52526353	386	0.0009348136986550045
chr6	53103081	53222125	387	0.00209711578658841
chr7	3500846	3619890	409	0.0029149675682275137
chr7	6306831	6425874	412	0.02781415533956603
chr7	53476585	53595628	425	0.13783099536722818
chr7	67079274	67198317	426	0.006527085579875431
chr7	70771492	70890536	430	0.0038840927417962186
chr7	99207321	99326364	440	0.020558949584478098
chr7	104833952	104952995	446	0.0006791137622836033
chr7	144251385	144370429	463	0.015792804349338878
chr7	147054235	147173278	466	0.03329498970286426
chr8	136356717	136475760	514	0.028908336673966438
