chrom	start	end	name	score
chr1	10764922	10928763	21	0.0005083419921279431
chr1	24276907	24694469	26	9.127543021948105e-05
chr1	31332508	31737211	18	0.003609533986192056
chr1	39969170	40305019	0	0.003471376557145443
chr1	106327320	107689022	14	0.0013170147389298767
chr1	150599202	150769139	16	0.014399703003825157
chr1	151577276	151824681	1	0.00750613027637665
chr1	153567828	153761700	28	0.0021178061013787334
chr1	154866700	155184646	20	0.00503529604098266
chr1	160944223	161118797	8	0.0008426275041555325
chr1	171763783	172395327	19	0.0002771497901870473
chr1	204424391	204543434	4	0.00863327764264874
chr10	4977348	5233692	240	0.004023344461678899
chr10	8812766	9282706	249	0.006913662326245563
chr10	11633710	12122522	255	0.0014238966884759278
chr10	53200357	54407754	248	0.004645616155698075
chr10	59942726	60061769	250	0.0023844931987362316
chr10	61321198	62034364	242	0.005063649718969738
chr10	63604255	63953573	256	0.0013161603862904376
chr10	74894765	75176209	245	0.002806476200918518
chr10	75300349	75448565	258	0.0008600370088872755
chr10	77864432	78188035	257	0.004161498062099325
chr10	81308268	82447504	252	0.004227652113298474
chr10	124456338	124978026	254	0.0007895022020402123
chr11	13492322	14226122	278	0.0006209812278228226
chr11	32047389	32515735	281	0.0016429525793524092
chr11	34650848	34769892	263	0.0012905085990077018
chr11	40075295	41065335	269	0.0057955670512084955
chr11	46271747	46622389	274	0.0003374953291893429
chr11	62148903	62573639	272	8.309702690911081e-05
chr11	65460963	65580006	275	0.0009192153940246384
chr11	67152147	67373325	286	0.007471109040113206
chr11	69619952	69738995	285	0.010546115526058275
chr11	70319004	70438048	276	0.004576870937545011
chr11	71260778	71467434	282	0.0008269143146640838
chr11	73143017	73470545	288	0.0005246376860722079
chr11	74190902	74844343	270	0.0008269143146640838
chr11	77829950	77948994	259	0.005108710838262435
chr11	82111694	83074566	268	0.001841647540589701
chr11	88445898	89085879	267	0.0021616385265623757
chr11	91450563	91845351	277	0.002526877845419981
chr11	100200601	100585952	262	0.003326868379835971
chr11	102447525	102575127	271	0.0008661197394066382
chr12	3896569	4521478	295	0.0006717517979839962
chr12	19624312	20151125	293	0.004012669035150284
chr12	24935138	25138824	291	0.0009036892310465114
chr12	26155824	26274868	311	0.00027789892631250717
chr12	27159250	27571622	300	0.0018273603974219377
chr12	45877707	46842542	296	0.005726965693900782
chr12	52100987	52220031	307	0.00842648494180659
chr12	56083254	56202297	303	0.001841134587344992
chr12	57748858	57867901	292	0.0003907762822645533
chr12	59754080	60092039	298	0.0059186929550547945
chr12	65499846	66013382	306	0.005346308233316597
chr12	69096589	69243000	317	0.013995460748757236
chr12	95415175	95805847	309	0.004987953847985167
chr14	23259105	23594054	340	0.0016165071304449978
chr14	26331260	26785808	330	0.0028252794117718115
chr14	30781838	31712143	335	0.000623492525416661
chr14	35305989	35516969	327	0.006786787063878873
chr14	37343469	37589273	332	0.007153841418680624
chr14	41444173	42113315	338	0.0011618739632397613
chr14	49950433	50078527	329	0.0029986329112372243
chr14	76968624	77087668	333	0.0007833788774352291
chr14	104596671	104974929	343	0.0007659645244258313
chr15	25337247	25692020	350	0.0046716108079613225
chr15	71528646	71647690	348	0.0010779791094761406
chr15	72303492	72637942	353	0.0007403265681632153
chr15	86862062	86998071	345	0.0009292677247312518
chr15	90117058	90328261	349	0.00141461817155767
chr15	92712490	92831533	346	0.0008301334713866303
chr16	1945841	2333827	368	0.03147231515465271
chr16	4152081	4295376	373	0.006067454753072265
chr16	11637627	11775844	359	0.01565216624254221
chr16	18828123	19591425	369	0.006223602166719027
chr16	29033031	29729008	362	9.088997319184306e-05
chr17	32736739	33017432	384	0.0022239185485766256
chr17	37680110	37860694	388	0.0009553089923832659
chr17	39658666	39777709	375	0.005683231490081058
chr17	48251532	48479073	383	0.003945378832921403
chr17	50515699	50712150	386	0.0004461849617517873
chr17	52326898	52711688	377	0.009573761309115263
chr17	62571334	63664492	382	0.006633203036480638
chr17	69200499	69893902	374	0.0027783729288537837
chr17	79760434	80083049	390	0.0015861324735049482
chr18	3374769	3499944	396	0.017690690645220067
chr18	9476697	10938629	406	0.0010304633677884628
chr19	9028351	9157312	418	0.00014426136462470366
chr19	10625699	10836058	409	0.00050474074460019
chr19	13225661	13473891	416	0.0005297065717068403
chr19	15209520	15367640	407	0.001912548398934593
chr19	33028459	33325884	410	0.0028574148884570228
chr19	34977767	35361113	417	0.002090644858188206
chr19	37298703	37801292	408	0.0030314029601409983
chr19	39174301	39369276	411	0.003872617941456533
chr19	44694140	44813196	412	0.0008726769488388758
chr2	28537956	28657000	44	0.0022345920431305084
chr2	42906359	43137250	48	0.001515352859884031
chr2	56492365	57045716	55	0.0012234941130329323
chr2	61053389	61713250	31	0.002050032850563968
chr2	66831659	67020022	50	0.0009565878649529898
chr2	84934804	85393222	39	0.009508991460327862
chr2	102460067	102884836	38	0.0017477327603743684
chr2	113265416	113384460	35	0.0007575535856746422
chr2	115361023	115746221	32	0.0032152847089233737
chr2	117069373	117563143	60	0.0016651059938774374
