chrom	start	end	name	score
chr1	10824979	10988820	21	0.003750770642137303
chr1	24603397	25020960	26	0.002543190253622735
chr1	31805355	32202812	18	0.002331370893839351
chr1	40434842	40770691	0	0.02306568840494402
chr1	46707151	46967620	25	0.0042847615498737305
chr1	61572512	62827216	23	0.003272766282767508
chr1	106869942	108231644	14	0.0035928340321943835
chr1	150571678	150741615	16	0.003468883856870642
chr1	151549752	151797157	1	0.003430330031045546
chr1	153540304	153734176	28	0.0011295262513832285
chr1	154839176	155157122	20	0.0010793034218505911
chr1	155736873	156034001	9	0.0008507051897140915
chr1	160914013	161088587	8	0.00508859736918432
chr1	171732923	172364467	19	0.003694573137100653
chr1	201938893	202057937	22	0.0023119250286840047
chr1	204393519	204512562	4	0.00422151013315322
chr1	234903837	235022881	10	0.0004947080311177087
chr10	5019540	5275655	240	0.0009142793977615507
chr10	8854729	9324669	249	0.0009413280255526136
chr10	11675709	12164521	255	0.0002657781389585037
chr10	32162300	32813035	247	0.0011679642440472198
chr10	47408334	47827719	253	0.005764193610377595
chr10	54960117	56167514	248	0.0023390623078268576
chr10	61702484	61821527	250	0.0007824979723953469
chr10	63080956	63794123	242	0.004940457136810489
chr10	65364015	65713333	256	0.000875065553489632
chr10	76654523	76935967	245	0.005586986816534999
chr10	77060107	77208323	258	0.0008145790456586589
chr10	79624190	79947792	257	0.0035276748698854616
chr10	83068024	84207260	252	0.00401385969778033
chr10	126144907	126666595	254	0.0020889467775939306
chr11	13513869	14247668	278	0.0006703342022539682
chr11	32068935	32537281	281	0.0027427135674690365
chr11	34672395	34791439	263	0.004971065332512528
chr11	40096845	41086885	269	0.0020646007099622775
chr11	46293298	46643939	274	0.003240899551043942
chr11	61916375	62341111	272	0.002557337095891889
chr11	65228434	65347477	275	0.00023669069781976366
chr11	66919618	67140796	286	0.006192389757900511
chr11	69434720	69553763	285	0.03636791821083815
chr11	70165110	70284154	276	0.02598597132058663
chr11	70971824	71178480	282	0.0021824572346158286
chr11	72854062	73181590	288	0.00625674282274468
chr11	73901947	74555388	270	0.002909964826760379
chr11	77540996	77660040	259	0.005524752930817899
chr11	81822736	82785608	268	0.00592549784413663
chr11	88179066	88819047	267	0.002049092222031889
chr11	91183729	91578517	277	0.0018414063497528693
chr11	100071333	100456683	262	0.004048753192453328
chr11	102318256	102445858	271	0.0020854000816538424
chr12	750855	984603	315	0.0022906044687683487
chr12	4005735	4630644	295	0.0038485216045776763
chr12	6495089	6729835	312	0.000304243715303075
chr12	19777246	20304059	293	0.01014636492076694
chr12	25088072	25291758	291	0.012015303272389569
chr12	26308757	26427801	311	0.0023756606769143435
chr12	27312183	27724555	300	0.009006663784477101
chr12	46271490	47236325	296	0.0020186223422630025
chr12	48096881	48215924	304	0.0006861047218799726
chr12	52494771	52613815	307	0.0007638003102682133
chr12	56477038	56596081	303	0.0005703078807490404
chr12	58142641	58261684	292	0.0010005567317497724
chr12	60147861	60485820	298	0.0028830712551609623
chr12	65893626	66407162	306	0.003286028060243689
chr12	67641689	67887068	314	0.0008499404730716704
chr12	69490369	69636780	317	0.011929989026492642
chr12	95808951	96199625	309	0.0009724446364813192
chr12	125136985	125256028	297	0.0004587850642260912
chr13	27726123	28583697	323	0.0032339755060652037
chr13	30777977	31270349	319	0.005779519081286097
chr13	54542287	55760400	325	0.0020148078803627436
chr13	71624228	72471666	326	0.002295973139160719
chr13	73860342	73979385	320	0.00439937068070879
chr13	106659219	107933285	322	0.004502403677038376
chr14	23728314	24063263	340	0.00038940097731234025
chr14	26800466	27255014	330	0.0024411971221727363
chr14	31251044	32181349	335	0.0017507975995443969
chr14	35775195	35986175	327	0.0029478671686714096
chr14	37812674	38058478	332	0.004364289340935368
chr14	41913376	42582518	338	0.0013616787144917247
chr14	50417151	50545245	329	0.0031407665276425934
chr14	61940424	62059467	341	8.383444757880591e-05
chr14	77434967	77554011	333	0.0007217336945412134
chr14	103578138	103790283	339	8.339508096563959e-05
chr14	105063008	105441266	343	0.0002048136118290436
chr15	25582394	25937167	350	0.003037647409286705
chr15	52141530	52835762	347	0.0025784773356065434
chr15	53463596	53760395	354	0.0010900747440722295
chr15	63556498	64026758	351	0.00033881145984249276
chr15	71820985	71940029	348	0.000993887739769946
chr15	72595833	72930283	353	0.000792237355017237
chr15	87405293	87541302	345	0.005649145067825847
chr15	90660290	90871493	349	0.0016457845389431602
chr15	93255720	93374763	346	0.0007980188677224354
chr16	1995842	2383828	368	0.0010388493117822386
chr16	4202082	4345377	373	0.00041997538637130426
chr16	11731483	11869700	359	0.001588538592326307
chr16	18839445	19602747	369	0.0012510956036041688
chr16	29044352	29740329	362	0.0018906860941999214
chr16	52299076	52736330	364	0.004091499459510332
chr16	69347010	69847488	370	0.0023348359041184645
chr16	77921525	78040568	366	0.0010786341154989014
chr16	79251739	79370782	363	1.1686940832297746e-05
chr17	31063757	31344450	384	0.007226222676783262
chr17	36040114	36220312	388	0.0007148582176769529
chr17	37814919	37933962	375	0.0414466706615007
chr17	46328894	46556435	383	0.004697810007864734
chr17	48593060	48789511	386	0.004767909122130306
chr17	50404258	50789048	377	0.007251832990150438
chr17	60648695	61741852	382	0.0071792205094890335
chr17	67196640	67890043	374	0.007261300301162559
chr17	73467763	73586807	381	0.0038493373355408898
chr17	77734233	78056848	390	0.002367925666833301
chr18	3374767	3499942	396	0.01115948916112053
chr18	9476695	10938627	406	0.004520367473095513
chr19	33519365	33816790	410	0.013329151472890677
chr19	35468671	35852015	417	0.0030424858621659113
chr19	37789605	38291932	408	0.01126100287914212
chr19	39664941	39859916	411	0.007918685445120059
chr19	45197410	45316453	412	0.0017580613473909326
chr2	4939908	5248723	51	0.0009032854579309137
chr2	28760823	28879866	44	0.00027703734074317337
chr2	43133499	43364389	48	0.00029496186100878407
chr2	56719500	57272851	55	0.001391912802588257
chr2	61280524	61940385	31	0.00218124564727782
chr2	67058791	67247154	50	0.0007046215312359105
chr2	85161928	85620345	39	0.0008431403789460069
chr2	103076527	103501295	38	0.004353383336646306
chr2	114022993	114142037	35	0.0009249666723856903
chr2	116118599	116503797	32	0.004363254236141437
chr2	117826949	118320719	60	0.001654174972772795
chr2	123203267	124277151	42	0.0010937651121240035
chr2	136759228	137287763	59	0.0004877934805872634
chr2	140652913	141053948	53	0.0016132245752265037
chr2	159524119	159891349	40	0.00079520394020244
chr2	177598943	178479541	33	0.006120423731594177
chr2	191054682	191532321	30	0.0021681511491763836
chr2	195089370	195978143	41	0.00299125903892348
chr2	204258457	204874921	57	0.00165739206374022
chr20	10866582	11863122	426	0.0037898632731835124
chr20	34059289	34178332	424	0.00561236483982753
chr20	42716839	43707813	427	0.005404724728657824
chr20	45958505	46077548	428	0.0029695241135829914
chr20	48654362	48886540	425	0.0028891404237348134
chr20	52134620	52253663	434	0.009187664218011964
chr20	55535014	56580230	430	0.0014259642008069408
chr20	58845327	59850940	432	0.004224669407648636
chr20	60877594	60996638	423	0.0017864478916949414
chr21	27563981	29211589	438	0.00041694345804544594
chr21	34741048	34860091	435	0.0014447968672374083
chr22	30272827	30451244	439	0.001607391083097573
chr22	38368335	38599485	442	0.002166178094469554
chr3	9236611	9447494	76	0.004689681621941504
chr3	13660266	13779309	71	0.00287539328476174
chr3	66678637	66815569	70	0.0011974262889354482
chr3	69271641	70119682	79	0.0031488994598957054
chr3	81546661	83261851	80	0.0021956999617420425
chr3	100992050	102444535	84	0.001953358677956355
chr3	107631968	107751012	78	0.0011095253717217526
