chrom	start	end	name	score
chr1	147194443	147313487	29	0.007369655181563632
chr1	150813077	150932121	31	0.007193732668264722
chr1	151845010	151964054	32	0.007210744780289632
chr1	152919219	153038263	35	0.001602008888515347
chr1	153959136	154078180	36	0.0012977565723975642
chr1	154947153	155066196	37	0.002082407380056042
chr1	155760478	155879522	38	0.00033818768342889897
chr1	160033731	160152774	40	0.0006969588128048882
chr1	161007968	161127012	41	0.007247073434439428
chr1	161853094	161972137	43	0.00046459045136025426
chr1	162574800	162693843	44	0.0010145838177943866
chr1	164117964	164237007	45	0.004572658825437331
chr1	168878647	168997691	47	0.0003755845805734062
chr1	172168022	172287065	48	0.002920218571732116
chr1	183100349	183219392	51	0.0005964816870625964
chr1	183821321	183940364	52	0.001793139326588129
chr1	201091706	201210749	56	0.00023891677971035784
chr1	204419795	204538839	59	0.001673113559415552
chr1	205342936	205461979	60	0.0004495437251616944
chr1	207110407	207229450	62	0.00022842296621799552
chr1	225761562	225880605	64	0.0005334147977657168
chr1	234966252	235085296	67	0.001519045613012649
chr1	239233116	239352159	70	0.010770179543369096
chr1	246568478	246687522	75	0.002206604930080334
chr10	5036270	5155313	561	0.0009469500727851971
chr10	9202100	9321144	562	0.0004210795780580382
chr10	11908478	12027522	563	0.00010726901483005047
chr10	13662215	13781258	565	0.000548722528467499
chr10	27295961	27415005	568	0.0005860365007068569
chr10	32296478	32415522	569	0.0005860539933143966
chr10	33215783	33334826	570	0.0006154658865981283
chr11	836478	955522	602	1.40638508081611e-06
chr11	13076478	13195522	608	9.251127712310654e-06
chr11	32204016	32323059	609	1.256822964554517e-05
chr11	34705617	34824660	611	4.509450728929337e-05
chr11	44224478	44343522	613	1.6532093745323848e-05
chr11	45971756	46090799	615	2.1558879979257007e-05
chr11	60785059	60904103	617	0.0009701113039343796
chr11	62027209	62146252	618	0.00047826577062439407
chr11	63390958	63510002	620	0.00012515790579733648
chr11	65168583	65287626	622	0.0004836081627065806
chr11	66880590	66999633	624	0.001967061429043559
chr11	67184478	67303522	625	0.0007297745329705552
chr11	69068573	69187616	627	0.008082553096873933
chr11	69569842	69688885	628	0.014255765434102868
chr11	70336478	70455522	630	0.009378436511931055
chr11	71203150	71322193	632	0.0002023877382415427
chr11	72950944	73069987	634	8.976757467759097e-05
chr11	74136680	74255723	635	0.0007066265433762962
chr11	75332245	75451288	637	0.0006298152868023923
chr11	76701764	76820807	639	0.0005222247950040709
chr11	77434562	77553605	640	0.003011172947815321
chr11	77724478	77843522	641	0.001357627619656309
chr11	81735827	81854871	647	0.001460786552047131
chr11	88333671	88452715	654	0.0006422533376202972
chr11	100752457	100871500	656	0.0008695223439698478
chr11	102125139	102244182	657	0.00045914117967061426
chr11	102424478	102543522	658	1.4258082381728466e-05
chr11	118420478	118539522	661	0.00018563863293224534
chr11	121162771	121281814	662	3.419894567954649e-05
chr12	872178	991221	665	0.002982441452450164
chr12	1593479	1712523	666	0.006468106767778893
chr12	4004449	4123492	668	0.0016938443708421171
chr12	6564395	6683439	670	0.0038124750445893544
chr12	9784478	9903522	672	0.0006156143818569398
chr12	12161850	12280893	674	0.0026036822826374234
chr12	13501591	13620634	676	0.00011654254681569904
chr12	20344104	20463147	677	0.011547144034736737
chr12	25283664	25403846	680	0.00807542246278955
chr12	26260478	26379522	681	0.005270983462299926
chr12	27514242	27633285	683	0.0026497025422405414
chr14	23936249	24055292	738	0.0001859949055918717
chr14	25324090	25443133	741	7.43460633315191e-05
chr14	26340478	26459522	742	0.0001630551702514059
chr14	27275529	27394572	743	0.0003258094285956545
chr14	31661179	31780222	744	0.00041400720384301916
chr14	33320478	33439522	745	1.0372597241521697e-05
chr14	35579222	35698265	747	0.0004310393617854298
chr14	36621247	36740290	748	0.0003801380877854832
chr14	36909790	37028833	749	0.0004806394149017815
chr14	37804478	37923522	751	0.0007666146735616896
chr14	39606827	39725871	753	0.00038830917386682034
chr14	50409638	50528681	755	0.0003332736654938475
chr14	64962248	65081292	758	1.764264803803379e-05
chr14	69078335	69197378	762	1.624081067258471e-05
chr14	75676478	75795522	763	4.823987452482427e-06
chr14	82010842	82129885	765	0.0001938751939683378
chr14	85777108	85896151	766	0.000359664975866407
chr14	98322393	98441436	767	0.00022994821470041945
chr14	103612478	103731522	768	4.740357850839606e-05
chr14	105144478	105263522	769	0.0003566678378857827
chr14	106448478	106567522	771	3.6049859008609876e-05
chr15	25969925	26088968	772	0.0007772597654871637
chr15	41144478	41263522	777	6.83455810918336e-05
chr15	52201922	52320965	779	0.000467641127241633
chr15	53677211	53796254	781	0.0007281515842151623
chr15	58596478	58715522	783	0.00016597373637644903
chr15	63790336	63909379	784	1.3616600608800255e-06
chr15	71924030	72043073	788	0.0003714607752460493
chr15	72822782	72941825	789	0.00010603114777319956
chr15	80167497	80286541	792	0.0003209686673198645
chr15	87092478	87211522	794	0.0010423957529776783
chr15	90617944	90736987	795	0.000537695818133083
chr15	93476478	93595522	796	0.0014785559674942187
chr16	864478	983522	799	0.0013717274080375253
chr16	2044617	2163661	800	0.0002853625422928402
chr16	2930698	3049741	801	6.084686993056098e-05
chr16	4204478	4323522	802	0.00011137619668185182
chr16	7732478	7851522	805	0.0016258661432652084
chr16	11380883	11499926	806	0.0007201716073590446
chr16	11694292	11813335	807	0.0011469036408719878
chr16	28155216	28274259	811	0.0036589257795806456
chr17	32315098	32438248	826	0.004631660035540413
chr17	36005703	36124746	829	0.0020551826727705095
chr17	37797672	37916715	831	0.008751240525683046
chr17	39080995	39200038	832	0.0020897977810328174
chr17	39700478	39819522	834	8.079415754384606e-06
chr17	46108860	46227903	838	0.0002658281975894418
chr17	47245218	47364261	839	0.0019299581582937599
chr17	48756478	48875522	840	0.0018781140580569628
chr17	50552478	50671522	841	0.003509614609738125
chr17	58040789	58159832	845	0.004273415911455297
chr17	63904546	64023589	848	0.0050139632006217325
chr17	71306739	71425782	850	0.0019767434208167413
chr17	73405696	73524739	851	0.006843304121980073
chr17	77736478	77855522	852	0.002425830881091706
chr17	79708478	79827522	853	0.002197711075516797
chr18	548478	667522	854	0.004027749446688115
chr18	3587884	3706927	856	0.006706406595736279
chr18	7038146	7157190	858	0.003081842758477126
chr18	9056478	9175522	860	0.002664635907389677
chr18	9836100	9955143	861	0.002551188071659764
chr19	33667544	33786587	889	0.0075425492193023904
chr19	35861811	35980854	891	0.008733166045871071
chr19	38249755	38368798	893	0.013236578546510221
chr19	39711092	39830136	894	0.013651756605229512
chr19	40125729	40244773	895	0.003912808842719477
chr19	40900478	41019522	896	0.0033500344313249974
chr19	45077262	45196306	900	0.0044312956548968364
chr19	55950744	56069787	903	0.0033618056424470767
chr2	16040478	16159522	79	0.000183950497892058
chr2	27637267	27756310	82	0.0037084254534434065
chr2	28837945	28956988	83	0.0007455029697007037
chr2	34287521	34406565	86	0.0011604962882444917
chr2	42137770	42256814	88	0.0006154887112086341
chr2	43062871	43181915	89	0.000649204333615371
chr2	47366340	47485384	93	0.0010376145037629904
chr2	56968397	57087440	95	0.001823151187482192
chr2	61461167	61580210	96	0.021534185979988314
chr2	62608231	62727274	97	0.008083868823147032
chr2	67280013	67399056	98	0.0012232997652246583
chr2	68109529	68228572	99	0.0011525288372942815
chr2	69844478	69963522	100	0.00014500254570824783
chr2	74388253	74507296	101	0.00076162558987512
chr2	82060478	82179522	103	0.006872382532990044
chr2	85409848	85528891	104	0.0006823332718231518
chr2	102672651	102791694	105	0.00016854581194596557
chr2	103136291	103255334	106	0.0009931763308078092
chr2	104588398	104707441	107	0.0011690013684732934
chr2	109381910	109500953	108	0.0006692689023624879
chr2	113872158	113991201	109	0.000465863014060139
chr2	114169194	114288237	110	2.83654928537714e-05
chr2	116534918	116653961	111	0.0009245688206870719
chr2	118114652	118233696	112	0.0001224212863940347
chr2	121848478	121967522	113	0.0019601827855701293
chr2	136528214	136647258	117	0.0001398200984510921
chr2	140973971	141093014	118	0.0002932211882431882
chr2	142598089	142717132	121	0.00018155644274052166
chr2	153080650	153199693	123	7.088714155944962e-05
chr2	159675513	159794556	125	0.00014695586954228948
chr2	160833554	160952597	127	0.0006525331889376059
chr2	173100478	173219522	128	0.001135623649695533
chr2	178092257	178211300	129	0.004064215096923563
chr2	178476478	178595522	130	0.000420389795885131
chr2	187441227	187560271	133	0.0005021831878462622
chr2	191058161	191177205	134	0.0012327027684923594
chr2	191812507	191931550	135	0.00010610811334723212
chr2	195685792	195804835	136	0.0003832541665638561
chr2	198494614	198613657	138	0.0019303406719837343
chr2	201183969	201303012	139	0.0004137808163097165
chr2	205219281	205338324	141	0.00026074972138468745
chr2	212112894	212231937	146	9.451291938515513e-05
chr2	214008478	214127522	150	9.687135133203798e-07
chr2	219155635	219274678	151	0.00014483884043429892
chr20	5689557	5808600	905	0.005440970377459938
chr20	15398466	15517509	907	0.003489126188496162
chr20	19940478	20059522	908	0.006961152820692645
chr20	34076149	34195193	909	0.009974021065515313
chr20	46007090	46126133	913	0.0006636274807963353
chr20	48228559	48347603	914	1.1424966825250304e-05
chr20	48749975	48869018	915	0.00134541448266169
chr20	49024478	49143522	916	0.0003009543537929106
chr20	50476478	50595522	917	7.210833074118214e-05
chr20	52327763	52446806	919	0.003624807983150469
chr20	55990973	56110017	921	0.0002581675972130628
chr20	61143303	61262346	925	0.0003607363074966187
chr20	62318010	62437054	926	0.0005136386584835895
chr22	22704478	22823522	936	0.011027326944566464
chr22	23382168	23501211	938	0.0013687572575847705
chr22	29686257	29805300	942	0.00048019882152233354
chr22	30536631	30655675	943	0.002498469767239378
chr22	31496478	31615522	944	0.0023814270206809715
chr22	38533077	38652120	947	0.004560866181447063
chr22	41668496	41787539	949	0.0007612741190592905
chr3	98840076	98959119	188	0.0028864840196233957
chr3	101767175	101886218	189	0.001705228028107907
chr3	107600920	107719964	190	0.00044074521431032327
chr3	110654095	110773138	191	0.003973545575974479
chr3	112114338	112233381	192	0.0037757728834037162
chr3	113803099	113922142	193	0.002619640199577654
chr3	115239836	115358879	195	0.0027450466742156565
chr3	116056405	116175448	196	0.0021966007004888977
chr3	138423169	138542212	200	0.004889030573979653
chr3	149163293	149282336	201	0.008594628139250991
chr3	168568478	168687522	204	0.018673560275681417
chr3	169350055	169469098	206	0.006944629025614729
chr3	169610953	169729996	207	0.015535538900200927
chr3	172160491	172279534	209	0.008045308013482806
chr3	173760882	173879925	210	0.003311725465720666
chr3	174356024	174475067	211	0.027689671088198958
chr3	175643447	175762490	214	0.00042768874752056434
chr3	176924925	177043968	215	0.0002433990389229485
chr3	178869195	178988238	216	0.011043152671465334
chr3	182795747	182914790	217	0.054086564990709636
chr3	184296478	184415522	218	0.014359194951545704
chr3	187655169	187774213	219	0.011980418901255683
chr3	188969961	189089004	221	0.003983256979765577
chr3	189712295	189831338	222	0.010676978292468886
chr3	190793176	190912219	223	0.011135649223650162
chr4	57793306	57912349	250	6.378851502736356e-05
chr4	58657511	58776554	251	0.0010947240822365134
chr4	66285266	66404309	255	0.0001224258036485338
chr4	69806448	69931964	256	0.00016599430962447795
chr4	72131284	72250327	258	0.00012917843576836367
chr4	73665171	73784214	259	0.00021137420939783597
chr4	74252992	74372035	260	0.0008037246037887013
chr4	74499323	74618366	261	5.897578819011745e-05
chr4	76231771	76350815	262	0.00031320389249209966
chr4	78148478	78267522	263	7.096648715248686e-05
chr4	87964185	88083229	266	2.3564923139995825e-05
chr4	90857975	90977018	267	5.528877749072126e-05
chr4	92031360	92150403	270	3.942202521681751e-06
chr4	92516478	92635522	271	2.899015668254412e-05
chr4	144399566	144518609	276	0.00014511423661707376
chr4	153928478	154047522	279	1.1210019650026497e-05
chr5	1220889	1339932	290	0.0120395637472262
chr5	2970817	3089860	293	0.011028434045404142
chr5	4087188	4206231	294	0.00680232699635723
chr5	5125696	5244739	295	0.0012520338671722657
chr5	8043689	8162733	298	0.007277502496411191
chr5	10102404	10221447	299	0.004273411393045048
chr5	14389391	14508435	302	0.024836736170862267
chr5	17068478	17187522	304	0.004233136212393023
chr5	22195817	22314860	305	0.01954895727443796
chr5	25456786	25575829	307	0.016686834062493876
chr5	31118924	31237968	311	0.006603006649894336
chr5	32174237	32293280	313	0.01017452251046394
chr5	36233772	36352815	316	0.009163119603875503
chr5	39274894	39393937	318	0.010823304923763277
chr6	2653755	2772798	352	0.0004154099282829515
chr6	4545300	4664343	353	2.576527562334293e-05
chr6	6901319	7020362	355	0.0012780767569397036
chr6	11249784	11368827	356	0.001023763304664711
chr6	13383912	13502955	357	0.0003887092934656153
chr6	18320478	18439522	358	0.001919085684648494
chr6	20392478	20511522	359	0.0002901047386694109
chr6	21555199	21729893	361	0.0007798722029372909
chr6	26273608	26392651	363	0.00011266282793494686
chr6	30604478	30723522	366	0.0014358961818592897
chr6	31776478	31895522	368	0.0023619994076945483
chr6	32795512	32914555	370	0.0003213232147647406
chr6	34229963	34349006	372	6.164602429640465e-05
chr6	37202440	37321483	373	0.0009170781995916299
chr6	39750845	39869889	375	0.0006923263093827522
chr6	41353592	41472635	376	0.0011301449822472226
chr6	41792782	41911825	377	0.0013423292884776395
chr6	42556478	42675522	378	0.00030051323090585306
chr6	43384478	43503522	380	0.0007002326193239173
chr6	43792478	43911522	381	0.002793570487191443
chr6	47792478	47911522	383	0.0026811049247680786
