chrom	start	end	name	score
chr1	151282142	151401185	28	0.022760455517480793
chr1	153746271	153865314	29	0.001054709763601509
chr1	160085162	160204205	33	0.0022018458388231186
chr1	169153675	169272718	36	0.00028463250644090245
chr1	172187888	172306931	37	0.00014666656727220124
chr1	202869279	202988322	41	0.0006247677503722053
chr1	204397458	204516501	42	0.0007414146282505063
chr1	234656732	234775775	44	0.0030841896548460266
chr1	244365314	244484357	46	0.006538630049196055
chr10	59933360	60052403	337	7.4121196197331255e-06
chr10	63832520	63951563	339	3.3894206583150574e-05
chr10	72228549	72347593	341	1.1807761133339949e-06
chr10	74945633	75064677	343	3.221771931763297e-05
chr10	75355334	75474377	344	2.5663926195000565e-05
chr10	77574522	77693566	347	5.392271900881138e-06
chr10	79044249	79163293	348	9.120509177430287e-06
chr10	81713553	81832597	349	2.5311072075905945e-05
chr10	121317551	121436594	353	2.8159293321995848e-06
chr11	61165006	61284050	361	0.0002648634244860023
chr11	62433006	62552050	362	0.00022726912382710194
chr11	64133006	64252050	364	0.0002556833442696022
chr11	65654705	65773748	366	8.111099528943327e-05
chr11	66685511	66804554	367	0.0012590872408220109
chr11	67368137	67487180	368	0.0007712373482636066
chr11	69155543	69274587	370	0.003634664381615831
chr11	69597710	69716754	371	0.01419202286117392
chr11	70433449	70552493	372	0.008503008832276173
chr11	71369432	71488476	374	0.0018322454386123157
chr11	73027923	73146967	376	6.825156600273305e-05
chr11	74369433	74488477	377	0.0003386850207067029
chr11	78034996	78154039	379	0.0030841337859382266
chr11	79467049	79586093	381	0.0009360334694460081
chr11	82523314	82642357	384	0.0002800638519242024
chr11	89114424	89233467	387	0.0003849402825412033
chr11	101410918	101529962	388	0.0030743557197218264
chr11	102555660	102674704	389	0.0004335882111302037
chr11	118537763	118656812	390	1.2276227304986302e-05
chr12	520262	639306	392	0.002813248163897024
chr12	3831312	3950356	394	0.0026215163902854224
chr12	6483312	6602356	395	0.0020533982860153174
chr12	11921039	12040082	396	0.0013188363648976114
chr12	21225138	21344181	399	0.014104939821565821
chr12	25027192	25146235	401	0.003832878758484933
chr12	26084300	26203344	403	0.004608060489829339
chr13	24296253	24416042	421	3.4294097977702815e-05
chr13	27753572	27872615	422	0.0011809966278995103
chr13	30365547	30484590	423	0.001058487774466409
chr13	73253179	73372222	428	0.0017893375589171155
chr13	113340191	113459234	435	0.0002859269824534024
chr14	23422849	23541892	436	0.0020276015951794174
chr14	26642105	26761148	437	0.004171442979123936
chr14	31239709	31358752	438	0.002915749194910025
chr14	34447942	34566986	440	0.0015824101097149134
chr14	36647359	36766402	441	0.004262983994997737
chr14	37431273	37550317	442	0.003142852725199027
chr14	41845064	41964107	444	0.0012542553249093105
chr14	49873760	49992804	445	0.006441604764131355
chr14	61594970	61714013	446	0.0003414854843045029
chr14	64676947	64795990	447	0.0013387324447649116
chr14	67363939	67482982	449	4.937551667626112e-06
