chrom	start	end	name	score
chr1	5742084	5861127	1	0.01717083838234664
chr1	8642934	8761977	3	0.012709076698874564
chr1	10500478	10619522	5	0.002124191728797366
chr1	15229765	15348808	7	0.006619351042961105
chr1	72328478	72447522	23	0.006945353713058198
chr10	58675021	58794064	580	0.00015433783928567722
chr10	68270594	68389637	584	0.0005571859841039991
chr10	76011836	76130879	588	0.00022136480102035157
chr10	80185760	80304803	593	0.0013659789226746729
chr10	89834203	89953246	596	0.0028418413671955746
chr10	111177571	111296614	598	0.000508741906814735
chr11	1083591	1202634	603	0.005557237141445588
chr11	5540478	5659522	606	0.0005203035516145428
chr11	34492478	34611522	610	0.020498911318488015
chr11	38609512	38728555	612	0.008605051652487095
chr11	60576478	60695522	616	0.0034916026491022567
chr11	62927250	63046293	619	0.0015554590227327245
chr11	64097437	64216481	621	0.0018965445105311768
chr11	65762046	65881089	623	0.0011088678180100635
chr11	69820468	69939512	629	0.0015127929587246576
chr11	70746148	70865191	631	0.0001500009874242324
chr11	71621977	71741020	633	0.0008489306122451755
chr11	74427239	74546283	636	0.0002508399701527043
chr11	76327656	76446699	638	0.0012093098291556658
chr11	78663286	78782329	643	0.00010513701089910946
chr11	79319856	79438899	644	0.0007092459474740694
chr11	80422058	80541101	645	0.0014586460542737837
chr11	81051356	81170399	646	0.0006621337141225877
chr11	83714596	83833639	649	9.014124884797498e-05
chr11	84260478	84379522	650	0.0006041838571451642
chr11	84877921	84996965	651	8.729237562949523e-05
chr11	85459946	85578989	652	4.790944411468053e-05
chr11	86124478	86243522	653	3.3962977745759036e-05
chr11	88645278	88802542	655	0.00018007280194570158
chr12	48020226	48139269	688	0.007450383060641296
chr12	51392651	51511695	689	0.005205156208966013
chr12	52770114	52889158	691	0.00016235957875539362
chr12	58871776	58990819	697	1.646005005939237e-05
chr12	66995436	67114479	700	0.0016611665571654999
chr12	70640478	70759522	704	0.005285166430774372
chr12	76491045	76610088	707	0.002615499392901935
chr14	67358596	67477639	759	0.015724030599150236
chr14	68520478	68639522	761	0.0010939514019625229
chr15	27629324	27748368	773	0.001935000588117816
chr15	32116571	32235614	774	0.01824257293363296
chr15	40684283	40803327	776	0.006889652993334837
chr15	42035926	42154970	778	0.016340714822987285
chr15	57386282	57505326	782	0.002973441156449682
chr15	74972745	75091788	790	0.002656890765049918
chr16	71131482	71250525	816	1.6192177755700374e-06
chr16	72588478	72707522	817	0.0018108535175559487
chr16	78658897	78777941	819	0.0012943271127736206
chr16	83047323	83166366	821	0.05148802863008081
chr17	7319101	7438144	822	0.10528223492560689
chr17	11868478	11987522	823	0.05452111775489039
chr18	37131320	37250363	873	6.214034296252935e-06
chr18	48462420	48581464	875	0.006958935118058613
chr18	48918238	49037281	876	0.011142289095846605
chr18	50556478	50675522	877	0.006059895341817783
chr19	9171693	9290736	883	0.0030987218862827256
chr19	11999625	12118668	885	0.00597789348217466
chr2	136156535	136275579	116	0.0026124439427771306
chr2	141785715	141904759	120	0.007422275855118013
chr2	148983654	149102697	122	0.0016042600458458106
chr2	205798285	205917328	142	0.0005411434599316346
chr2	213455331	213574374	148	3.208605736403609e-05
chr2	213717438	213836481	149	0.0005581010321773151
chr20	14944478	15063522	906	0.0772179936745596
chr22	25656478	25775522	939	0.0009414095708952489
chr22	28477337	28596381	940	0.005172230125901479
chr22	29276921	29395964	941	0.004683485066550434
chr22	34072478	34191522	945	0.0064043156038096506
chr22	40520478	40639522	948	0.00015414811302654125
chr22	49376478	49495522	950	0.01777216537359439
chr3	4446502	4565545	160	0.011359205131931354
chr3	47986493	48105537	171	0.029094071372845996
chr3	49730499	49849542	172	0.017134207108305287
chr3	60395102	60514145	178	0.027467248626609788
chr3	61704478	61823522	180	0.006722198799851703
chr3	71416982	71536025	184	0.012188881778952457
chr3	72398598	72517641	185	0.02123540319650541
chr4	86644671	86763714	264	0.0033721879462106155
chr4	87520478	87639522	265	0.0075364358698463306
chr4	91744478	91863522	269	0.003513459630781711
chr4	93694926	93813969	272	0.00035561407234382296
chr4	106477503	106596546	273	0.0037126512259200123
chr4	182163588	182282631	283	0.034592777413213614
chr4	183312478	183431522	284	0.00031935065247707723
chr4	185181895	185300938	285	0.004371562765360405
chr4	187517160	187636204	286	0.004233269935569262
chr4	188508002	188627046	287	0.003853032543116861
chr5	109837700	109956743	331	0.06469897727426697
chr5	130913647	131032691	335	0.02293770564553946
chr5	165516769	165635812	343	0.01952065776720136
chr6	68821709	68950989	389	0.006570029037663027
chr6	162686521	162805565	404	0.011842779887461711
chr6	168270154	168389198	405	0.0037695760253518055
chr7	69427824	69546867	428	0.004082083211627989
chr7	109976478	110095522	448	0.0023581081983797747
chr7	110379648	110498692	449	0.009156099329714297
chr7	110764503	110883546	450	0.0024182804692365095
chr7	124894524	125013567	453	0.00124902939514376
chr7	127430271	127549314	454	0.0015668406535499528
chr8	3692478	3811522	472	0.03351685058416739
chr8	4390842	4509885	473	0.011575781363174624
chr8	6241429	6360473	475	0.0001390165797545319
chr8	30072478	30191522	483	0.021054461140880297
chr8	34884478	35003522	488	0.023573112586651478
chr9	9352478	9471522	526	0.00010019397831198745
chr9	11656478	11775522	528	0.0008525956568799861
chr9	14069123	14188166	530	0.00041435828258561347
chr9	17198330	17317373	533	2.252522511179902e-06
chr9	21920478	22039522	536	0.0008151282590848144
chr9	28712034	28831077	539	0.001186937582240784
chr9	30316478	30435522	541	0.001186937582240784
chr9	31884478	32003522	544	0.0009371744964327147
