chrom	start	end	name	score
chr1	23421985	23541031	10	0.019429080141370236
chr1	26967700	27086743	12	0.031056725481346255
chr1	110557228	110676272	27	0.04068932448063017
chr10	88074446	88193489	596	0.18640687812773293
chr11	45736875	45855918	614	0.13661026092345535
chr13	48899883	49018926	722	0.00531299408977071
chr13	50313134	50432178	723	0.005358750195514409
chr14	33222550	33341593	746	0.013029368998771822
chr14	37786476	37905520	752	0.020145295793218734
chr14	39978482	40097525	754	0.0015002355349048027
chr15	40392082	40511128	776	0.0014666227665785026
chr15	41743728	41862772	778	0.013787863298001024
chr15	57094084	57213128	782	0.0022953652034186037
chr16	6546142	6665185	803	0.023667902716273143
chr16	52742229	52861272	812	0.08294011772783055
chr16	71097579	71216622	816	2.0695152057084163e-06
chr16	72554579	72673623	817	0.002314444015150004
chr16	78625000	78744044	819	0.001654273860786003
chr16	83013718	83132761	821	0.09022590717338887
chr19	1496278	1615321	881	0.014066937502197924
chr19	11888810	12007853	885	0.0025669092648571046
chr2	133094905	133213950	115	0.01220259981963462
chr2	135398965	135518009	116	0.027907598580573848
chr2	141028146	141147190	120	0.036092877877583765
chr2	204933562	205052605	142	0.003870661245990707
chr2	212590607	212709650	148	0.00022950339045260042
chr2	212852714	212971757	149	0.003991954438235407
chr21	28991576	29110619	927	0.00031051946560740055
chr3	47945003	48064047	171	0.01573319138602613
chr3	49693066	49812109	172	0.041018007417053276
chr3	60409369	60528412	178	0.000610468573247601
chr3	61718804	61837848	180	0.004178137225758108
chr3	71367831	71486874	184	0.0014844169702673026
chr3	72349447	72468490	185	0.0005831556514514011
chr3	81705841	81824884	187	0.01852513840386383
chr8	3834956	3954000	472	0.11506621485957091
chr8	136685828	136804871	515	0.0027271869203720047
chr9	97084367	97203410	552	0.02094104096390814
