chrom	start	end	name	score
chr1	2985731	3355185	ENSG00000142611	0.006572635898339514
chr1	6241328	6269449	ENSG00000116251	0.008444950311984561
chr1	6845383	7829766	ENSG00000171735	0.008444950311984561
chr1	15817326	15853029	ENSG00000132906	0.0028350775893208687
chr1	16174358	16266955	ENSG00000065526	0.0028350775893208687
chr1	17345216	17380665	ENSG00000117118	0.0028350775893208687
chr1	17866329	18024369	ENSG00000074964	0.0028350775893208687
chr1	18957499	19075360	ENSG00000009709	0.005309313362044546
chr1	23884408	23886285	ENSG00000117318	0.00041983812568423983
chr1	23907984	23967058	ENSG00000197880	0.000419838125684241
chr1	27022523	27108595	ENSG00000117713	0.007223469011249282
chr1	35641978	35658749	ENSG00000116560	0.006847251640127512
chr1	43803477	43818443	ENSG00000117400	0.0005519515846822543
chr1	45794834	45806142	ENSG00000132781	0.006738679162111375
chr1	47681961	47697892	ENSG00000162367	0.006738679162111375
chr1	47715810	47779819	ENSG00000123473	0.006738679162111375
chr1	51426416	51440305	ENSG00000123080	0.008166491905084797
chr1	51819934	51985000	ENSG00000085832	0.001321208538923835
chr1	65298911	65432187	ENSG00000162434	0.007053473956005121
chr1	85731930	85742773	ENSG00000142867	0.0022345134543278427
chr1	93297581	93307481	ENSG00000122406	0.002373206180378604
chr1	110881127	110889299	ENSG00000162775	0.005751921058044638
chr1	114935398	115053781	ENSG00000197323	0.00901509956633839
chr1	115247089	115259515	ENSG00000213281	0.00901509956633839
chr1	116915289	116952883	ENSG00000163399	0.01626857808747478
chr1	144836156	145076186	ENSG00000178104	0.028344969861953156
chr1	157543538	157567870	ENSG00000163518	0.000964470866998815
chr10	855483	977564	ENSG00000107929	0.011936521364093233
chr10	8095566	8117161	ENSG00000107485	0.0037952706769035886
chr10	21823093	22032559	ENSG00000078403	0.00479972877372272
chr10	27035521	27150016	ENSG00000136754	0.006921367059804226
chr10	31607423	31818742	ENSG00000148516	0.00340479001779187
chr10	32297937	32345359	ENSG00000170759	0.00340479001779187
chr10	51565107	51590734	ENSG00000138293	0.010232448199150345
chr10	52559168	52645435	ENSG00000148584	0.010232448199150345
chr10	61548520	61666414	ENSG00000108091	0.003933287120776293
chr10	70320412	70454239	ENSG00000138336	0.012888740654558742
chr10	72357103	72362531	ENSG00000180644	0.012888740654558742
chr10	76585339	76792380	ENSG00000156650	0.0019283701389490975
chr10	81462982	81474437	ENSG00000188199	0.009172278717989755
chr10	88516406	88692595	ENSG00000107779	0.024164772680532343
chr10	89117424	89130452	ENSG00000214562	0.024164772680532343
chr10	89622869	89731687	ENSG00000171862	0.02416477268053234
chr10	90750413	90775542	ENSG00000026103	0.008623512260031435
chr10	93806448	94050844	ENSG00000107864	0.007365475919534874
chr10	96796529	96829254	ENSG00000138115	0.007933575216931972
chr10	102889256	102897545	ENSG00000107807	0.006886675087316722
chr10	104153866	104162281	ENSG00000077150	0.006886675087316722
chr10	104263743	104393292	ENSG00000107882	0.006886675087316722
chr10	104845939	104953056	ENSG00000076685	0.006886675087316722
chr10	114206755	114578503	ENSG00000151532	0.005039064129952968
chr10	114710008	114927437	ENSG00000148737	0.0061223236414146434
chr10	123237847	123357972	ENSG00000066468	0.002906129233358702
chr10	131265447	131566271	ENSG00000170430	0.011490499490482538
chr11	532241	537287	ENSG00000174775	0.003491432655870461
chr11	3022151	3078843	ENSG00000110619	0.006338388198928654
chr11	3692312	3819022	ENSG00000110713	0.006338388198928654
chr11	8245850	8290263	ENSG00000166407	0.00600856431057722
chr11	17741114	17743678	ENSG00000129152	0.007345156362853838
chr11	22644078	22647387	ENSG00000183161	0.005326170046068525
chr11	32409320	32457176	ENSG00000184937	0.008067364349938337
chr11	44117098	44266979	ENSG00000151348	0.0026485380158872713
chr11	46299211	46342972	ENSG00000157613	0.004676797683133559
chr11	47236492	47260767	ENSG00000134574	0.004676797683133559
chr11	61197513	61215001	ENSG00000167985	0.013870012285920311
chr11	61560108	61564716	ENSG00000168496	0.013870012285920311
chr11	64570981	64578766	ENSG00000133895	0.0859925176560819
chr11	85668726	85780924	ENSG00000073921	0.004269470987143273
chr11	85955585	85989855	ENSG00000074266	0.0042694709871432725
chr11	92085261	92629618	ENSG00000165323	0.006047593808407227
chr11	95709761	96076344	ENSG00000184384	0.008747042984712293
chr11	108093210	108239829	ENSG00000149311	0.023705286239117624
chr11	108535751	108811657	ENSG00000178105	0.006370259445956171
chr11	111222976	111326355	ENSG00000110777	0.006806048386282825
chr11	111957496	111990353	ENSG00000204370	0.006806048386282825
chr11	113930314	114121398	ENSG00000109906	0.006806048386282825
chr11	117014982	117047610	ENSG00000168092	0.008028145357978153
chr11	120207786	120360645	ENSG00000196914	0.0018332237399113869
chr11	128556429	128683162	ENSG00000151702	0.0008543885578821509
chr11	128761250	128790930	ENSG00000120457	0.0008543885578821509
chr12	11802787	12048336	ENSG00000139083	0.006896180344151394
chr12	12867991	12875305	ENSG00000111276	0.006896180344151394
chr12	22778008	22843599	ENSG00000139163	0.015272958138545137
chr12	27676363	27848497	ENSG00000110841	0.000663298288971439
chr12	49962000	50038449	ENSG00000110844	0.005928510337702392
chr12	50478754	50494495	ENSG00000066117	0.005928510337702392
chr12	51157492	51214905	ENSG00000123268	0.005928510337702392
chr12	52345450	52390862	ENSG00000135503	0.005928510337702392
chr12	54332534	54340328	ENSG00000123364	0.025835476955916866
chr12	54366909	54371427	ENSG00000123388	0.025835476955916866
chr12	65444405	65515346	ENSG00000156076	0.04291147008160812
chr12	66217910	66360075	ENSG00000149948	0.04291147008160812
chr12	70910629	71031220	ENSG00000127329	0.03187383815978838
chr12	92536285	92539673	ENSG00000133639	0.004033028940365497
chr12	104849072	105155792	ENSG00000171310	0.0004226986815169577
chr12	133200347	133263951	ENSG00000177084	0.0038648024009955424
chr13	20532809	20665968	ENSG00000121741	0.0053699324717452175
chr13	21547170	21635686	ENSG00000150457	0.005369932471745217
chr13	32889610	32973805	ENSG00000139618	0.004777401841865107
chr13	35516423	36247159	ENSG00000172915	0.004859189144011535
chr13	41129803	41240734	ENSG00000150907	0.007774774668104847
chr13	46700054	46786006	ENSG00000136167	0.010413466339436605
chr13	48877886	49056122	ENSG00000139687	0.010413466339436605
chr13	49280950	49283498	ENSG00000152207	0.01258836407585793
chr13	92050928	93519490	ENSG00000179399	0.0038608151179074027
chr13	95361885	95364389	ENSG00000125285	0.004934468386588612
chr13	103497193	103528345	ENSG00000134899	0.008856321934750402
chr14	20779526	20801471	ENSG00000100814	0.012962160142130662
chr14	30045686	30661104	ENSG00000184304	0.007295653135895699
chr14	32545319	32628934	ENSG00000100852	0.01643920990056409
chr14	56025789	56168244	ENSG00000126777	0.005367400876436727
chr14	61110132	61124977	ENSG00000126778	0.004487746744031559
chr14	62162230	62214976	ENSG00000100644	0.004127458584366753
chr14	65472891	65569413	ENSG00000125952	0.00484189885275442
chr14	66974124	67648520	ENSG00000171723	0.00484189885275442
chr14	68286495	69196935	ENSG00000182185	0.005343697728855987
chr14	81421332	81612646	ENSG00000165409	0.0025282359571432
chr14	92432334	92507240	ENSG00000100815	0.0056576570214589145
chr14	93260575	93306308	ENSG00000066455	0.005657657021458915
chr14	95552564	95624347	ENSG00000100697	0.004356431348457225
chr14	96176303	96180533	ENSG00000100721	0.004356431348457225
chr14	99635623	99737861	ENSG00000127152	0.003929748606215826
chr14	102547074	102606036	ENSG00000080824	0.001370778086921789
chr14	105235685	105262088	ENSG00000142208	0.0025594527406946044
chr15	34635515	34649938	ENSG00000184507	0.0037034556826147113
chr15	40453223	40513337	ENSG00000156970	0.011294052290615364
chr15	40674921	40686447	ENSG00000128944	0.011294052290615364
chr15	45003674	45011075	ENSG00000166710	0.007779295296011214
chr15	52599479	52821247	ENSG00000197535	0.0007976099762343451
chr15	55700745	55710962	ENSG00000261652	0.01138456224879257
chr15	57210820	57591479	ENSG00000140262	0.01138456224879257
chr15	66679154	66784650	ENSG00000169032	0.0052826727976941455
chr15	67356100	67487533	ENSG00000166949	0.005224753002799056
chr15	74287013	74340153	ENSG00000140464	0.007242518047532967
chr15	88418229	88799999	ENSG00000140538	0.004763552877612611
chr15	89859533	89878092	ENSG00000140521	0.004763552877612609
chr15	90626276	90645736	ENSG00000182054	0.005779669432965598
chr15	91073156	91188577	ENSG00000140577	0.005779669432965598
chr15	91260557	91358859	ENSG00000197299	0.005779669432965598
chr15	91426924	91439006	ENSG00000182511	0.005779669432965598
chr15	93426525	93571237	ENSG00000173575	0.005804477370783869
chr16	337439	402673	ENSG00000103126	0.0021655273569374522
chr16	2089815	2097867	ENSG00000065057	0.0021655273569374522
chr16	2097465	2138716	ENSG00000103197	0.0021655273569374522
chr16	2205698	2228130	ENSG00000131653	0.0021655273569374522
chr16	3775054	3930727	ENSG00000005339	0.003249492221428734
chr16	15797028	15950890	ENSG00000133392	0.0009345025410911304
chr16	50775960	50835846	ENSG00000083799	0.012908664949095027
chr16	56965959	56977798	ENSG00000051108	0.007914199301950453
chr16	64977655	65160015	ENSG00000140937	0.004337574020279859
chr16	67063018	67134961	ENSG00000067955	0.005494847574173146
chr16	67596309	67673086	ENSG00000102974	0.005494847574173146
chr16	68771127	68869451	ENSG00000039068	0.005494847574173146
chr16	72816783	73093597	ENSG00000140836	0.008154694241889896
chr16	74655291	74700779	ENSG00000168411	0.008154694241889896
chr16	79619739	79634611	ENSG00000178573	0.007330102634395585
chr17	1247565	1303672	ENSG00000108953	0.0020013072070504518
chr17	5019732	5078329	ENSG00000129204	0.005507447817768623
chr17	5185557	5289129	ENSG00000029725	0.005507447817768623
chr17	7387684	7417933	ENSG00000181222	0.014173335702734111
chr17	7565096	7590856	ENSG00000141510	0.014173335702734114
chr17	8043789	8059824	ENSG00000179094	0.014173335702734111
chr17	9813925	10101868	ENSG00000007237	0.008597030637294313
chr17	11924140	12047147	ENSG00000065559	0.008597030637294313
chr17	15932470	16121499	ENSG00000141027	0.02108532311631502
chr17	17115525	17140502	ENSG00000154803	0.02108532311631502
chr17	29421944	29709134	ENSG00000196712	0.00964358011306544
chr17	30264036	30328064	ENSG00000178691	0.00964358011306544
chr17	34136458	34191619	ENSG00000172660	0.024767845987900345
chr17	36861794	36886056	ENSG00000108292	0.02476784598790034
chr17	40351185	40428725	ENSG00000173757	0.06365792715886931
chr17	40465341	40540586	ENSG00000168610	0.06365792715886931
chr17	41196311	41277500	ENSG00000012048	0.06365792715886932
chr17	41605211	41656988	ENSG00000175832	0.06365792715886932
chr17	55333211	55762046	ENSG00000153944	0.011658052787999904
chr17	56429860	56494956	ENSG00000108375	0.011658052787999904
chr17	62006099	62009714	ENSG00000007312	0.00023915859211974763
chr17	62495733	62504317	ENSG00000108654	0.00023915859211974763
chr18	22641889	22932154	ENSG00000198795	0.019072929303166782
chr18	23596577	23671181	ENSG00000141380	0.019072929303166786
chr18	42260137	42648475	ENSG00000152217	0.007062394965355055
chr18	45357921	45457515	ENSG00000175387	0.007188596507525635
chr18	48494409	48611415	ENSG00000141646	0.02244791685090791
chr18	49866541	51057784	ENSG00000187323	0.02244791685090791
chr18	56338617	56417371	ENSG00000172175	0.010998206616747214
chr18	60790578	60987361	ENSG00000171791	0.0040726067150902495
chr18	60994958	61034743	ENSG00000119537	0.0040726067150902495
chr19	676391	683385	ENSG00000070404	0.009166411241341323
chr19	1189405	1228428	ENSG00000118046	0.009166411241341323
chr19	1609290	1652604	ENSG00000071564	0.009166411241341323
chr19	3094407	3124002	ENSG00000088256	0.008681329348591229
chr19	4090318	4124126	ENSG00000126934	0.008681329348591229
chr19	4360366	4400544	ENSG00000141985	0.008681329348591227
chr19	6212965	6279959	ENSG00000130382	0.004790208117182739
chr19	6772724	6857377	ENSG00000141968	0.004790208117182739
chr19	7804878	7812464	ENSG00000090659	0.004790208117182739
chr19	8959519	9092018	ENSG00000181143	0.004790208117182739
chr19	33369901	33462897	ENSG00000121289	0.006274742469857865
chr19	33790839	33793470	ENSG00000245848	0.006274742469857865
chr19	34663408	34720420	ENSG00000257103	0.017508312397557454
chr19	40736223	40791443	ENSG00000105221	0.02154695943808162
chr19	42381189	42385439	ENSG00000105369	0.021546959438081617
chr19	42772688	42799949	ENSG00000079432	0.021546959438081617
chr19	47421932	47508334	ENSG00000160007	0.03008837835607266
chr19	49458071	49465055	ENSG00000087088	0.03008837835607266
chr2	24714782	24993571	ENSG00000084676	0.0010461255530224624
chr2	25455844	25565459	ENSG00000119772	0.0010461255530224624
chr2	25956621	26101385	ENSG00000143970	0.0010461255530224624
chr2	32582095	32843966	ENSG00000115760	0.00032562747479485295
chr2	37070782	37193615	ENSG00000115808	6.192253238985629e-05
chr2	42396489	42559688	ENSG00000143924	0.0023295614953317387
chr2	45232299	45236569	ENSG00000170577	0.0023295614953317387
chr2	100162322	100759201	ENSG00000144218	0.0006093980108236711
chr2	107021445	107084832	ENSG00000153165	0.0011049245825639014
chr2	128014865	128051752	ENSG00000163161	0.0025723694177699854
chr2	136871918	136875735	ENSG00000121966	0.0006894465768153235
chr2	140988991	142889270	ENSG00000168702	0.00912188281232344
chr2	148602085	148688393	ENSG00000121989	0.0012261189929785995
chr2	187454791	187545628	ENSG00000138448	0.0017904897474054528
chr2	202098165	202152434	ENSG00000064012	6.308658987955126e-05
chr2	204571197	204603635	ENSG00000178562	0.0005958411888710248
chr2	212240445	213403565	ENSG00000178568	0.001392153199715847
chr2	215590369	215674428	ENSG00000138376	0.0024987880530480708
chr21	36160097	37376965	ENSG00000159216	0.002461805601622786
chr21	39751948	40033704	ENSG00000157554	0.006565046103013279
chr21	42836477	42903043	ENSG00000184012	0.009156227077239967
chr21	44513065	44527697	ENSG00000160201	0.009156227077239967
chr22	22108788	22221970	ENSG00000100030	0.011611831777273034
chr22	23521890	23660224	ENSG00000186716	0.011611831777273034
chr22	24129149	24176703	ENSG00000099956	0.011611831777273034
chr22	28144264	28197486	ENSG00000169184	0.006825951806876796
chr22	29083730	29138410	ENSG00000183765	0.006825951806876798
chr22	29279579	29453475	ENSG00000183579	0.006825951806876798
chr22	29663997	29696515	ENSG00000182944	0.006825951806876798
chr22	29999544	30094587	ENSG00000186575	0.006825951806876798
chr22	31721789	31742218	ENSG00000100105	0.0014795667120553874
chr22	35462128	35483380	ENSG00000175329	0.01327789919201637
chr22	39619363	39640756	ENSG00000100311	1.6907238269667918e-05
chr22	41487789	41576081	ENSG00000100393	1.6907238269667918e-05
chr3	9022274	9404737	ENSG00000196220	0.004939132125881557
chr3	10068097	10143614	ENSG00000144554	0.0049232623069567815
chr3	10182691	10193904	ENSG00000134086	0.0049232623069567815
chr3	30647993	30735634	ENSG00000163513	0.0025129144733473416
chr3	32993065	32997841	ENSG00000183813	0.002512914473347341
chr3	37034822	37107380	ENSG00000076242	0.003828818622997472
chr3	38179968	38184513	ENSG00000172936	0.003828818622997472
chr3	41236327	41301587	ENSG00000168036	0.0010996845849990146
chr3	47057918	47205457	ENSG00000181555	0.006637470068317018
chr3	48701363	48723797	ENSG00000213672	0.01020255915904216
chr3	49396577	49450431	ENSG00000067560	0.01020255915904216
chr3	52435028	52444366	ENSG00000163930	0.004295652374573719
chr3	52579367	52719933	ENSG00000163939	0.004295652374573719
chr3	53528682	53847760	ENSG00000157388	0.004295652374573719
chr3	59735035	61237133	ENSG00000189283	0.008195978441035067
chr3	75955845	77699115	ENSG00000185008	0.006920294230371608
chr3	176737142	176915261	ENSG00000177565	0.0012303595077856379
chr3	186500993	186507689	ENSG00000156976	0.003930435790656675
chr3	187439164	187463515	ENSG00000113916	0.003930435790656675
chr3	187871071	188608460	ENSG00000145012	0.003930435790656678
chr4	1795033	1810599	ENSG00000068078	0.0010997647505231005
chr4	25656922	25680370	ENSG00000157765	0.005435250562137522
chr4	40058445	40159872	ENSG00000078177	0.005263122615909045
chr4	40192672	40248587	ENSG00000168421	0.005263122615909045
chr4	41746098	41750987	ENSG00000109132	0.009214061670433605
chr4	55944643	55991756	ENSG00000128052	0.004381874173764154
chr4	87515467	87736324	ENSG00000163629	0.007947643338885852
chr4	87856153	88062206	ENSG00000172493	0.007947643338885852
chr4	99182534	99365012	ENSG00000138698	0.008915213263659308
chr4	106067031	106200973	ENSG00000168769	0.010336838434757
