chrom	start	end	name	score
chr1	5682024	5801067	1	0.039734401855224415
chr1	8582875	8701918	3	0.021887877550509804
chr1	10440421	10559465	5	0.0012595918982849098
chr1	23421985	23541031	10	0.016644250872122072
chr1	26967700	27086743	12	0.02660527036879574
chr11	71910931	72029974	633	0.020282031180010388
chr11	86413436	86532480	653	0.00605655874508726
chr11	114476231	114595275	659	0.010174177706620506
chr11	124236556	124356404	663	0.0013670883948178384
chr15	40392082	40511128	776	0.0005668246913589109
chr15	41743728	41862772	778	0.005328774062754309
chr2	131549408	131668451	114	0.0009335404894545757
chr3	60409369	60528412	178	0.025019207483635765
chr3	61718804	61837848	180	0.17123515726655472
chr3	71367831	71486874	184	0.43896586916858094
chr3	72349447	72468490	185	0.02389982527896734
chr4	58029666	58148709	252	0.03955749656764844
chr5	40655208	40774251	319	0.05047823188314135
chr6	31139548	31258591	367	0.0009762162173792164
chr6	32604701	32723745	369	0.0005269387844998266
chr6	38242614	38361657	374	0.00010687823750609101
chr6	43093427	43212470	379	0.0021319049506780463
chr9	135105797	135224840	557	0.0962618863463676
