chrom	start	end	name	score
chr1	5758281	6359521	2	0.00778778653980111
chr1	7856438	8493750	15	0.0030582370381979844
chr1	14711802	15089994	27	0.012966600881082615
chr1	26780389	26989453	5	0.05959854310538693
chr1	51217575	51336619	13	0.0068924037615587805
chr1	93088471	93294034	11	0.006356962259619405
chr1	114725108	115702047	7	0.01799126294017738
chr10	47184277	47650133	244	0.003168866053578956
chr10	58218870	58714895	243	0.006408776913877148
chr10	77295386	77414429	251	0.001364318919215629
chr10	77918891	78043175	246	0.004323610684077847
chr10	89560990	89680033	241	0.0048364653151650614
chr10	89965304	90084347	239	0.025615303807311203
chr11	39985638	40635879	287	0.003902631349937259
chr11	45931344	46402442	264	0.004236967548348782
chr11	62685002	63185231	261	0.006288575134617003
chr11	64602254	65066589	273	0.008939672604371344
chr11	68133517	68341010	266	0.0073614374309354585
chr11	72023274	72313020	289	0.005871663274693242
chr11	75846730	76992775	279	0.002127527346999546
chr11	83964212	84366423	284	0.00012091910942130539
chr11	85972100	87096374	280	0.0013912708202245758
chr11	113905768	114104249	260	0.004055509630358601
chr12	12722317	13120592	290	0.00689381473394656
chr12	24097405	24228750	299	0.002648936740810769
chr12	26424358	26998323	294	0.002949790846948245
chr12	45348202	45969805	301	0.007961584643868955
chr12	52402269	53168356	310	0.0060054873839742815
chr12	58096082	58747276	302	0.005748890627316387
chr12	67138261	67494262	313	0.001750795711197329
chr12	74618787	75789025	305	0.0034610473465888107
chr12	99864342	100151810	308	2.147842801346404e-05
chr13	32621411	32950651	321	0.0018729515964296547
chr13	48939729	49058772	318	0.011333856971685242
chr13	50860815	51455790	324	0.002014573298257346
chr14	27537653	29081983	344	0.0034195212340973847
chr14	33699932	33818975	334	0.0031694105542332133
chr14	40295008	40722782	337	0.005170106815633957
chr14	67168861	67652025	342	0.0032629579201277933
chr14	68742331	68861374	328	0.0005723230986447026
chr15	32159195	32278239	352	0.009009267526227842
chr15	41285416	42451276	355	0.015020923993369146
chr15	57326607	57557542	356	0.00981852682559786
chr16	53432883	54385775	371	0.03503982370597731
chr16	72508842	72677340	365	0.0198573325381657
chr16	78647303	78766346	357	0.007193815589086428
chr16	79003131	79122175	361	0.0050075732765578
chr16	83335710	83621823	372	0.020914279117929837
chr17	7514447	7633490	378	0.05383755425827905
chr17	11812452	11954002	380	0.03493224296901
chr17	32188861	32931084	394	0.012636600506206498
chr17	37461077	37780421	392	0.007782013782798205
chr17	39069342	39414905	376	0.00968717558582437
chr17	42042144	42320075	379	0.006232074813448894
chr17	44220411	44339454	387	0.015015023878507585
chr17	53330349	54068840	391	0.0027604509386138674
chr17	55765392	56193649	385	0.004525726211239853
chr17	58928804	59481230	389	0.0030918478366705852
chr17	70365942	70514571	393	0.0009897903394874446
chr18	24556761	25643499	400	0.013190579351069058
chr18	48538690	48667732	399	0.004243275191898874
chr19	18878316	19376690	415	0.01878659712957035
chr19	34065789	34406265	413	0.0008559499733319977
chr19	43206082	43735495	419	0.0006256355378916018
chr19	47600563	47829029	414	0.0018617878082923755
chr2	133733042	133852085	36	0.0002599029954498035
chr2	136044235	136519191	43	0.003357302779903038
chr2	141852754	141971797	29	0.007798164296525897
chr2	148743553	149033199	49	0.00220777047378192
chr2	186890810	187009853	45	6.72583607972764e-05
chr2	187311700	187430743	52	6.72583607972764e-05
chr2	213742720	213861867	34	0.002761725046038319
chr2	233842479	234065299	37	0.0011155802845318375
chr20	14912725	15031768	420	0.011453930661013217
chr22	25775753	25894796	443	0.0017304356292478136
chr22	28478268	29020831	445	0.01109072182939835
chr22	29278052	29397095	440	0.0020456260706138455
chr22	33865202	34313677	441	0.010588528810090219
chr3	4298031	4566842	82	0.0035482161751685427
chr3	50335869	50878720	67	0.02012686194011464
chr3	60412240	60531283	62	0.01763451286702533
chr3	71264717	71383760	69	0.03544804677266333
chr4	10020807	10139850	112	0.0020754710505671253
chr4	20311739	20481287	119	0.0004947438464410459
chr4	21103783	21432337	116	0.004291430183115932
chr4	33780693	33991366	95	0.007683307659888251
chr4	60108690	61998938	102	0.0027717336792011963
chr4	82008971	83123763	108	0.002556988171087464
chr4	87477561	87703607	120	0.004338784584380649
chr4	91777414	91896457	94	0.0035722797184448655
chr4	132708393	134560407	107	0.006653767274166257
chr4	182144814	182263857	93	0.01562224035482576
chr4	183140721	183429619	106	0.0017246417951738637
chr4	187440453	187801507	111	0.0033327929486256388
chr5	56089524	56416824	138	6.455327357045475e-05
chr5	58500285	58619328	126	0.003538113811768883
chr5	59259354	59378397	122	0.018022090793193776
chr5	66644179	68066878	147	0.03640225488193697
chr5	100075960	100806984	136	0.0014308936918404078
chr5	130572420	131214333	134	0.020736760507145804
chr5	165556098	165722992	128	0.011073130525311763
chr6	27812438	28791272	160	0.0015736671096395947
chr6	38059700	38619466	170	0.001773616158944025
chr6	45107899	45651436	164	0.0007882028867707317
