chrom	start	end	name	score
chr1	6103062	6344246	TSG3	889.2245014140002
chr1	8177219	8412650	TSG22	851.203393268641
chr1	10648504	10789504	TSG44	798.8467917579414
chr1	15003239	15144239	TSG31	833.5735153162927
chr1	27092661	27233661	TSG2	1031.6222617747294
chr1	49411670	49552670	TSG39	678.7854587835986
chr1	51209384	51350384	TSG12	724.3540026989581
chr1	72226753	72367753	TSG24	870.485529120152
chr1	93179603	93320603	TSG7	1068.8462187465818
chr1	115146245	115656090	TSG4	1085.2800964819633
chr1	149166119	149307119	TSG23	437.07325018607696
chr1	157615410	157827028	TSG20	447.526692367685
chr1	169521470	169720954	TSG43	494.2186172356516
chr1	189316818	189457818	TSG28	553.8385279284406
chr1	193039084	193180084	TSG13	554.1313523473209
chr1	241632200	241914244	TSG21	671.0394412944025
chr1	246195942	246336942	TSG8	667.9357746527716
chr10	20304881	20445881	TSG411	693.2430146598243
chr10	22272244	22608102	TSG400	677.490938848279
chr10	24387128	25159609	TSG392	687.9340575054862
chr10	47488781	47712143	TSG386	630.5995607391179
chr10	53137827	53278827	TSG402	578.1490586375701
chr10	56366293	56761157	TSG405	556.4486265964402
chr10	58570059	58846397	TSG385	567.1424315249787
chr10	65212660	65353660	TSG407	546.3061886205046
chr10	68779243	68937762	TSG394	569.3414714876958
chr10	76006183	76147183	TSG399	572.2997123241563
chr10	77397676	77538676	TSG388	574.0909407207408
chr10	77966641	78107641	TSG398	568.9792392444267
chr10	89752254	89893254	TSG381	1016.0384995648976
chr10	90021649	90162649	TSG397	949.4459415230126
chr10	112717541	112900400	TSG409	777.6167074826982
chr10	114392960	114533960	TSG413	794.0712322660848
chr11	40375984	40854382	TSG428	1097.6728362459726
chr11	45952507	46384023	TSG421	971.5337184614394
chr11	63713979	64270409	TSG418	580.0970782843931
chr11	65275065	65534356	TSG449	514.3665667627486
chr11	68167088	68308088	TSG425	518.767203843319
chr11	69905231	70111438	TSG452	507.99373249337344
chr11	71053255	71254426	TSG454	532.5240430909874
chr11	76091488	76696619	TSG436	460.6363625112935
chr11	78693986	78984185	TSG431	452.8536608284573
chr11	80369689	80510689	TSG422	522.7601342451118
chr11	80915432	81056432	TSG434	491.57433365708334
chr11	81952497	82137223	TSG447	459.2248968745794
chr11	83777984	83950191	TSG445	489.1244126403769
chr11	84548708	84689708	TSG427	497.7278467805996
chr11	85563809	85876956	TSG446	526.9338686168873
chr11	99396579	100009357	TSG448	729.7199677867458
chr11	114046103	114261662	TSG417	1268.9022446933434
chr12	1264702	1502194	TSG487	613.848802821044
chr12	12680830	12821830	TSG480	765.2468835553541
chr12	13351897	13508716	TSG459	749.4086535346671
chr12	24052860	24193860	TSG468	633.9194170056695
chr12	25846676	26148420	TSG462	606.4724842972967
chr12	57856273	57997273	TSG486	577.9285313335613
chr12	58522457	58685411	TSG470	570.1893962104444
chr12	60882083	61070912	TSG476	588.5644855838963
chr12	68614373	68970804	TSG474	576.3858465883067
chr12	74890985	75116809	TSG472	713.0455743764553
chr12	99932245	100073245	TSG465	891.1028187018014
chr12	115059398	115917048	TSG478	937.1681252812066
chr13	29034704	29431891	TSG501	1117.6408139859209
chr13	32730505	32871505	TSG494	1224.5788632791705
