chrom	start	end	name	score
chr1	69091	70008	OR4F5	0.021755519655358047
chr1	860260	879955	SAMD11	0.35616585891222396
chr1	879584	894689	NOC2L	0.7318255250403878
chr1	895967	901095	KLHL17	0.1077005923532579
chr1	955503	991496	AGRN	0.5786752827140549
chr1	1017198	1051741	C1orf159	0.14281098546042004
chr1	1152288	1167411	SDF4	0.8479267635971998
chr1	1177826	1182102	FAM132A	0.13225632740980076
chr1	1189289	1209265	UBE2J2	0.46354334948842213
chr1	1243947	1247057	PUSL1	0.1353796445880452
chr1	1246965	1260071	CPSF3L	0.278082929456112
chr1	1270656	1284730	DVL1	0.0033387183629509654
chr1	1337288	1342693	MRPL20	0.5951534733441034
chr1	1385069	1405538	ATAD3C	0.41884760366182017
chr1	1407143	1433228	ATAD3B	0.6186322024771136
chr1	1550795	1565990	MIB2	0.6217555196553581
chr1	1634169	1655766	CDK11A	0.2715131933225633
chr1	1716729	1822495	GNB1	0.5568120624663435
chr1	1846266	1848735	CALML6	0.13462574044157238
chr1	1950780	1962192	GABRD	0.7810446957458266
chr1	1981909	2116834	PRKCZ	0.8015078082929457
chr1	2160134	2241558	SKI	0.14431879375336565
chr1	2252692	2323146	MORN1	0.031987075928917585
chr1	2336236	2345236	PEX10	0.2773290253096392
chr1	2357419	2436969	PLCH2	0.34098007539041464
chr1	2938046	2939465	ACTRT2	0.6628971459343027
chr1	2985732	3355185	PRDM16	0.11642434033387183
chr1	3541566	3546691	TPRG1L	0.23295638126009688
chr1	3668962	3688209	CCDC27	0.28045234248788364
chr1	3728645	3773778	CEP104	0.15218093699515345
chr1	3805689	3816857	C1orf174	0.026925148088314477
chr1	4714792	4852594	AJAP1	0.37081313947226713
chr1	5922871	6052533	NPHP4	0.718147549811524
chr1	6265535	6281359	RNF207	0.7206246634356489
chr1	6307406	6321035	GPR153	0.8218632202477114
chr1	6324329	6454451	ACOT7	0.2788368336025848
chr1	6484848	6521430	ESPN	0.2934841141626279
chr1	6581407	6614595	NOL9	0.5909531502423263
chr1	6684926	6695646	THAP3	0.54281098546042
chr1	6845384	7829766	CAMTA1	0.3434571890145396
chr1	7844380	7905237	PER3	0.03640280021540121
chr1	8014351	8045565	PARK7	0.6454496499730749
chr1	8377886	8404227	SLC45A1	0.5447495961227786
chr1	9063359	9086404	SLC2A7	0.2538502961766289
chr1	9599541	9645237	SLC25A33	0.40247711362412497
chr1	9711790	9789172	PIK3CD	0.7906300484652665
chr1	9789084	9884584	CLSTN1	0.4752827140549273
chr1	10003486	10045559	NMNAT1	0.003554119547657497
chr1	10270863	10441661	KIF1B	0.24200323101777055
chr1	10532345	10690815	PEX14	0.13451803984921917
chr1	11072414	11085796	TARDBP	0.722347872913301
chr1	11086580	11107290	MASP2	0.08325255788906838
chr1	11166592	11322564	MTOR	0.8157242864835756
chr1	11333263	11356106	UBIAD1	0.17792137856758206
chr1	11539223	11597641	PTCHD2	0.3171782444803446
chr1	11905766	11908402	NPPA	0.6602046311254712
chr1	12123434	12204264	TNFRSF8	0.8116316639741519
chr1	12227060	12269285	TNFRSF1B	0.3891222401723209
chr1	12290124	12572099	VPS13D	0.06623586429725359
chr1	12704566	12727097	AADACL4	0.7289176090468498
chr1	12806163	12823847	C1orf158	0.17285945072697895
chr1	12834984	12838049	PRAMEF12	0.3536887452880991
chr1	12851546	12856777	PRAMEF1	0.07754442649434568
chr1	12884468	12891264	PRAMEF11	0.9805061927840603
chr1	12907261	12908578	HNRNPCL1	0.5619816908993
chr1	12916941	12921764	PRAMEF2	0.1469036079698438
chr1	12939045	12946025	PRAMEF4	0.6966074313408723
chr1	12952727	12958101	PRAMEF10	0.48863758750673125
chr1	13909960	13944452	PDPN	0.42100161550888526
chr1	14925200	15444539	KAZN	0.2266020463112547
chr1	15792404	15817895	CELA2B	0.6467420570813139
chr1	15817327	15853029	CASP9	0.7306408185245019
chr1	15898848	15911605	AGMAT	0.7215939687668282
chr1	16010827	16061264	PLEKHM2	0.12719439956919765
chr1	16068917	16074477	TMEM82	0.11351642434033382
chr1	16083102	16113089	FBLIM1	0.7897684437264405
chr1	16345370	16360545	CLCNKA	0.17156704361873987
chr1	16370272	16383803	CLCNKB	0.8007539041464729
chr1	16713612	16763919	SPATA21	0.37662897145934304
chr1	17531621	17572500	PADI1	0.31674744211093164
chr1	17575593	17610728	PADI3	0.7055465805061928
chr1	17634690	17690499	PADI4	0.4966074313408724
chr1	17698691	17728195	PADI6	0.5131933225632741
chr1	18081808	18153558	ACTL8	0.3726440495422725
chr1	18434240	18704977	IGSF21	0.643403338718363
chr1	18807424	18812478	KLHDC7A	0.3514270328486807
chr1	18957500	19075360	PAX7	0.1283791060850834
chr1	19166093	19186176	TAS1R2	0.6199246095853528
chr1	19197926	19229275	ALDH4A1	0.30479267635971996
chr1	19578033	19586622	MRTO4	0.5103931071620893
chr1	20008706	20126438	TMCO4	0.06160473882606354
chr1	20465819	20476879	PLA2G2F	0.23931071620893918
chr1	20487746	20503917	PLA2G2C	0.49445341949380717
chr1	20617412	20681387	VWA5B1	0.11717824448034464
chr1	20878932	20881512	FAM43B	0.49994614970382334
chr1	20990507	21044510	KIF17	0.8087237479806139
chr1	21132963	21503377	EIF4G3	0.20204631125471184
chr1	21766621	21811498	NBPF3	0.49585352719439957
chr1	21922708	21995801	RAP1GAP	0.10845449649973071
chr1	22138758	22151714	LDLRAD2	0.44803446418955306
chr1	22303514	22325135	CELA3B	0.34884221863220244
chr1	22328149	22339032	CELA3A	0.25837372105546574
chr1	22443798	22470462	WNT4	0.26698976844372646
chr1	22970123	22974603	C1QC	0.27485191168551426
chr1	23037332	23241818	EPHB2	0.37027463651050074
chr1	23755056	23811061	ASAP3	0.04448034464189554
chr1	23832922	23857712	E2F2	0.15788906838987615
chr1	24122089	24127271	GALE	0.11448572967151316
chr1	24171567	24194784	FUCA1	0.3513193322563274
chr1	24197016	24285549	CNR2	0.3512116316639742
chr1	24446261	24469611	IL22RA1	0.5337641357027463
chr1	24645812	24690972	GRHL3	0.6957458266020463
chr1	24742284	24799466	NIPAL3	0.13807215939687667
chr1	26346375	26362955	EXTL1	0.36176628971459346
chr1	26363743	26372624	SLC30A2	0.1333333333333333
chr1	26517052	26529459	CATSPER4	0.07162089391491655
chr1	26644448	26647014	CD52	0.3771674744211093
chr1	26758773	26797785	DHDDS	0.7227786752827141
chr1	27189633	27190947	SFN	0.056542810985460434
chr1	27648651	27662891	TMEM222	0.14927302100161555
chr1	27938575	27961788	FGR	0.31890145395799674
chr1	28473677	28520447	PTAFR	0.011093161012385555
chr1	28586038	28609002	SESN2	0.11222401723209474
